t_ms	type	attacker	attacker_team	victim	victim_team	weapon	cause	amount	victim_health	ax	az	vx	vz	dist
2997	damage	bot-1	alpha	bot-4	bravo	cz_805_bren	bullet	24.00	76.00	-47.14	43.93	-13.05	42.61	34.12
3122	damage	bot-1	alpha	bot-4	bravo	cz_805_bren	bullet	24.00	52.00	-47.14	43.93	-12.75	42.89	34.41
3237	damage	bot-1	alpha	bot-4	bravo	cz_805_bren	bullet	24.00	28.00	-47.14	43.93	-12.51	43.11	34.64
3348	damage	bot-1	alpha	bot-4	bravo	cz_805_bren	bullet	24.00	4.00	-47.14	43.93	-12.25	43.33	34.90
3472	kill	bot-1	alpha	bot-4	bravo	cz_805_bren	bullet	24.00	0.00	-47.14	43.93	-11.98	43.60	35.17
4286	damage	bot-1	alpha	bot-2	bravo	cz_805_bren	bullet	24.00	76.00	-47.45	43.83	-12.65	45.34	34.84
4399	damage	bot-1	alpha	bot-2	bravo	cz_805_bren	bullet	24.00	52.00	-47.45	43.83	-12.41	45.58	35.09
4748	damage	bot-1	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	16.52	-47.45	43.83	-10.65	45.49	36.84
10271	damage	bot-3	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	48.26	-32.36	37.03	-6.66	49.55	28.59
20708	damage	bot-6	bravo	bot-3	alpha	cz_805_bren	bullet	24.00	76.00	-6.83	49.92	-24.19	42.36	18.93
21044	damage	bot-6	bravo	bot-10	alpha	cz_805_bren	bullet	24.00	76.00	-6.83	49.92	-32.42	40.00	27.45
27534	damage	bot-9	bravo	bot-10	alpha	five_seven	bullet	20.00	2.81	-12.79	11.94	-9.39	1.67	10.81
27686	kill	bot-9	bravo	bot-10	alpha	five_seven	bullet	20.00	0.00	-12.79	11.94	-8.97	1.26	11.34
27842	damage	bot-1	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	48.76	-2.42	30.74	-26.02	28.88	23.67
27957	damage	bot-1	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	24.76	-2.42	30.74	-26.59	28.98	24.23
28075	damage	bot-1	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	0.76	-2.42	30.74	-27.08	29.03	24.72
28199	kill	bot-1	alpha	bot-6	bravo	cz_805_bren	bullet	24.00	0.00	-2.42	30.74	-27.48	29.03	25.12
31722	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	80.00	16.48	12.20	39.24	33.10	30.90
31873	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	60.00	16.48	12.20	39.24	33.10	30.90
32984	damage	bot-8	alpha	bot-9	bravo	five_seven	bullet	20.00	80.00	-8.20	-17.95	-11.90	9.07	27.27
33394	kill	bot-9	bravo	bot-8	alpha	m24	bullet	95.00	0.00	-11.87	8.99	-8.17	-17.95	27.19
36681	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	52.23	21.02	15.94	39.78	35.71	27.25
38405	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	37.68	22.44	17.01	39.77	39.17	28.14
38547	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	20.25	22.44	17.00	39.77	39.17	28.14
44279	damage	bot-7	bravo	bot-12	alpha	five_seven	bullet	20.00	52.51	30.92	13.05	36.54	36.39	24.00
47115	damage	bot-16	alpha	bot-9	bravo	five_seven	bullet	20.00	60.00	-10.22	13.22	5.73	6.85	17.17
47276	damage	bot-16	alpha	bot-9	bravo	five_seven	bullet	20.00	40.00	-10.22	13.22	6.19	6.36	17.78
47457	damage	bot-16	alpha	bot-9	bravo	five_seven	bullet	20.00	20.00	-10.22	13.22	6.68	5.82	18.44
47606	kill	bot-16	alpha	bot-9	bravo	five_seven	bullet	20.00	0.00	-10.22	13.22	7.17	5.32	19.10
66942	damage	bot-15	bravo	bot-12	alpha	five_seven	bullet	20.00	52.40	47.14	0.29	49.37	13.61	13.51
77934	damage	bot-16	alpha	bot-17	bravo	five_seven	bullet	20.00	52.04	2.12	12.72	39.51	1.02	39.18
78100	damage	bot-16	alpha	bot-17	bravo	five_seven	bullet	20.00	32.04	2.12	12.69	39.92	1.41	39.45
78161	damage	bot-13	alpha	bot-17	bravo	cz_805_bren	bullet	24.00	8.04	10.94	8.96	40.03	1.51	30.03
78730	kill	bot-13	alpha	bot-19	bravo	cz_805_bren	bullet	24.00	0.00	10.75	8.92	42.52	-1.31	33.37
83084	damage	bot-12	alpha	bot-21	bravo	cz_805_bren	bullet	24.00	76.00	49.48	12.89	44.74	8.24	6.64
84607	damage	bot-16	alpha	bot-21	bravo	five_seven	bullet	20.00	56.00	8.02	7.59	43.75	8.31	35.74
85040	damage	bot-16	alpha	bot-21	bravo	five_seven	bullet	20.00	36.00	8.01	7.58	45.17	7.98	37.16
86340	damage	bot-12	alpha	bot-21	bravo	cz_805_bren	bullet	24.00	17.11	49.37	13.61	47.34	7.45	6.48
86456	kill	bot-12	alpha	bot-21	bravo	cz_805_bren	bullet	24.00	0.00	49.37	13.61	47.53	7.45	6.42
88308	damage	bot-23	bravo	bot-1	alpha	five_seven	bullet	20.00	52.03	3.65	-32.65	14.17	-8.54	26.30
88475	damage	bot-23	bravo	bot-1	alpha	five_seven	bullet	20.00	32.03	3.65	-32.65	14.46	-8.22	26.71
88646	damage	bot-23	bravo	bot-1	alpha	five_seven	bullet	20.00	12.03	3.65	-32.65	14.85	-7.83	27.23
88803	kill	bot-23	bravo	bot-1	alpha	five_seven	bullet	20.00	0.00	3.65	-32.65	15.27	-7.39	27.80
89060	damage	bot-14	bravo	bot-12	alpha	cz_805_bren	bullet	24.00	36.00	59.30	10.53	50.02	12.68	9.52
89172	damage	bot-12	alpha	bot-14	bravo	cz_805_bren	bullet	24.00	50.59	49.97	12.61	59.30	10.53	9.56
89172	damage	bot-14	bravo	bot-12	alpha	cz_805_bren	bullet	24.00	12.00	59.30	10.53	49.96	12.58	9.56
89228	damage	bot-23	bravo	bot-3	alpha	five_seven	bullet	20.00	75.05	3.65	-32.65	14.45	8.27	42.31
89293	damage	bot-12	alpha	bot-14	bravo	cz_805_bren	bullet	24.00	26.59	49.90	12.44	59.46	10.64	9.73
89293	kill	bot-14	bravo	bot-12	alpha	cz_805_bren	bullet	24.00	0.00	59.46	10.64	49.89	12.41	9.73
91602	damage	bot-23	bravo	bot-13	alpha	five_seven	bullet	20.00	54.99	4.43	-30.50	32.05	8.40	47.70
91747	damage	bot-23	bravo	bot-13	alpha	five_seven	bullet	20.00	34.99	4.43	-30.50	32.19	9.12	48.37
91898	damage	bot-23	bravo	bot-13	alpha	five_seven	bullet	20.00	14.99	4.43	-30.50	32.32	9.89	49.08
92063	kill	bot-23	bravo	bot-13	alpha	five_seven	bullet	20.00	0.00	4.43	-30.50	32.48	10.71	49.85
98839	damage	bot-16	alpha	bot-14	bravo	five_seven	bullet	20.00	52.33	25.14	1.31	52.41	11.04	28.95
98990	damage	bot-16	alpha	bot-14	bravo	five_seven	bullet	20.00	32.33	25.14	1.31	53.09	11.39	29.71
99146	damage	bot-16	alpha	bot-14	bravo	five_seven	bullet	20.00	12.33	25.14	1.31	53.79	11.77	30.50
123343	kill	bot-24	alpha	bot-14	bravo	five_seven	bullet	20.00	0.00	76.93	8.19	42.08	11.94	35.05
146328	damage	bot-33	bravo	bot-32	alpha	m24	bullet	95.00	5.00	-15.30	-22.18	38.50	9.89	62.64
147889	damage	bot-24	alpha	bot-29	bravo	five_seven	bullet	20.00	80.00	31.93	4.54	-0.05	-31.57	48.23
148040	damage	bot-24	alpha	bot-29	bravo	five_seven	bullet	20.00	60.00	31.93	4.54	0.14	-31.59	48.12
148201	damage	bot-24	alpha	bot-29	bravo	five_seven	bullet	20.00	40.00	31.93	4.55	0.01	-31.70	48.30
148357	damage	bot-24	alpha	bot-29	bravo	five_seven	bullet	20.00	20.00	31.93	4.55	-0.45	-32.09	48.89
148547	kill	bot-24	alpha	bot-29	bravo	five_seven	bullet	20.00	0.00	31.93	4.55	-0.99	-32.57	49.61
158833	damage	bot-32	alpha	bot-31	bravo	five_seven	bullet	20.00	65.03	35.49	1.06	-3.83	-13.65	41.98
158913	damage	bot-24	alpha	bot-31	bravo	five_seven	bullet	20.00	45.03	30.46	-0.54	-3.66	-13.55	36.52
159062	damage	bot-24	alpha	bot-31	bravo	five_seven	bullet	20.00	25.03	30.46	-0.54	-4.28	-12.97	36.90
159129	damage	bot-32	alpha	bot-31	bravo	five_seven	bullet	20.00	5.03	35.49	1.05	-4.63	-12.65	42.39
159448	kill	bot-32	alpha	bot-31	bravo	five_seven	bullet	20.00	0.00	35.49	1.05	-6.05	-12.23	43.61
163304	damage	bot-38	alpha	bot-33	bravo	cz_805_bren	bullet	24.00	76.00	26.11	-4.88	-13.11	-19.78	41.96
163528	damage	bot-24	alpha	bot-33	bravo	five_seven	bullet	20.00	56.00	26.15	-2.94	-12.51	-19.27	41.97
163597	damage	bot-32	alpha	bot-33	bravo	five_seven	bullet	20.00	36.00	30.63	-1.05	-12.79	-19.44	47.15
163699	damage	bot-24	alpha	bot-33	bravo	five_seven	bullet	20.00	16.00	26.15	-2.94	-13.04	-19.58	42.58
163699	kill	bot-38	alpha	bot-33	bravo	cz_805_bren	bullet	24.00	0.00	26.11	-4.88	-13.23	-19.70	42.04
164062	damage	bot-24	alpha	bot-25	bravo	five_seven	bullet	20.00	80.00	26.15	-2.94	-15.12	-25.06	46.82
164219	damage	bot-24	alpha	bot-25	bravo	five_seven	bullet	20.00	60.00	26.15	-2.94	-14.62	-24.54	46.15
164219	damage	bot-30	alpha	bot-25	bravo	cz_805_bren	bullet	24.00	36.00	21.40	-6.30	-14.61	-24.63	40.40
164368	damage	bot-24	alpha	bot-25	bravo	five_seven	bullet	20.00	16.00	26.15	-2.94	-14.59	-25.17	46.41
167220	damage	bot-32	alpha	bot-37	bravo	five_seven	bullet	20.00	80.00	27.25	-3.34	-0.03	-20.93	32.46
168620	damage	bot-39	bravo	bot-40	alpha	five_seven	bullet	20.00	80.00	-57.99	21.38	-19.04	41.82	43.99
169114	damage	bot-30	alpha	bot-37	bravo	cz_805_bren	bullet	24.00	21.43	19.51	-6.99	-6.00	-25.86	31.74
169242	kill	bot-30	alpha	bot-37	bravo	cz_805_bren	bullet	24.00	0.00	19.51	-6.99	-6.29	-26.03	32.07
170222	damage	bot-24	alpha	bot-25	bravo	m1911	bullet	33.00	39.03	20.71	-5.05	-13.36	-26.25	40.13
170568	damage	bot-24	alpha	bot-25	bravo	m1911	bullet	33.00	6.03	20.71	-5.05	-14.11	-27.41	41.38
173560	damage	bot-39	bravo	bot-40	alpha	five_seven	bullet	20.00	60.00	-49.34	24.01	-27.93	36.38	24.73
175509	damage	bot-32	alpha	bot-25	bravo	five_seven	bullet	20.00	30.00	14.97	-11.39	-16.35	-30.91	36.90
176731	damage	bot-39	bravo	bot-40	alpha	five_seven	bullet	20.00	10.25	-45.49	24.51	-19.90	44.93	32.73
176886	kill	bot-39	bravo	bot-40	alpha	five_seven	bullet	20.00	0.00	-45.49	24.51	-19.76	45.62	33.28
178370	damage	bot-32	alpha	bot-25	bravo	five_seven	bullet	20.00	10.00	13.29	-12.98	-14.34	-21.23	28.84
178520	kill	bot-32	alpha	bot-25	bravo	five_seven	bullet	20.00	0.00	13.29	-12.98	-14.78	-21.66	29.38
178789	damage	bot-42	alpha	bot-27	bravo	m24	bullet	95.00	0.07	15.22	-16.92	-11.87	-21.49	27.47
178874	kill	bot-41	bravo	bot-36	alpha	m24	bullet	95.00	0.00	-49.29	17.53	23.55	3.92	74.09
179815	damage	bot-32	alpha	bot-35	bravo	five_seven	bullet	20.00	52.25	10.83	-13.47	-5.73	-14.36	16.58
179989	damage	bot-30	alpha	bot-35	bravo	cz_805_bren	bullet	24.00	0.57	6.01	-16.45	-6.09	-14.70	12.22
180698	damage	bot-34	alpha	bot-39	bravo	m24	bullet	95.00	5.00	19.58	-16.16	-40.76	22.90	71.88
184660	damage	bot-38	alpha	bot-35	bravo	cz_805_bren	bullet	24.00	22.31	-4.09	-13.13	-7.14	-21.43	8.84
184792	kill	bot-38	alpha	bot-35	bravo	cz_805_bren	bullet	24.00	0.00	-4.09	-13.13	-7.62	-21.90	9.45
186756	damage	bot-34	alpha	bot-41	bravo	m24	bullet	95.00	5.00	18.52	-14.46	-49.29	17.53	74.97
189123	damage	bot-38	alpha	bot-43	bravo	cz_805_bren	bullet	24.00	76.00	-6.18	-12.11	-35.57	25.88	48.03
189239	damage	bot-38	alpha	bot-43	bravo	cz_805_bren	bullet	24.00	52.00	-6.18	-12.11	-35.57	25.88	48.03
192809	kill	bot-34	alpha	bot-39	bravo	m24	bullet	95.00	0.00	18.52	-14.46	-32.47	22.39	62.91
203477	kill	bot-34	alpha	bot-41	bravo	m24	bullet	95.00	0.00	13.70	-4.56	-49.20	18.37	66.95
206620	damage	bot-45	bravo	bot-32	alpha	cz_805_bren	bullet	24.00	48.04	-5.46	-39.69	-10.24	-17.43	22.77
206886	damage	bot-45	bravo	bot-32	alpha	cz_805_bren	bullet	24.00	24.04	-5.46	-39.70	-11.01	-16.65	23.71
