t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
4419043	bot-1675	alpha	P00r-2320	tick	-127.98	-40.59	92	0.00	0.00		0		squad-170	2	bot-1668			-	0	14	100	0	20	101
4419043	bot-1711	alpha	P00r-4320	tick	-133.44	-36.86	133	0.00	0.00		0		squad-170	6	bot-1668			-	0	25	64	0	20	68
4419043	bot-1731	alpha	P00r-4420	tick	-118.54	-29.21	93	0.00	0.00		0		squad-170	7	bot-1668			-	0	30	120	0	20	101
4419043	bot-1737	alpha	P00r-3420	tick	-136.88	-35.59	148	0.00	0.00		0		squad-170	8	bot-1668			-	0	16	78	0	20	101
4419043	bot-1790	bravo	P00r-4410	tick	33.29	37.38	281	2.03	1.96	6.01	1	squad	squad-132	2	bot-1412			-	0	27	120	0	7	35
4419100	bot-1440	bravo	P34r-4420	tier+score	85.76	-10.15	81	2.44	2.12	60.66	8	squad	squad-83	4	bot-808			-	0	27	120	0	7	35
4419127	bot-1218	bravo	P00r-3420	tick	100.89	-4.84	95	2.62	2.18	44.63	7	squad	squad-83	3	bot-808			-	0	20	120	0	7	35
4419127	bot-1796	bravo	P00r-4410	tick	97.80	-7.08	248	2.46	2.65	25.65	3	squad	squad-184	2	bot-1786			-	0	30	120	0	7	35
4419154	bot-1718	alpha	S00r-3320	tick	88.04	34.58	267	2.48	2.42	38.36	6	seek	squad-148	0	bot-1718	bot-1792	51.35	r	0	22	100	0	7	35
4419154	bot-1789	bravo	S00r-4410	tick	66.68	-6.73	143	2.27	2.38	32.56	4	seek	squad-184	1	bot-1786			-	0	1	3	0	30	120
4419179	bot-744	alpha	P00r-4420	tick	-70.45	37.26	281	2.41	2.42		12	patrol	squad-1	0	bot-744			-	0	30	120	0	7	35
4419179	bot-1066	alpha	P00r-2420	tick	-57.30	37.39	242	2.27	2.19	10.19	2	squad	squad-1	1	bot-744			-	0	12	120	0	7	35
4419179	bot-1109	alpha	P00r-4320	tick	-54.18	40.36	285	1.75	1.72	13.89	2	squad	squad-1	2	bot-744			-	0	30	99	0	20	101
4419179	bot-1238	alpha	P00r-4320	tick	-52.89	37.77	215	2.14	2.23	13.23	2	squad	squad-1	3	bot-744			-	0	30	5	0	7	35
4419179	bot-1453	alpha	P00r-4420	tick	-49.68	42.00	261	2.08	2.27	15.29	2	squad	squad-1	4	bot-744			-	0	30	120	0	20	101
4419179	bot-1517	bravo	P00r-4420	tick	113.01	-29.49	73	2.43	2.27	48.92	7	squad	squad-83	7	bot-808			-	0	1	22	0	17	101
4419179	bot-1668	alpha	P00r-4420	tick	-123.75	-42.30	133	0.00	0.00		38	patrol	squad-170	0	bot-1668			-	0	25	13	0	7	35
4419179	bot-1690	alpha	P00r-4320	tick	-129.06	-38.49	4	0.19	0.10		0		squad-170	4	bot-1668			-	0	28	120	0	7	35
4419279	bot-1412	bravo	P00r-4320	tick	23.56	36.75	280	2.45	2.47	169.03	24	patrolReentry	squad-132	0	bot-1412			-	0	24	80	0	7	35
4419279	bot-1708	alpha	P00r-4320	tick	-140.14	-35.26	73	0.37	0.17		0		squad-170	10	bot-1668			-	0	1	22	0	7	35
