t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
3294	bot-198	bravo	G34r-3422	score	4.55	-16.95	28	0.06	0.00		0	
3311	bot-193	bravo	P00r-4420	tick	5.85	1.81	110	0.16	1.52		0	
3411	bot-191	bravo	S33r-3410	score	6.70	-13.89	112	2.36	0.28	6.84	2	seek
3411	bot-198	bravo	G33r-3422	score	4.55	-16.95	37	0.00	0.00		0	
3427	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
3527	bot-191	bravo	S32r-3410	score	6.96	-13.98	112	2.37	0.28	6.57	2	seek
3527	bot-198	bravo	G32r-3422	score	4.55	-16.95	46	0.00	0.00		0	
3644	bot-181	bravo	S00r-2420	tick	2.36	0.08	326	2.33	2.18	2.37	1	seek
3644	bot-186	bravo	S00r-2420	tick	-1.02	-0.07	339	1.32	2.02	1.67	2	seek
3661	bot-171	bravo	S00r-2320	tick	0.47	2.86	352	1.37	1.39	3.22	1	seek
3944	bot-149	alpha	P00r-4310	tick	-11.37	-19.62	188	0.00	0.00		0	
3977	bot-137	alpha	P00r-4310	state	-12.10	-16.93	155	2.40	0.57	0.83	1	seek
3995	bot-200	alpha	P00r-0410	initial	-15.95	21.55	0	0.00			0	
3995	bot-201	bravo	P00r-0410	initial	-8.45	4.55	0	0.00			0	
4011	bot-186	bravo	A00r-2420	state	-1.19	0.37	339	1.33	0.47	1.21	2	seek
4011	bot-200	alpha	P00r-4410	ammo	-15.95	21.55	0	0.00	0.00		0	
4011	bot-201	bravo	S00r-4410	state+ammo	-8.45	4.55	0	0.00	0.00		0	
4033	bot-116	alpha	P00m-2200	tick	-16.75	-21.33	178	0.00	0.40		0	
4033	bot-181	bravo	A00r-2420	state	1.88	0.81	326	2.42	0.88	1.49	1	seek
4033	bot-196	bravo	S00m-4420	tick	-3.84	3.68	344	1.37	1.32	0.39	1	seek
4033	bot-201	bravo	A00r-4410	state	-8.46	4.59	356	2.40	0.04	19.87	3	seek
4046	bot-196	bravo	A00m-4420	state	-3.84	3.68	344	1.37	0.00	0.39	1	seek
4061	bot-171	bravo	A00r-2320	state	0.41	3.39	352	1.48	0.54	2.69	1	seek
4061	bot-191	bravo	S32r-3420	packs	8.15	-14.40	110	1.32	1.26	5.31	2	seek
4144	bot-115	alpha	P00r-4320	tick	-10.93	-21.86	97	0.59	0.51		0	
4177	bot-140	alpha	P00r-4310	tick	-14.29	-20.96	137	2.40	0.32	1.54	1	squad
4261	bot-200	alpha	C00r-4410	state	-15.88	20.95	64	2.44	0.61		7	patrol
4277	bot-200	alpha	C00r-4412	latches	-15.87	20.79	73	4.68	0.16		7	patrol
4327	bot-193	bravo	P00r-4420	tick	5.92	2.32	58	0.00	0.51		0	
4377	bot-198	bravo	C32r-3420	state+latches	5.00	-15.11	120	0.00	1.89		0	
4394	bot-198	bravo	C32r-3422	latches	4.86	-15.06	129	4.47	0.15	1.91	2	cover
4427	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
4594	bot-201	bravo	A00r-441G	latches	-8.46	4.59	339	0.00	0.00		0	
4611	bot-200	alpha	C00r-441I	latches	-14.46	20.57	150	4.60	1.43	0.51	1	cover
4644	bot-200	alpha	A00r-4410	state+latches	-14.38	20.57	146	4.59	0.08	0.43	1	cover
4711	bot-196	bravo	A00m-442G	latches	-3.84	3.68	328	0.00	0.00		0	
4727	bot-171	bravo	A00r-232G	latches	0.42	3.40	319	0.00	0.01		0	
4727	bot-181	bravo	A00r-242G	latches	1.88	0.81	321	0.00	0.00		0	
4727	bot-186	bravo	A00r-242G	latches	-1.19	0.37	327	0.00	0.00		0	
4727	bot-200	alpha	A00r-441G	latches	-14.38	20.57	145	0.00	0.00		0	
4744	bot-198	bravo	S32r-3420	state+latches	4.62	-16.56	189	4.55	1.51	0.40	1	cover
4827	bot-201	bravo	S00r-4410	state+latches	-8.46	4.59	339	0.01	0.00		0	
4944	bot-196	bravo	S00m-4420	state+latches	-3.84	3.68	328	0.00	0.00		0	
4961	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
4961	bot-171	bravo	S00r-2320	state+latches	0.42	3.40	319	0.00	0.00		0	
4961	bot-181	bravo	S00r-2420	state+latches	1.88	0.81	321	0.00	0.00		0	
4961	bot-186	bravo	S00r-2420	state+latches	-1.19	0.37	327	0.00	0.00		0	
4961	bot-200	alpha	S00r-4410	state+latches	-14.38	20.57	145	0.00	0.00		0	
4990	bot-137	alpha	P00r-4310	tick	-12.04	-16.98	146	0.32	0.08		0	
4990	bot-191	bravo	C32r-3420	state	9.51	-14.88	114	2.41	1.44	3.87	2	seek
4999	bot-191	bravo	C32r-3422	latches	9.34	-14.88	124	4.30	0.16	5.22	2	cover
5044	bot-116	alpha	P00m-2200	tick	-16.28	-19.06	2	2.40	2.32	1.69	1	squad
5161	bot-115	alpha	P00r-4320	tick	-10.08	-21.77	58	0.89	0.86		0	
5194	bot-140	alpha	P00r-4310	tick	-13.72	-20.19	34	0.00	0.95		0	
5261	bot-186	bravo	A00r-2420	state	-1.45	0.77	328	2.45	0.48	20.48	3	seek
5277	bot-171	bravo	A00r-2320	state	0.11	3.82	328	2.45	0.52	22.01	4	seek
5277	bot-181	bravo	A00r-2420	state	1.55	1.20	323	2.42	0.51	20.98	3	seek
