t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
524727	bot-966	alpha	P00r-4410	tick	71.47	-20.95	83	2.41	2.35	15.60	2	squad	squad-65	2	bot-918			-	0	30	120	0	7	35
524757	bot-800	alpha	P00m-33A0	tick	106.17	41.94	53	2.28	1.03	0.80	1	squad	squad-92	3	bot-814			-	0	11	84	0	7	35
524757	bot-814	alpha	P00r-4320	tick	114.99	42.26	82	2.46	2.44	30.47	5	patrolReentry	squad-92	0	bot-814			-	0	26	25	0	7	35
524757	bot-968	alpha	S21r-4410	tier+score	142.26	0.68	44	3.29	2.40	5.70	1	grenade	squad-1	1	bot-744			-	0	25	120	0	7	35
524785	bot-972	alpha	S00m-2420	tick	139.08	1.07	146	4.67	2.15	42.15	7	seek	squad-1	5	bot-744			-	0	8	101	0	7	35
524815	bot-978	alpha	S00r-4410	tick	143.80	-0.66	45	3.95	3.36	4.15	1	grenade	squad-1	4	bot-744	bot-977	41.84	f	0	25	120	0	7	35
524847	bot-744	alpha	S00r-4420	tick	144.39	-4.75	44	4.22	4.03	4.14	1	grenade	squad-1	0	bot-744			-	0	30	120	0	7	35
524847	bot-969	alpha	S00r-4410	tick	137.10	0.97	353	4.69	1.95	36.96	6	seek	squad-1	2	bot-744	bot-977	41.56	w	0	24	120	0	20	101
524847	bot-975	bravo	P00r-4420	tick	-17.61	-17.47	79	2.50	2.20	2.32	1	squad	squad-87	4	bot-781			-	0	30	120	0	20	101
524847	bot-980	alpha	S00m-4320	tick	143.76	-9.78	45	4.34	3.70	4.25	1	grenade	squad-1	7	bot-744	bot-977	33.74	f	0	20	101	0	7	35
524913	bot-967	bravo	P00r-2420	tick	-18.46	-17.36	46	2.42	2.51	7.96	2	squad	squad-87	2	bot-781			-	0	11	120	0	20	101
524913	bot-973	bravo	P00r-4420	tick	-16.00	-14.34	145	2.42	2.21	4.09	1	squad	squad-87	3	bot-781			-	0	1	4	0	30	120
524943	bot-970	bravo	P00r-4410	tick	-21.22	-20.28	23	2.44	2.35	9.43	3	squad	squad-87	6	bot-781			-	0	1	30	0	7	35
524959	bot-963	bravo	P00m-23C0	tick	-21.92	-12.79	121	1.89	2.00	9.72	3	squad	squad-87	5	bot-781			-	0	8	101	0	7	35
524959	bot-965	bravo	P00r-4410	tick	-10.89	-15.39	112	2.40	2.09	2.97	1	squad	squad-87	1	bot-781			-	0	30	120	0	20	101
525016	bot-974	alpha	S00r-4410	tick	125.12	4.76	166	2.36	2.49	46.85	8	seek	squad-1	6	bot-744			-	0	1	30	0	7	35
525075	bot-808	bravo	P00r-2420	tick	-135.33	39.10	288	1.61	1.79		2	patrol	squad-83	0	bot-808			-	0	14	120	0	7	35
525075	bot-954	alpha	P00r-4410	tick	75.13	-13.07	56	2.42	2.18	5.32	1	squad	squad-65	3	bot-918			-	0	1	30	0	7	35
525075	bot-968	alpha	S00r-4410	tier+score	142.48	0.61	50	4.78	0.23	41.75	6	seek	squad-1	1	bot-744			-	0	25	120	0	7	35
525101	bot-976	alpha	C00r-4412	tick	137.76	1.95	316	4.80	2.93	7.22	1	cover	squad-1	3	bot-744			-	0	1	3	0	30	120
