t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
1241817	bot-395	bravo	A45rb3410	state	-16.87	-2.15	48	0.00	0.00		0	
1241850	bot-404	bravo	E00r-4219	tick	4.27	7.85	323	4.90	4.67	3.70	1	flee
1241883	bot-399	bravo	F45rb4410	state	-18.25	-6.79	39	0.00	0.00		0	
1241883	bot-399	bravo	F45rb3410	ammo	-18.25	-6.79	39	0.00	0.00		0	
1241900	bot-399	bravo	A45rb3410	state	-18.25	-6.79	39	0.00	0.00		0	
1241917	bot-322	bravo	D00m--0A0	tick	0.24	-15.74	45	0.00	0.00	5.37	0	
1241917	bot-395	bravo	F45rb3410	state	-16.87	-2.15	48	0.00	0.00		0	
1241917	bot-395	bravo	P45rb3414	state+latches	-16.87	-2.15	48	0.00	0.00		0	
1241917	bot-403	alpha	D00r--000	state+tier+score+ammo+packs	-8.26	5.60	228	0.00	0.00		0	
1241917	bot-399	bravo	S45rm3414	state+element+latches	-18.25	-6.79	39	0.00	0.00		0	
1241917	bot-400	bravo	S00r-4420	state	-19.95	-14.95	30	0.00	0.00		0	
1241937	bot-373	alpha	D00r--000	tick	24.07	5.65	252	0.00	0.00	3.90	0	
1241937	bot-395	bravo	S45rm3414	state+element	-16.87	-2.15	48	0.00	0.00		0	
1241937	bot-401	bravo	S00m-4430	state+latches	16.11	-13.20	12	0.00	0.00		0	
1241954	bot-395	bravo	A45rb3410	state+element+latches	-16.87	-2.15	52	0.00	0.00		0	
1241967	bot-400	bravo	A00r-4420	state	-19.95	-14.88	29	1.32	0.07	23.44	4	seek
1242017	bot-365	alpha	H00m-21D0	state	23.98	23.77	18	0.00	0.00		0	
1242050	bot-399	bravo	A45rb3410	state+element+latches	-18.25	-6.79	11	0.00	0.00		0	
1242150	bot-404	bravo	P00r-4210	state+latches	4.19	9.23	330	4.83	1.37		0	
1242150	bot-369	alpha	D00r--000	state+tier+score+element+ammo+packs+latches	2.98	11.33	239	0.00	1.91	5.22	2	flee
1242167	bot-379	bravo	D00r--000	tick	12.72	1.72	54	0.00	0.00		0	
1242167	bot-381	alpha	E49rm3029	element	-2.15	14.23	222	5.18	3.23	3.98	1	flee
1242167	bot-396	alpha	E49rb4229	element	-2.20	12.32	226	4.92	3.22	3.87	1	flee
1242167	bot-404	bravo	E00r-4210	state	4.18	9.30	330	4.79	0.08		0	
1242183	bot-398	bravo	S45rm4310	state	-16.54	-9.13	65	0.00	0.00		0	
1242183	bot-401	bravo	F00m-4430	state	16.19	-12.86	12	2.41	0.35	37.25	5	seek
1242183	bot-404	bravo	E00r-4219	latches	4.02	9.34	339	5.08	0.17	7.20	2	flee
1242200	bot-401	bravo	A00m-4430	state	16.19	-12.86	12	0.10	0.00		0	
1242250	bot-401	bravo	A00m-443G	latches	16.19	-12.86	12	0.09	0.00		0	
1242317	bot-394	alpha	M49mb24C0	element	0.22	17.37	259	4.46	2.62	7.48	1	medic
1242400	bot-381	alpha	E49rm3020	latches	-2.89	15.10	219	5.24	1.15	6.99	1	flee
1242417	bot-381	alpha	E49rm3029	latches	-2.83	15.16	219	5.08	0.08	6.91	1	flee
1242467	bot-396	alpha	E49rb4220	latches	-3.29	13.40	221	5.25	1.54	7.29	2	flee
1242467	bot-398	bravo	A45rm4310	state	-16.49	-8.69	24	2.43	0.44	18.82	3	seek
1242483	bot-396	alpha	E49rb4229	latches	-3.35	13.47	221	5.20	0.09	7.20	2	flee
1242483	bot-398	bravo	A45rm431G	latches	-16.49	-8.69	27	0.00	0.00		0	
1242483	bot-401	bravo	S00m-4430	state+latches	16.19	-12.86	12	0.00	0.00		0	
1242517	bot-370	alpha	E49rm4229	tick	2.24	10.21	270	5.10	4.18	9.40	3	flee
1242600	bot-365	alpha	H00m-22D0	health	23.98	23.77	146	0.00	0.00		0	
1242600	bot-395	bravo	F45rb3410	state	-16.87	-2.15	40	0.00	0.00		0	
1242600	bot-396	alpha	E49rb4129	health	-3.76	13.92	219	5.24	0.61	6.59	2	flee
1242617	bot-395	bravo	A45rb3410	state	-16.87	-2.15	39	0.00	0.00		0	
1242700	bot-396	alpha	E49rb4120	latches	-4.11	14.32	218	5.25	0.53	6.42	1	flee
1242717	bot-395	bravo	F45rb3410	state	-16.87	-2.15	38	0.00	0.00		0	
1242717	bot-395	bravo	P45rb3414	state+latches	-16.87	-2.15	38	0.00	0.00		0	
1242717	bot-396	alpha	D00r--000	state+tier+score+element+ammo+health+packs	-4.11	14.32	218	0.00	0.00	6.42	1	flee
1242717	bot-398	bravo	S45rm4310	state+latches	-16.49	-8.69	27	0.00	0.00		0	
1242717	bot-399	bravo	S45rm3414	state+element+latches	-18.25	-6.79	34	0.00	0.00		0	
1242717	bot-400	bravo	S00r-4420	state	-19.95	-14.88	28	0.00	0.00		0	
1242734	bot-330	bravo	D00r--000	tick	-23.78	-24.07	355	0.00	0.00	0.68	0	
1242734	bot-395	bravo	S45rm3414	state+element	-16.87	-2.15	38	0.00	0.00		0	
1242734	bot-398	bravo	P45rm4310	state	-16.48	-8.67	24	1.33	0.02	18.80	3	seek
1242734	bot-401	bravo	F00m-4430	state	16.27	-12.52	12	2.44	0.35	36.90	5	seek
1242750	bot-381	alpha	E49rb3029	element	-1.59	16.24	156	4.66	1.64	5.27	1	flee
1242750	bot-395	bravo	A45rb3410	state+element+latches	-16.87	-2.15	41	0.00	0.00		0	
1242750	bot-398	bravo	S45rm4310	state	-16.48	-8.65	20	1.37	0.02	31.20	0	
1242750	bot-401	bravo	U00m-4430	state	16.27	-12.52	12	0.01	0.00		0	
1242767	bot-365	alpha	H00m-22DG	latches	23.98	23.76	159	0.00	0.00		0	
1242767	bot-400	bravo	A00r-4420	state	-19.95	-14.81	30	1.32	0.07	32.81	5	seek
1242767	bot-401	bravo	U00m-443G	latches	16.28	-12.47	12	1.35	0.04	31.20	5	pursue
1242833	bot-370	alpha	E49rb4229	element	1.20	10.91	266	5.10	1.25	8.42	2	flee
1242883	bot-370	alpha	E49rm4229	element	1.17	11.16	253	5.07	0.25	8.17	2	flee
1243000	bot-365	alpha	H00m-22D0	latches	23.98	23.76	178	0.00	0.00		0	
1243000	bot-401	bravo	U00m-4430	latches	16.37	-12.08	12	4.12	0.40	30.79	5	pursue
1243084	bot-394	alpha	P49mb24C4	state+latches	-3.15	17.27	153	4.10	3.37	4.12	1	muzzleRecovery
1243100	bot-404	bravo	E00r-4210	latches	0.15	10.99	33	5.10	4.20	7.19	1	flee
1243117	bot-404	bravo	E00r-4219	latches	0.09	11.05	34	5.09	0.08	7.10	1	flee
1243133	bot-398	bravo	A45rm4310	state	-16.39	-7.95	24	2.40	0.71	18.10	3	seek
