t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
0	bot-196	alpha	P00m-3320	initial	7.40	5.69	90	0.69			0		squad-26	0	bot-196
0	bot-234	bravo	P00r-4410	initial	-9.99	-15.50	348	0.00			0		squad-27	0	bot-234
0	bot-236	bravo	P00r-4410	initial	-12.12	-18.28	51	0.00			0		squad-27	1	bot-234
0	bot-237	alpha	D00r--000	initial	-13.68	-4.00	103	0.00		6.31	0		squad-26	-1	bot-196
0	bot-238	bravo	P00r-4420	initial	-14.54	-15.84	342	0.00			0		squad-27	2	bot-234
0	bot-240	bravo	K00m-03C0	initial	-0.45	0.23	15	0.00			0		squad-27	4	bot-234
0	bot-244	bravo	P00r-4410	initial	-13.42	-20.30	55	0.00			0		squad-27	3	bot-234
0	bot-247	bravo	P00m-4320	initial	-15.23	-15.50	257	0.04		6.81	2	squad	squad-27	5	bot-234
0	bot-250	alpha	D00r--000	initial	-13.00	0.11	237	0.00		4.71	0		squad-26	-1	bot-196
0	bot-252	alpha	P00r-4110	initial	5.46	11.76	318	0.02		3.86	5	squad	squad-26	1	bot-196
0	bot-264	alpha	D00r--000	initial	5.67	9.95	203	0.00		1.93	0		squad-26	-1	bot-196
0	bot-269	bravo	D00r--000	initial	-23.99	6.08	36	0.00		4.56	0		squad-27	-1	bot-234
0	bot-270	bravo	D00r--000	initial	-14.99	-0.83	201	0.00		4.89	0		squad-27	-1	bot-234
0	bot-273	alpha	D00r--000	initial	2.53	18.86	233	0.00		1.67	0		squad-26	-1	bot-196
0	bot-274	alpha	D00m--0A0	initial	-11.54	5.23	101	0.00			0		squad-26	-1	bot-196
0	bot-275	alpha	D00r--000	initial	-7.75	0.12	117	0.00			0		squad-26	-1	bot-196
0	bot-276	alpha	D00r--000	initial	-7.05	-2.08	72	0.00		6.20	0		squad-26	-1	bot-196
0	bot-277	bravo	D00r--000	initial	16.94	-6.74	341	0.00		4.04	0		squad-104	-1	
0	bot-278	alpha	D00r--000	initial	-8.58	1.30	120	0.00		3.80	0		squad-26	-1	bot-196
0	bot-279	alpha	D00m--000	initial	-16.91	13.96	71	0.00			0		squad-26	-1	bot-196
0	bot-280	alpha	D00r--000	initial	-23.08	9.06	156	0.00		1.69	0		squad-26	-1	bot-196
0	bot-281	bravo	D00m--000	initial	0.97	7.89	190	0.00			0		squad-104	-1	
0	bot-282	alpha	D00r--000	initial	-16.61	6.47	46	0.00		4.42	0		squad-26	-1	bot-196
0	bot-283	alpha	S00r-4320	initial	-2.38	11.81	61	0.56		0.49	1	seek	squad-26	2	bot-196
0	bot-284	bravo	D00r--000	initial	6.82	9.57	264	0.00		4.30	0		squad-104	-1	
0	bot-285	alpha	D00m--0A0	initial	-5.45	-0.59	63	0.00		1.69	0		squad-26	-1	bot-196
0	bot-286	bravo	D00r--000	initial	-18.78	-6.15	117	0.00		0.34	0		squad-104	-1	
0	bot-287	alpha	D00r--000	initial	-5.55	-13.91	7	0.00		3.17	0		squad-26	-1	bot-196
0	bot-288	bravo	D00r--000	initial	13.80	18.71	265	0.00		5.73	0		squad-104	-1	
0	bot-289	bravo	D00m--000	initial	17.24	12.53	129	0.00		4.04	0		squad-104	-1	
0	bot-290	alpha	S00r-4410	initial	-3.47	7.24	104	1.38		1.90	1	seek	squad-26	3	bot-196
0	bot-291	alpha	D00r--000	initial	-1.51	12.21	75	0.00		4.15	0		squad-26	-1	bot-196
0	bot-292	bravo	D00r--000	initial	19.91	18.09	159	0.00		5.73	0		squad-104	-1	
