t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
0	bot-115	alpha	P00r-4320	initial	-11.25	-16.82	233	0.35			0	
0	bot-116	alpha	P00m-2200	initial	-15.90	-16.26	355	0.00			0	
0	bot-137	alpha	P00r-4310	initial	-11.09	-18.05	14	0.19			0	
0	bot-140	alpha	P00r-4310	initial	-13.62	-16.02	302	0.00			0	
0	bot-146	alpha	P00r-4310	initial	-11.10	-17.45	150	0.22			0	
0	bot-149	alpha	P00r-4310	initial	-11.26	-19.61	167	0.00			0	
0	bot-160	bravo	D00r--000	initial	9.62	-16.09	311	0.00		5.60	0	
0	bot-170	bravo	D00m--0A0	initial	-5.86	-10.78	144	0.00			0	
0	bot-171	bravo	D00r--000	initial	-12.21	9.52	237	0.00		12.81	0	
0	bot-175	bravo	D00r--000	initial	-11.33	-7.07	126	0.00		5.12	0	
0	bot-181	bravo	S00r-4320	initial	6.48	-6.54	78	2.47		14.41	3	seek
0	bot-183	bravo	D00m--0A0	initial	7.86	-15.17	316	0.00		4.43	0	
0	bot-185	alpha	D00r--000	initial	-9.69	-24.25	333	0.00			0	
0	bot-186	bravo	S00r-4420	initial	9.67	-7.85	71	2.45		8.87	2	seek
0	bot-189	alpha	D00m--000	initial	22.19	-3.27	256	0.00		3.38	0	
0	bot-190	alpha	D00r--000	initial	9.73	21.88	214	0.00		4.27	0	
0	bot-191	bravo	D00r--000	initial	11.84	-17.46	69	0.00		5.50	0	
0	bot-192	alpha	D00r--000	initial	14.15	-14.64	287	0.00		5.38	0	
0	bot-193	bravo	S00r-4320	initial	9.52	-6.48	59	1.13		33.60	4	seek
0	bot-194	alpha	D00r--000	initial	3.36	-10.27	125	0.00		3.98	0	
0	bot-195	alpha	D00m--000	initial	20.88	-4.71	347	0.00		5.31	0	
0	bot-196	bravo	P00m-34B0	initial	2.40	-5.91	357	1.97		6.30	1	squad
0	bot-197	alpha	D00r--000	initial	-1.93	4.14	3	0.00		6.32	0	
0	bot-198	bravo	D00r--000	initial	16.15	-7.91	9	0.00		6.41	0	
0	bot-199	alpha	D00r--000	initial	13.90	-16.56	284	0.00		1.93	0	
