t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
0	bot-1	alpha	S48rm4310	initial	17.52	15.58	144	3.96		37.56	6	seek
0	bot-2	bravo	S00r-4410	initial	-6.17	4.52	39	2.05		14.76	4	seek
0	bot-3	alpha	S48rm4410	initial	16.80	14.26	228	4.16		5.27	1	grenade
0	bot-4	bravo	S00r-4410	initial	-8.48	3.29	27	2.40		16.57	3	seek
0	bot-5	alpha	S48rm4310	initial	18.16	16.93	252	4.15		34.54	5	seek
0	bot-6	bravo	S00r-4310	initial	-9.37	-4.86	22	2.02		28.58	4	seek
0	bot-7	alpha	D00m--000	initial	0.92	17.45	225	0.00		4.79	0	
0	bot-8	bravo	P00m-4420	initial	-18.64	0.84	81	1.64		16.18	3	squad
0	bot-9	alpha	D00r--000	initial	-1.37	14.67	272	0.00		5.09	0	
0	bot-10	bravo	P00r-4410	initial	-9.96	3.11	9	2.24		2.91	1	squad
394	bot-1	alpha	S47rm4310	score	17.49	15.40	155	4.21	0.19	5.60	1	grenade
394	bot-3	alpha	S47rm4410	score	16.65	14.19	229	4.01	0.17	31.11	6	seek
394	bot-5	alpha	S47rm4310	score	18.11	16.77	252	4.16	0.17	38.10	6	seek
494	bot-11	alpha	P00r-0410	initial	20.55	13.05	0	0.00			0	
494	bot-12	bravo	P00r-0410	initial	-10.95	6.55	0	0.00			0	
511	bot-1	alpha	S46rm4310	score	17.43	15.42	160	3.96	0.06	36.70	6	seek
511	bot-3	alpha	S46rm4410	score	16.68	14.12	224	4.28	0.07	29.41	5	seek
511	bot-5	alpha	S46rm4310	score	18.18	16.71	247	4.18	0.09	5.69	1	grenade
511	bot-11	alpha	P32r-4410	tier+score+ammo	20.55	13.05	0	0.00	0.00		0	
511	bot-12	bravo	S00r-4410	state+ammo	-10.95	6.55	0	0.00	0.00		0	
628	bot-1	alpha	S45rm4310	score	17.48	15.35	155	4.22	0.09	5.57	1	grenade
628	bot-3	alpha	S45rm4410	score	16.70	14.06	220	4.14	0.06	5.56	1	grenade
628	bot-5	alpha	S45rm4310	score	18.11	16.71	252	4.15	0.06	38.06	6	seek
711	bot-1	alpha	S44rm4310	score	17.44	15.39	160	3.96	0.05	37.93	6	seek
711	bot-3	alpha	S44rm4410	score	16.68	14.14	224	4.42	0.08	28.79	5	seek
711	bot-5	alpha	S44rm4310	score	18.06	16.74	256	4.13	0.06	37.91	6	seek
1011	bot-2	bravo	S00r-4410	tick	-4.81	6.47	36	2.42	2.38	12.39	4	seek
