t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
0	bot-467	alpha	D00r--000	initial	-22.82	2.28	83	0.00		51.12	0		squad-1	-1	bot-736	bot-781	58.82	y	0	12	42	0	12	42
0	bot-548	alpha	A44rb1420	initial	-25.75	7.31	88	0.00			0		squad-1	6	bot-736	bot-781	60.95	y	0	1	13	0	1	13
0	bot-651	alpha	S21r-2420	initial	-147.44	-13.67	175	1.08		16.89	3	seek	squad-65	3	bot-659			-	0	10	87	0	10	87
0	bot-659	alpha	E21r-R229	initial	-145.35	-15.09	167	5.39		0.84	1	flee	squad-65	0	bot-659	bot-810	16.00	w	0	9	97	0	20	101
0	bot-684	alpha	D00r--000	initial	-22.64	-20.14	16	0.00		6.52	0		squad-1	-1	bot-736	bot-794	28.68	y	0	21	99	0	7	35
0	bot-704	alpha	S21r-4320	initial	-147.05	-16.70	168	1.74		15.41	3	seek	squad-65	1	bot-659			-	0	23	120	0	7	35
0	bot-706	alpha	M21m-23E0	initial	-145.21	-14.22	129	4.05		1.15	1	medic	squad-65	4	bot-659			-	0	9	101	0	7	35
0	bot-712	alpha	S21r-4420	initial	-145.90	-10.51	174	2.41		21.84	4	seek	squad-65	5	bot-659			-	0	1	24	0	7	35
0	bot-714	alpha	P00m-23C0	initial	-146.66	4.48	136	1.31		23.62	4	squad	squad-65	6	bot-659			-	0	7	101	0	7	35
0	bot-722	alpha	D00m--000	initial	61.50	-8.47	1	0.00		4.98	0		squad-1	-1	bot-736	bot-767	27.92	y	0	17	72	0	7	35
0	bot-730	alpha	S21m-23D0	initial	-145.57	-5.72	176	2.04		28.59	4	seek	squad-65	7	bot-659			-	0	9	85	0	7	35
0	bot-732	alpha	D00r--000	initial	53.52	-14.87	17	0.00		1.41	0		squad-1	-1	bot-736	bot-791	17.71	y	0	0	25	0	4	35
0	bot-736	alpha	S44rm4420	initial	-28.03	4.77	88	2.75		68.83	10	seek	squad-1	0	bot-736			-	0	23	120	0	7	35
0	bot-738	alpha	A34m-34A0	initial	-27.95	-6.55	83	0.25			0		squad-1	7	bot-736	bot-761	40.51	y	0	14	101	0	7	35
0	bot-740	alpha	S21r-4320	initial	-146.59	-14.31	181	1.02		17.94	3	seek	squad-65	2	bot-659			-	0	23	120	0	7	35
0	bot-742	alpha	D00r--000	initial	56.57	-9.43	7	0.00		6.11	0		squad-1	-1	bot-736	bot-791	9.45	y	0	8	120	0	7	35
0	bot-744	alpha	P00r-4420	initial	11.55	-2.72	284	2.08		41.52	6	squad	squad-1	1	bot-736			-	0	30	120	0	7	35
0	bot-746	alpha	D00m--0A0	initial	40.54	-12.75	51	0.00		2.04	0		squad-1	-1	bot-736	bot-767	27.29	y	0	4	35	0	4	35
0	bot-749	alpha	C44rb4322	initial	-27.50	9.73	353	4.98		3.11	2	cover	squad-1	2	bot-736			-	0	29	120	0	20	101
0	bot-751	alpha	D00r--000	initial	-27.06	3.62	89	0.00		66.32	0		squad-1	-1	bot-736			-	0	28	120	0	20	101
0	bot-753	alpha	A44rb4320	initial	-28.32	12.61	109	0.64			0		squad-1	8	bot-736	bot-761	42.86	y	0	1	29	0	20	101
0	bot-755	alpha	D00m--000	initial	41.53	-10.97	225	0.00		5.35	0		squad-1	-1	bot-736	bot-777	46.51	w	0	20	87	0	7	35
0	bot-757	alpha	G44rm4422	initial	-22.75	7.75	113	0.00			0		squad-1	3	bot-736			-	0	1	1	0	30	120
0	bot-761	bravo	A00r-3420	initial	12.20	-1.34	263	0.53			0		squad-87	0	bot-761	bot-738	40.46	y	0	17	99	0	20	101
0	bot-765	bravo	S00r-3320	initial	21.53	-6.43	286	2.52		53.34	7	seek	squad-87	1	bot-761			-	0	21	120	0	20	101
0	bot-766	bravo	S00r-4420	initial	18.01	-4.82	286	2.20		57.55	8	seek	squad-87	3	bot-761			-	0	1	24	0	7	35
0	bot-767	bravo	S00m-33C0	initial	17.25	-3.09	282	2.15		52.04	8	seek	squad-87	4	bot-761			-	0	14	101	0	7	35
0	bot-769	alpha	D00m--000	initial	39.61	-10.54	121	0.00		23.38	0		squad-1	-1	bot-736			-	0	11	101	0	7	35
0	bot-770	bravo	D00r--000	initial	-16.72	23.85	153	0.00		4.02	0		squad-83	-1	bot-810	bot-651	39.43	y	0	25	120	0	7	35
0	bot-771	bravo	D00r--000	initial	-22.17	22.36	225	0.00		4.38	0		squad-83	-1	bot-810	bot-742	16.02	y	0	25	120	0	20	101
0	bot-772	bravo	D00m--000	initial	-11.75	22.35	171	0.00		3.13	0		squad-83	-1	bot-810	bot-548	19.72	y	0	20	101	0	7	35
0	bot-773	bravo	D00r--000	initial	-12.43	20.53	225	0.00		5.38	0		squad-83	-1	bot-810	bot-548	18.36	y	0	30	120	0	20	101
0	bot-775	bravo	D00r--000	initial	-11.15	19.93	182	0.00		3.18	0		squad-83	-1	bot-810	bot-548	18.33	y	0	25	120	0	20	101
0	bot-776	bravo	D00m--000	initial	-42.91	16.74	175	0.00		6.63	0		squad-83	-1	bot-810	bot-732	27.91	y	0	20	101	0	7	35
0	bot-777	bravo	A33r-R410	initial	42.28	11.66	264	0.00			0		squad-87	5	bot-761	bot-736	70.65	y	0	0	21	0	20	101
0	bot-778	bravo	P00r-4310	initial	13.24	0.34	339	2.68		0.80	1	squad	squad-87	2	bot-761			-	0	1	2	0	30	120
0	bot-779	bravo	D00r--000	initial	61.67	16.46	314	0.00		4.74	0		squad-87	-1	bot-761	bot-746	35.94	f	0	28	120	0	20	101
0	bot-780	bravo	P00m-4420	initial	15.03	-2.98	267	2.02		8.79	4	squad	squad-87	6	bot-761			-	0	20	101	0	7	35
0	bot-781	bravo	E33r-4019	initial	35.42	9.33	237	4.88		3.74	1	flee	squad-88	0	bot-781			-	0	27	120	0	20	101
0	bot-782	bravo	S33r-4410	initial	38.51	2.59	278	2.68		71.98	12	seek	squad-88	1	bot-781			-	0	28	120	0	7	35
0	bot-783	bravo	S00r-4420	initial	32.28	-6.43	239	2.13		67.33	11	seek	squad-88	2	bot-781			-	0	28	120	0	20	101
0	bot-784	bravo	M33m-4420	initial	36.90	2.39	323	5.67		6.68	1	medic	squad-88	5	bot-781			-	0	20	101	0	7	35
0	bot-785	bravo	C33r-4412	initial	28.01	5.32	286	4.57		8.61	2	cover	squad-88	3	bot-781			-	0	30	120	0	20	101
0	bot-786	bravo	S33r-4410	initial	38.08	9.15	246	2.35		67.29	10	seek	squad-88	4	bot-781			-	0	29	120	0	7	35
