t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve	role_id
1695149	bot-1923	alpha	A00r-0310	latches	-1.34	6.42	123	6.14	0.31	3.41	1	grenade	squad-395	0	bot-1923	bot-1931	25.32	y	0	0	4	0	30	120	technical
1695209	bot-1747	alpha	A00r-3420	state	24.43	-23.92	4	0.36	0.00		0		squad-1	0	bot-1747	bot-1920	34.34	y	0	22	79	0	22	79	technical
1695209	bot-1902	alpha	F00r-3310	state	-8.03	6.57	160	0.00	0.00		0		squad-1	3	bot-1747	bot-1931	27.04	y	0	19	120	0	7	35	rifleman
1695209	bot-1912	bravo	M49mm4320	latches	21.31	5.79	186	5.76	1.32	2.65	1	grenade	squad-2	4	bot-1873	bot-1923	22.46	w	2	20	83	0	7	35	medic
1695209	bot-1931	bravo	F10r-4310	state+health	1.26	-18.76	37	0.00	0.00		0		squad-397	0	bot-1931	bot-1876	7.06	y	0	18	101	0	18	101	sniper
1695258	bot-1848	alpha	S32r-4320	tier+score	4.98	-8.72	23	2.40	0.92	28.67	5	seek	squad-1	1	bot-1747			-	0	27	99	0	7	35	rifleman
1695258	bot-1855	alpha	A32r-4320	tier+score	6.17	2.56	221	5.82	1.34	3.71	1	grenade	squad-1	5	bot-1747	bot-1931	22.14	y	0	1	26	0	9	101	sniper
1695258	bot-1876	alpha	E32r-4129	tier+score+health	5.58	-12.42	3	7.14	2.35	2.17	1	flee	squad-1	2	bot-1747			-	0	1	1	0	25	120	technical
1695258	bot-1902	alpha	A00r-3310	state	-8.03	6.57	160	0.00	0.00		0		squad-1	3	bot-1747	bot-1931	27.04	y	0	18	120	0	7	35	rifleman
1695258	bot-1913	alpha	A33r-3410	state+score	6.89	1.27	122	4.52	1.09	4.03	1	grenade	squad-383	3	bot-1897	bot-1929	20.37	w	0	20	120	0	20	101	rifleman
1695258	bot-1917	alpha	A00m-2420	state	-3.56	4.06	131	5.94	0.83	4.59	1	grenade	squad-1	8	bot-1747	bot-1924	26.14	w	0	10	101	0	7	35	medic
1695258	bot-1925	alpha	S33r-4410	score	2.14	-6.99	328	5.53	0.62	5.06	1	grenade	squad-1	4	bot-1747			-	0	30	120	0	20	101	rifleman
1695258	bot-1931	bravo	A10r-4310	state	1.26	-18.76	36	0.00	0.00		0		squad-397	0	bot-1931	bot-1876	7.37	y	0	17	101	0	17	101	sniper
1695306	bot-1747	alpha	F00r-3420	state	24.43	-23.92	4	0.35	0.00		0		squad-1	0	bot-1747	bot-1920	34.34	y	0	22	79	0	22	79	technical
1695306	bot-1855	alpha	A33r-4320	score	5.99	2.35	221	5.84	0.28	3.44	1	grenade	squad-1	5	bot-1747	bot-1931	21.89	y	0	1	26	0	9	101	sniper
1695306	bot-1920	bravo	E49rm4220	state+health	26.74	10.28	184	0.00	0.00		0		squad-2	1	bot-1873	bot-1747	34.34	y	0	30	120	0	30	120	technical
1695306	bot-1924	bravo	E49mm4229	latches	22.69	11.39	351	7.93	2.05	1.57	1	flee	squad-2	5	bot-1873	bot-1923	25.09	w	2	20	101	0	7	35	medic
1695357	bot-1747	alpha	A00r-3420	state	24.43	-23.92	4	0.00	0.00		0		squad-1	0	bot-1747	bot-1920	34.34	y	0	21	79	0	21	79	technical
1695357	bot-1920	bravo	E49rm4229	latches	26.74	11.08	184	8.21	0.80	6.51	3	flee	squad-2	1	bot-1873	bot-1747	34.72	y	0	30	120	0	30	120	technical
1695357	bot-1931	bravo	C10r-4310	state	1.26	-18.76	33	0.00	0.00		0		squad-397	0	bot-1931	bot-1876	7.99	y	0	17	101	0	17	101	sniper
1695399	bot-1823	alpha	A21r-3320	state	10.48	4.72	258	1.44	2.58	5.48	1	grenade	squad-372	1	bot-1765	bot-1929	14.83	w	0	17	120	0	17	120	technical
1695399	bot-1901	bravo	C49rb4322	tick	22.34	5.60	295	7.42	1.43	4.18	2	cover	squad-2	3	bot-1873			-	2	1	27	0	16	101	sniper
1695399	bot-1931	bravo	C10r-4312	latches	1.82	-18.97	29	6.51	0.60	5.24	1	cover	squad-397	0	bot-1931	bot-1876	8.51	y	0	16	101	0	16	101	sniper
1695441	bot-1747	alpha	F00r-3420	state	24.43	-23.92	4	0.00	0.00		0		squad-1	0	bot-1747	bot-1920	35.13	y	0	21	79	0	21	79	technical
1695441	bot-1866	alpha	C00r-R42I	latches	-3.40	10.44	268	5.80	2.21	3.30	1	grenade	squad-383	5	bot-1897	bot-1931	29.67	f	0	0	27	0	6	30	sniper
1695441	bot-1912	bravo	S49mm4320	state	20.64	6.07	209	7.29	0.73	6.45	4	medic	squad-2	4	bot-1873	bot-1923	23.48	w	2	20	83	0	7	35	medic
