t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
116638	bot-44	bravo	E45mm30BG	element+latches	-0.79	4.47	70	4.33	0.44	3.77	1	grenade	squad-7	0	bot-44	bot-30	18.30	w
116638	bot-52	alpha	S00r-4410	tick	-19.92	26.45	119	2.22	0.67	24.86	14	seek	squad-8	4	bot-45	bot-27	37.05	w
116638	bot-54	bravo	P00r-4410	tick	22.16	33.80	69	2.06	0.91		2	patrol	squad-15	0	bot-54	bot-30	21.85	w
116838	bot-30	alpha	P00m-3100	state+latches	15.09	13.09	242	0.74	0.00		0		squad-6	1	bot-37	bot-44	18.29	w
116838	bot-31	bravo	G45rb4412	state	6.83	-0.11	165	4.57	0.46	0.42	1	cover	squad-7	2	bot-44	bot-30	15.35	w
116838	bot-44	bravo	E45mm30B0	latches	-0.63	4.60	70	3.87	0.21	3.58	1	grenade	squad-7	0	bot-44	bot-30	18.08	w
116838	bot-48	alpha	P00m-4420	tick	-18.83	24.98	186	2.47	0.84	2.30	1	packseek	squad-8	5	bot-45	bot-27	35.11	w
117008	bot-22	alpha	D00m--000	tick	9.50	9.09	237	0.00	0.00	31.38	0		squad-6	-1	bot-37	bot-40	30.65	w
117008	bot-27	bravo	C45rm4410	state	3.63	-1.75	350	2.15	0.21	8.42	5	seek	squad-7	1	bot-44	bot-37	18.66	w
117008	bot-43	bravo	E35r-3129	latches	4.01	16.11	11	4.08	0.09	3.72	1	grenade	squad-7	3	bot-44	bot-30	11.55	w
117008	bot-53	bravo	P00r-4410	tick	-20.41	16.14	0	3.65	0.02	2.42	1	grenade	squad-7	5	bot-44	bot-30	35.45	w
117113	bot-27	bravo	C45rm4412	latches	3.79	-1.87	3	0.38	0.19		0		squad-7	1	bot-44	bot-37	18.63	w
117113	bot-43	bravo	E35r-3120	latches	4.07	16.31	11	4.12	0.21	3.51	1	grenade	squad-7	3	bot-44	bot-30	11.54	w
117113	bot-44	bravo	E45mb30B0	element	-0.36	4.69	74	2.61	0.30	3.76	1	grenade	squad-7	0	bot-44	bot-30	17.72	y
117266	bot-30	alpha	F00m-3100	state	15.09	13.09	242	0.00	0.00		0		squad-6	1	bot-37	bot-44	17.72	w
117399	bot-30	alpha	A00m-3100	state	15.09	13.09	241	0.00	0.00		0		squad-6	1	bot-37	bot-44	17.59	y
117399	bot-33	bravo	H45mm3320	tick	3.02	-1.95	186	0.39	0.06	0.79	0	grenade	squad-7	6	bot-44	bot-37	18.97	w
117399	bot-37	alpha	C00r-4312	tick	9.02	15.70	281	0.00	0.00		0		squad-6	0	bot-37	bot-27	18.64	w
117399	bot-43	bravo	E35r-3129	latches	4.13	16.19	24	4.07	0.13	4.83	1	grenade	squad-7	3	bot-44	bot-30	11.52	w
117399	bot-45	alpha	S00r-4310	tick	-23.41	25.35	158	2.38	0.87	26.02	4	seek	squad-8	0	bot-45	bot-44	31.20	w
117399	bot-47	alpha	S00r-4410	tick	-22.14	23.29	142	2.70	1.01	28.77	5	seek	squad-8	1	bot-45	bot-44	28.92	w
117399	bot-49	bravo	S00r-4410	tick	-15.40	-5.58	243	4.87	0.27	35.34	10	seek	squad-7	4	bot-44	bot-30	35.91	w
117399	bot-51	alpha	S00r-4410	tick	-20.49	25.17	118	2.26	0.24	31.24	6	seek	squad-8	3	bot-45	bot-31	37.42	w
117531	bot-27	bravo	S45rm4410	state+latches	3.78	-1.87	3	0.02	0.01		0		squad-7	1	bot-44	bot-37	18.64	w
117531	bot-30	alpha	F00m-3100	state	15.09	13.09	241	0.00	0.00		0		squad-6	1	bot-37	bot-44	17.46	y
117531	bot-43	bravo	E35r-3120	latches	3.85	16.23	24	5.82	0.29	5.60	5	flee	squad-7	3	bot-44	bot-30	11.46	w
117531	bot-50	alpha	S00r-2410	tick	-32.52	17.52	146	2.84	0.87	36.79	18	seek	squad-8	2	bot-45	bot-43	36.55	w
117636	bot-30	alpha	A00m-3100	state	15.09	13.09	241	0.00	0.00		0		squad-6	1	bot-37	bot-44	17.34	y
117636	bot-37	alpha	S00r-4310	state+latches	9.02	15.70	281	0.00	0.00		0		squad-6	0	bot-37	bot-27	18.55	w
117636	bot-37	alpha	P00r-4310	state	9.02	15.70	281	0.00	0.00		0		squad-6	0	bot-37	bot-27	18.55	w
117636	bot-43	bravo	E35r-3129	latches	3.98	16.38	37	3.91	0.20	5.07	1	grenade	squad-7	3	bot-44	bot-30	11.75	w
117742	bot-30	alpha	F00m-3100	state	15.09	13.09	241	0.00	0.00		0		squad-6	1	bot-37	bot-44	17.24	y
117742	bot-43	bravo	E35r-3120	latches	3.95	16.09	37	5.87	0.29	3.78	2	flee	squad-7	3	bot-44	bot-30	11.67	w
117742	bot-52	alpha	S00r-4410	tick	-19.27	25.73	130	2.64	0.96	23.95	14	seek	squad-8	4	bot-45	bot-27	35.90	w
117742	bot-54	bravo	P00r-4410	tick	23.04	33.84	82	2.41	0.88		2	patrol	squad-15	0	bot-54	bot-30	22.18	w
117879	bot-27	bravo	C45rm4410	state	3.62	-1.64	18	4.70	0.28	7.85	5	seek	squad-7	1	bot-44	bot-37	18.59	w
117879	bot-30	alpha	P00m-3100	state	15.09	13.09	241	1.29	0.00		1	muzzleRecovery	squad-6	1	bot-37	bot-44	17.14	y
117879	bot-31	bravo	G45rb4412	tick	6.62	-0.47	72	0.00	0.42		0		squad-7	2	bot-44	bot-30	16.03	w
117879	bot-43	bravo	E35r-3129	latches	4.06	16.26	34	4.10	0.20	4.81	1	grenade	squad-7	3	bot-44	bot-30	11.68	w
117879	bot-48	alpha	P00m-4420	tick	-18.59	24.04	168	2.01	0.97	1.33	1	packseek	squad-8	5	bot-45	bot-27	34.33	w
117986	bot-27	bravo	C45rm4412	latches	3.77	-1.77	31	0.16	0.20		0		squad-7	1	bot-44	bot-37	18.53	w
117986	bot-43	bravo	E35r-3120	latches	4.01	15.97	34	5.85	0.29	3.66	2	flee	squad-7	3	bot-44	bot-30	11.67	w
118103	bot-22	alpha	D00m--000	tick	9.50	9.09	237	0.00	0.00	31.38	0		squad-6	-1	bot-37	bot-40	30.65	w
118103	bot-43	bravo	E35r-3129	latches	3.98	15.77	47	4.08	0.20	3.60	2	flee	squad-7	3	bot-44	bot-30	11.71	w
118103	bot-53	bravo	P00r-4410	tick	-20.24	16.11	347	4.83	0.17	23.46	4	squad	squad-7	5	bot-44	bot-30	35.90	w
118248	bot-31	bravo	S45rb4414	state+latches	6.62	-0.47	51	0.00	0.00		0		squad-7	2	bot-44	bot-30	16.14	w
118248	bot-44	bravo	E45mb30B0	tick	0.60	5.07	66	2.26	1.03	4.02	2	grenade	squad-7	0	bot-44	bot-30	17.00	y
118389	bot-27	bravo	S45rm4410	state+latches	3.76	-1.77	31	0.01	0.00		0		squad-7	1	bot-44	bot-37	18.76	w
118389	bot-31	bravo	S45rm4414	element	6.62	-0.47	31	0.00	0.00		0		squad-7	2	bot-44	bot-30	16.23	w
118389	bot-37	alpha	A00r-4310	state	9.29	15.96	333	2.64	0.38	29.55	4	patrolReentry	squad-6	0	bot-37	bot-27	18.76	w
118389	bot-43	bravo	E35r-3120	latches	4.01	16.18	21	4.08	0.41	3.58	1	grenade	squad-7	3	bot-44	bot-30	11.84	w
118393	bot-44	bravo	D00m--0A0	state+tier+score+element+ammo+packs	0.71	5.13	62	0.00	0.13	4.56	1	grenade	squad-7	0	bot-44	bot-30	16.95	y
