t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
0	bot-352	alpha	P00m-4420	initial	-29.53	-17.82	207	2.41			1	patrolLocal	squad-1	0	bot-352			-
0	bot-402	bravo	S00r-4410	initial	-33.66	34.65	73	0.00			0		squad-101	0	bot-402	bot-453	16.90	w
0	bot-405	bravo	S00r-4310	initial	-27.21	15.59	98	0.00			0		squad-101	1	bot-402			-
0	bot-410	alpha	P00r-4310	initial	0.85	-2.54	334	0.00			0		squad-1	1	bot-352			-
0	bot-411	bravo	D00m--0A0	initial	-8.88	16.14	157	0.00		45.64	0		squad-101	-1	bot-402	bot-438	47.22	w
0	bot-427	bravo	D00m--0A0	initial	-8.56	15.95	157	0.00			0		squad-101	-1	bot-402	bot-438	46.55	y
0	bot-434	bravo	D00r--000	initial	-13.74	-7.69	19	0.00		3.10	0		squad-2	-1	bot-468	bot-445	25.31	y
0	bot-435	alpha	D00m--0A0	initial	16.96	-26.28	351	0.00		0.29	0		squad-106	-1		bot-411	48.65	y
0	bot-437	bravo	D00m--0A0	initial	-10.41	17.67	134	0.00			0		squad-101	-1	bot-402	bot-447	16.87	y
0	bot-438	alpha	D00r--000	initial	3.44	-29.26	354	0.00			0		squad-106	-1		bot-437	35.93	y
0	bot-439	alpha	D00r--000	initial	15.02	-26.33	332	0.00		4.84	0		squad-106	-1		bot-427	44.87	y
0	bot-441	bravo	D00r--000	initial	-12.80	-5.04	152	0.00		4.32	0		squad-2	-1	bot-468	bot-438	25.99	y
0	bot-442	alpha	D00r--000	initial	9.02	-27.90	318	0.00		1.77	0		squad-106	-1		bot-434	26.59	y
0	bot-443	bravo	D00r--000	initial	-17.50	34.55	192	0.00			0		squad-101	-1	bot-402	bot-448	11.57	y
0	bot-444	alpha	D00r--000	initial	-7.52	-4.96	21	0.00			0		squad-1	-1	bot-352	bot-427	16.12	y
0	bot-445	alpha	P00r-4200	initial	16.81	28.34	40	2.20			3	patrol	squad-108	0	bot-445	bot-462	55.79	r
0	bot-446	alpha	D00m--000	initial	9.74	11.00	244	0.00		5.84	0		squad-108	-1	bot-445	bot-437	10.99	y
0	bot-447	alpha	C21r-232I	initial	0.67	-31.52	83	3.96		2.27	2	cover	squad-108	1	bot-445	bot-469	15.69	w
0	bot-448	alpha	H00r-3210	initial	-14.31	6.92	229	0.00			0		squad-108	2	bot-445	bot-468	17.27	w
0	bot-449	bravo	D00r--000	initial	-20.56	30.29	69	0.00		1.55	0		squad-101	-1	bot-402	bot-448	2.51	y
0	bot-450	bravo	P00m-4420	initial	-33.09	32.56	91	0.00			0		squad-101	2	bot-402			-
0	bot-451	bravo	D00r--000	initial	-22.37	0.61	74	0.00		4.88	0		squad-2	-1	bot-468	bot-447	31.09	y
0	bot-452	bravo	D00r--000	initial	-32.66	-6.91	46	0.00			0		squad-2	-1	bot-468	bot-447	10.41	y
0	bot-453	alpha	S00r-4320	initial	-16.88	34.14	302	0.00			0		squad-108	3	bot-445	bot-402	16.90	w
0	bot-454	alpha	D00m--000	initial	-11.10	3.42	281	0.00		4.47	0		squad-108	-1	bot-445	bot-452	24.99	w
0	bot-455	alpha	E21r-4229	initial	-1.90	-29.84	316	3.84		4.71	2	flee	squad-108	4	bot-445	bot-468	41.31	w
0	bot-456	bravo	D00r--000	initial	-6.04	10.57	224	0.00		5.59	0		squad-2	-1	bot-468			-
