t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id
32973	bot-23	bravo	H45rm4310	score	1.82	18.94	234	0.00	0.00		0		squad-4	2	bot-19	bot-15
32973	bot-24	alpha	A00r-4410	state	-13.44	15.06	107	0.00	0.00		0		squad-3	4	bot-13	bot-25
32973	bot-25	bravo	E45rb4219	latches	2.80	10.31	192	1.85	0.13	4.43	1	flee	squad-4	3	bot-19	bot-15
32999	bot-13	alpha	S00r-3410	latches	-7.56	12.77	116	0.00	0.00		0		squad-3	0	bot-13	bot-25
32999	bot-23	bravo	C45rm4310	state	1.82	18.94	234	0.00	0.00		0		squad-4	2	bot-19	bot-15
33031	bot-23	bravo	C45rb4312	element+latches	1.77	18.88	222	1.38	0.08	6.31	4	cover	squad-4	2	bot-19	bot-15
33031	bot-24	alpha	A00r-441G	latches	-13.44	15.06	106	0.00	0.00		0		squad-3	4	bot-13	bot-25
33112	bot-26	alpha	F21r-4410	state	-11.79	13.82	103	0.00	0.00		0		squad-3	6	bot-13	bot-25
33112	bot-26	alpha	F21r-3410	ammo	-11.79	13.82	103	0.00	0.00		0		squad-3	6	bot-13	bot-25
33160	bot-19	bravo	T46mm3320	score	0.92	17.93	204	0.00	0.00	1.36	1	medic	squad-4	0	bot-19	bot-15
33160	bot-21	bravo	E46rm4421	score	-1.50	15.55	201	5.01	0.72	2.15	1	flee	squad-4	1	bot-19	bot-22
33160	bot-23	bravo	C46rb4312	score	1.65	18.75	212	1.37	0.17	6.26	4	cover	squad-4	2	bot-19	bot-15
33160	bot-25	bravo	E46rb4019	score+health	2.93	10.75	233	5.06	0.47	3.96	1	flee	squad-4	3	bot-19	bot-15
33160	bot-26	alpha	A21r-3410	state	-11.79	13.82	103	0.00	0.00		0		squad-3	6	bot-13	bot-25
33194	bot-20	alpha	E00m-2229	ammo	-8.20	1.28	50	4.74	1.90	0.34	1	flee	squad-3	5	bot-13	bot-25
33194	bot-22	alpha	S00r-4310	state+latches	-3.54	10.41	110	0.06	0.17		0		squad-3	3	bot-13	bot-25
33194	bot-26	alpha	A21r-341G	latches	-11.79	13.82	102	0.00	0.00		0		squad-3	6	bot-13	bot-25
33234	bot-21	bravo	E46rm442H	latches	-1.29	15.84	202	4.76	0.35	1.81	1	flee	squad-4	1	bot-19	bot-22
33268	bot-20	alpha	E00m-2220	latches	-8.21	1.30	49	0.59	0.02		0		squad-3	5	bot-13	bot-25
33268	bot-24	alpha	S00r-4410	state+latches	-13.44	15.06	106	0.00	0.00		0		squad-3	4	bot-13	bot-25
33312	bot-15	alpha	C00r-4410	state	-4.93	6.34	349	2.43	1.17	7.63	2	seek	squad-3	1	bot-13	bot-23
33364	bot-15	alpha	C00r-4412	latches	-4.99	6.65	7	4.86	0.32	5.97	1	cover	squad-3	1	bot-13	bot-25
33364	bot-20	alpha	P00m-2220	state	-8.21	1.30	48	0.00	0.00		0		squad-3	5	bot-13	
33364	bot-25	bravo	D00r--000	state+tier+score+element+ammo+packs+latches	3.15	11.49	238	0.00	0.76	3.19	1	flee	squad-4	3	bot-19	bot-15
33364	bot-21	bravo	E48rm442H	score	-0.96	16.25	202	3.88	0.53	1.29	1	flee	squad-4	1	bot-19	bot-22
33364	bot-23	bravo	C48rb4412	score+health	1.25	18.15	211	4.01	0.72	6.21	4	cover	squad-4	2	bot-19	bot-15
33364	bot-26	alpha	P21r-4410	state+ammo+latches	-11.79	13.82	102	0.00	0.00		0		squad-3	6	bot-13	
33404	bot-19	bravo	T48mm3320	score	0.83	17.89	223	0.57	0.09	1.44	1	medic	squad-4	0	bot-19	bot-15
33404	bot-20	alpha	E00m-2220	state	-8.21	1.30	48	0.01	0.00		0		squad-3	5	bot-13	
33434	bot-24	alpha	P00r-4410	state	-13.34	14.95	102	0.88	0.15	16.74	5	seek	squad-3	4	bot-13	
33509	bot-19	bravo	M48mb3320	state+element	0.70	17.84	225	0.06	0.14	1.57	1	medic	squad-4	0	bot-19	bot-15
33509	bot-21	bravo	E48rb4421	element+latches	-0.56	16.60	215	4.58	0.53	0.75	1	flee	squad-4	1	bot-19	bot-18
33509	bot-23	bravo	C48rm4412	element	1.25	17.86	225	3.33	0.30	6.38	4	cover	squad-4	2	bot-19	bot-18
33509	bot-26	alpha	P00r-4410	tier+score	-11.79	13.82	102	0.00	0.00		0		squad-3	6	bot-13	bot-19
33544	bot-19	bravo	T48mb3320	state	0.51	17.97	227	4.56	0.23	0.58	1	medic	squad-4	0	bot-19	bot-18
33656	bot-21	bravo	E48rb4420	latches	-0.28	16.91	227	4.65	0.41	1.32	1	flee	squad-4	1	bot-19	bot-18
33709	bot-21	bravo	E48rb4421	latches	-0.46	17.07	225	4.43	0.24	1.10	1	flee	squad-4	1	bot-19	bot-18
33757	bot-19	bravo	T47mb3320	score	0.51	17.97	222	0.00	0.00	0.58	1	medic	squad-4	0	bot-19	bot-18
33757	bot-21	bravo	E47rb4421	score	-0.63	17.22	221	4.63	0.23	0.89	1	flee	squad-4	1	bot-19	bot-18
33757	bot-23	bravo	C47rm4412	score	1.00	17.07	232	2.31	0.82	6.67	5	cover	squad-4	2	bot-19	bot-18
33788	bot-20	alpha	H00m-2220	state	-8.21	1.30	48	0.00	0.00		0		squad-3	5	bot-13	bot-19
33788	bot-22	alpha	C00r-4310	state	-3.49	11.39	25	2.42	0.98	7.18	2	seek	squad-3	3	bot-13	bot-19
33829	bot-18	alpha	C00r-4422	tick	-3.26	13.52	35	3.88	2.89	9.44	6	cover	squad-3	2	bot-13	bot-21
33829	bot-22	alpha	C00r-4312	latches	-3.44	11.23	23	2.35	0.18	2.60	2	cover	squad-3	3	bot-13	bot-21
33878	bot-19	bravo	T46mb3320	score	0.51	17.97	220	0.00	0.00	0.58	1	medic	squad-4	0	bot-19	bot-18
33878	bot-21	bravo	E46rb4421	score	-0.95	17.68	209	4.69	0.56	0.37	1	flee	squad-4	1	bot-19	bot-18
33878	bot-23	bravo	C46rm4412	score	0.80	16.81	231	2.85	0.33	6.71	5	cover	squad-4	2	bot-19	bot-18
33920	bot-26	alpha	P00r-3410	ammo	-11.48	12.96	185	2.49	0.92	7.34	1	squad	squad-3	6	bot-13	bot-19
33973	bot-21	bravo	E46rb4420	latches	-0.94	17.95	205	4.58	0.28	3.60	1	flee	squad-4	1	bot-19	bot-18
34008	bot-13	alpha	S00r-3410	tick	-5.76	12.09	100	2.32	1.93	11.49	3	seek	squad-3	0	bot-13	bot-19
34008	bot-19	bravo	T45mb3320	score	0.51	17.97	220	0.00	0.00	0.58	1	medic	squad-4	0	bot-19	bot-18
34008	bot-21	bravo	E45rb4421	score+latches	-0.87	18.10	205	4.68	0.16	3.45	1	flee	squad-4	1	bot-19	bot-18
34008	bot-23	bravo	C45rm4412	score	0.55	16.61	231	2.57	0.31	6.68	5	cover	squad-4	2	bot-19	bot-18
34041	bot-18	alpha	C10r-4422	tier	-2.74	14.03	34	4.62	0.73	8.85	5	cover	squad-3	2	bot-13	bot-23
34092	bot-22	alpha	C21r-4312	tier+score	-3.11	10.74	17	1.80	0.58	2.04	2	cover	squad-3	3	bot-13	bot-21
34092	bot-24	alpha	P21r-4410	tier+score	-12.73	14.13	143	1.84	1.02	8.13	1	squad	squad-3	4	bot-13	bot-19
34092	bot-26	alpha	P21r-3410	tier+score	-11.33	12.61	184	2.43	0.38	7.58	1	squad	squad-3	6	bot-13	bot-19
34120	bot-13	alpha	S21r-3410	tier+score	-5.45	11.97	100	2.40	0.33	11.17	3	seek	squad-3	0	bot-13	bot-19
34120	bot-15	alpha	C21r-4412	tier+score	-5.27	8.36	351	4.60	1.73	4.24	1	cover	squad-3	1	bot-13	bot-19
34120	bot-18	alpha	C21r-4322	tier+score+health	-2.48	14.30	52	4.89	0.38	8.56	5	cover	squad-3	2	bot-13	bot-23
34148	bot-19	bravo	C45mb3320	state	0.51	17.97	219	0.00	0.00	0.58	1	medic	squad-4	0	bot-19	bot-18
34197	bot-19	bravo	C45mb3322	latches	0.85	17.93	220	4.44	0.34	4.70	1	cover	squad-4	0	bot-19	bot-18
34233	bot-13	alpha	C21r-3410	state	-5.26	11.92	100	2.53	0.19	10.97	3	seek	squad-3	0	bot-13	bot-19
34233	bot-22	alpha	C21r-431I	latches	-3.09	10.51	27	1.65	0.23	1.90	2	cover	squad-3	3	bot-13	bot-21
34269	bot-13	alpha	C21r-3412	latches	-5.11	12.22	81	4.62	0.34	0.37	1	cover	squad-3	0	bot-13	bot-23
34299	bot-13	alpha	G21r-3412	state	-5.11	12.22	81	4.62	0.00	0.37	1	cover	squad-3	0	bot-13	bot-23
34299	bot-22	alpha	C32r-431I	tier+score	-3.08	10.40	44	1.52	0.11	1.84	2	cover	squad-3	3	bot-13	bot-21
34299	bot-24	alpha	P32r-4410	tier+score	-12.73	14.13	97	0.00	0.00		0		squad-3	4	bot-13	bot-19
34299	bot-26	alpha	P32r-3410	tier+score	-11.32	12.61	138	0.00	0.00		0		squad-3	6	bot-13	bot-19
34336	bot-13	alpha	G32r-341I	tier+score+latches	-4.95	12.52	67	0.00	0.34		0		squad-3	0	bot-13	bot-23
34336	bot-15	alpha	C32r-4412	tier+score	-5.34	9.16	350	4.30	0.81	3.44	1	cover	squad-3	1	bot-13	bot-19
34336	bot-18	alpha	E32r-4220	state+tier+score+health+latches	-1.97	15.08	55	5.27	0.93		0		squad-3	2	bot-13	bot-23
34336	bot-20	alpha	H00m-2320	health	-8.21	1.30	69	0.00	0.00		0		squad-3	5	bot-13	bot-19
34377	bot-18	alpha	E32r-4229	latches	-2.10	14.94	56	1.76	0.19	6.89	2	flee	squad-3	2	bot-13	bot-23
34377	bot-23	bravo	P45rm4414	state+latches	-0.48	16.09	237	4.38	1.16	6.47	1	muzzleRecovery	squad-4	2	bot-19	bot-18
34413	bot-22	alpha	C33r-431I	score	-2.98	10.27	74	1.49	0.16	1.69	2	cover	squad-3	3	bot-13	bot-21
34413	bot-23	bravo	E45rm4410	state+latches	-0.66	16.08	248	0.00	0.18	6.38	0	muzzleRecovery	squad-4	2	bot-19	bot-18
34413	bot-24	alpha	P33r-4410	score	-12.73	14.13	73	0.00	0.00		0		squad-3	4	bot-13	bot-19
34413	bot-26	alpha	P33r-3410	score	-11.32	12.61	114	0.00	0.00		0		squad-3	6	bot-13	bot-19
34449	bot-13	alpha	G33r-341I	score	-4.95	12.54	71	0.41	0.01		0		squad-3	0	bot-13	bot-23
