t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve	role_id
21709276	bot-425	alpha	P00r-4320	tick	-12.19	-45.58	76	2.40	2.27	24.38	4	squad	squad-1	6	bot-52			-	0	1	27	0	20	101	sniper
21709276	bot-604	bravo	P00r-4420	tick	-24.62	-43.28	91	2.57	2.26	8.47	2	squad	squad-2	1	bot-261			-	0	1	4	0	30	120	technical
21709276	bot-704	bravo	P00r-4420	tick	-42.63	-39.69	107	2.46	2.23	27.15	4	squad	squad-2	7	bot-261			-	0	1	28	0	7	35	sniper
21709276	bot-860	alpha	P00m-24E0	tick	-14.64	-45.04	105	2.56	2.06	27.55	5	squad	squad-1	7	bot-52			-	0	8	81	0	7	28	medic
21709276	bot-1023	alpha	P00r-4420	tick	-1.50	-47.48	111	1.97	2.03	7.22	1	squad	squad-1	3	bot-52			-	0	1	29	0	20	101	sniper
21709276	bot-1308	alpha	P00r-4420	tick	-8.24	-46.11	80	2.37	2.16	9.02	3	squad	squad-1	5	bot-52			-	0	1	29	0	7	35	sniper
21709276	bot-1404	bravo	A00r-032G	latches	-30.89	3.21	301	0.00	0.00		0		squad-2	4	bot-261	bot-1540	75.00	r	0	0	0	0	0	23	sniper
21709276	bot-1530	alpha	P00m-23C0	tick	-96.00	29.42	177	2.28	2.33		11	patrol	squad-194	0	bot-1530			-	0	7	69	0	7	35	medic
21709276	bot-1549	bravo	A00r-R41G	latches	-31.35	8.22	3	0.00	0.02		0		squad-203	0	bot-1549	bot-1554	39.66	w	0	0	25	0	20	101	sniper
21709342	bot-1545	bravo	P00r-3320	tick	77.66	8.28	21	0.45	0.34	19.59	3	squad	squad-205	1	bot-1544			-	0	19	120	0	20	101	rifleman
21709410	bot-1554	alpha	S00r-4310	state+latches	-29.39	47.64	183	0.00	0.00		0		squad-209	0	bot-1554	bot-1549	39.66	w	0	28	120	0	7	35	rifleman
21709410	bot-1556	alpha	A00m-4420	latches	-33.99	45.34	225	0.00	0.00		0		squad-209	1	bot-1554	bot-1551	45.90	y	0	20	101	0	7	35	medic
21709476	bot-1404	bravo	S00r-0320	state+latches	-30.89	3.21	301	0.00	0.00		0		squad-2	4	bot-261	bot-1540	75.00	r	0	0	0	0	0	23	sniper
21709476	bot-1549	bravo	S00r-R410	state+latches	-31.35	8.22	3	0.00	0.00		0		squad-203	0	bot-1549	bot-1554	39.66	w	0	0	25	0	20	101	sniper
21709543	bot-1404	bravo	A00r-0320	state	-30.93	3.25	311	1.18	0.06	77.15	10	seek	squad-2	4	bot-261	bot-1540	75.00	r	0	0	0	0	0	23	sniper
21709543	bot-1546	bravo	P00m-3420	tick	77.13	5.09	356	2.40	1.96	25.58	4	squad	squad-205	3	bot-1544			-	0	12	101	0	7	35	medic
21709543	bot-1555	bravo	P00m-4420	tick	66.66	35.73	103	2.40	1.90	21.12	4	squad	squad-205	4	bot-1544			-	0	20	101	0	7	35	medic
21709631	bot-1554	alpha	A00r-4310	state	-29.44	47.38	182	1.25	0.26	41.53	6	seek	squad-209	0	bot-1554	bot-1549	39.24	w	0	28	120	0	7	35	rifleman
21709690	bot-1549	bravo	A00r-R410	state	-31.34	8.43	7	1.09	0.21	37.69	5	seek	squad-203	0	bot-1549	bot-1554	39.22	w	0	0	25	0	20	101	sniper
21709690	bot-1554	alpha	F00r-4310	state	-29.44	47.38	183	0.00	0.00		0		squad-209	0	bot-1554	bot-1549	39.19	y	0	28	120	0	7	35	rifleman
21709716	bot-776	bravo	P00r-4420	tick	-18.74	-48.40	100	2.45	1.91	3.17	1	squad	squad-2	2	bot-261			-	0	1	4	0	30	120	technical
21709716	bot-892	bravo	P00m-43E0	tick	-37.10	-48.08	112	2.46	1.98	21.61	3	squad	squad-2	8	bot-261			-	0	16	101	0	7	35	medic
21709716	bot-1552	alpha	P00r-4410	tick	-96.29	38.76	186	2.37	1.54	1.92	1	squad	squad-194	3	bot-1530			-	0	1	4	0	30	120	technical
21709716	bot-1553	bravo	P00r-4410	tick	74.17	35.86	61	2.37	1.92	11.92	2	squad	squad-205	2	bot-1544			-	0	30	120	0	20	101	rifleman
21709716	bot-1554	alpha	A00r-4310	state	-29.43	47.40	183	0.66	0.02		0		squad-209	0	bot-1554	bot-1549	39.19	y	0	27	120	0	7	35	rifleman
21709716	bot-1556	alpha	F00m-4420	state	-33.98	45.36	177	0.00	0.02		0		squad-209	1	bot-1554	bot-1551	45.91	y	0	20	101	0	7	35	medic
21709761	bot-1404	bravo	A21r-0320	tier+score	-30.93	3.25	300	0.00	0.00		0		squad-2	4	bot-261	bot-1540	74.88	y	0	0	0	0	0	23	sniper
21709761	bot-1549	bravo	F21r-4410	state+tier+score+ammo	-31.34	8.43	3	0.00	0.00		0		squad-203	0	bot-1549	bot-1554	39.21	y	0	1	24	0	20	101	sniper
21709761	bot-1549	bravo	F21r-R410	ammo	-31.31	8.42	3	1.14	0.03		0		squad-203	0	bot-1549	bot-1554	39.21	y	0	0	24	0	20	101	sniper
21709761	bot-1551	bravo	A21r-0310	tier+score+ammo+health	-31.72	-0.40	357	0.00	0.00		0		squad-203	1	bot-1549	bot-1556	45.91	y	0	0	4	0	30	120	technical
21709761	bot-1554	alpha	A00r-431G	latches	-29.43	47.40	183	0.00	0.00		0		squad-209	0	bot-1554	bot-1549	39.23	w	0	27	120	0	7	35	rifleman
21709761	bot-1556	alpha	A00m-4420	state	-33.98	45.36	177	0.02	0.00		0		squad-209	1	bot-1554	bot-1551	45.91	y	0	19	101	0	7	35	medic
