t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
123763	bot-111	alpha	C32r-4410	state	-24.08	-12.37	168	0.02	0.03	0.59	1	seek	squad-26	2	bot-103
123781	bot-111	alpha	S32r-4410	state	-24.07	-12.37	164	0.30	0.01	4.16	2	cover	squad-26	2	bot-103
123813	bot-120	bravo	G44rb4412	state	6.49	15.15	257	2.77	2.36	0.45	1	cover	squad-34	4	bot-106
123930	bot-106	bravo	S33r-2310	tier+score+element	6.07	19.76	326	0.53	0.40	0.60	1	seek	squad-34	0	bot-106
123930	bot-108	bravo	H33m-42B0	tier+score+element	10.25	17.94	299	0.00	0.00		0		squad-34	2	bot-106
123930	bot-114	bravo	S33r-4310	tier+score+element	5.51	19.13	53	0.33	0.21	0.69	1	seek	squad-34	1	bot-106
123930	bot-116	bravo	S33m-3320	tier+score+element	2.92	21.10	15	0.04	0.00	0.47	1	seek	squad-34	3	bot-106
123930	bot-120	bravo	G33r-4412	tier+score+element	6.09	15.08	284	0.00	0.41		0		squad-34	4	bot-106
123948	bot-109	alpha	S00r-4320	tick	-3.17	6.90	197	2.59	2.53	16.40	3	seek	squad-26	1	bot-103
123964	bot-118	alpha	A00r-4410	state	-16.64	8.78	2	2.40	0.35	26.39	7	seek	squad-26	4	bot-103
123981	bot-105	alpha	S32r-4320	ammo	-23.68	-10.35	349	1.18	0.60	1.42	1	seek	squad-26	5	bot-103
123981	bot-106	bravo	A33r-2310	state	6.06	19.77	319	0.54	0.02	0.58	1	seek	squad-34	0	bot-106
124048	bot-106	bravo	A32r-2310	score	6.06	19.77	302	0.24	0.01		0		squad-34	0	bot-106
124048	bot-108	bravo	H32m-42B0	score	10.25	17.94	289	0.00	0.00		0		squad-34	2	bot-106
124048	bot-114	bravo	S32r-4310	score	5.55	19.13	67	0.33	0.04	0.65	1	seek	squad-34	1	bot-106
124048	bot-116	bravo	S32m-3320	score	2.92	21.10	15	0.09	0.00	0.47	1	seek	squad-34	3	bot-106
124048	bot-120	bravo	G32r-4412	score	6.05	15.05	304	0.00	0.04		0		squad-34	4	bot-106
124148	bot-94	bravo	S00r-4310	tick	-21.09	-17.41	263	0.18	0.51	0.36	1	seek	squad-27	1	bot-88
124148	bot-107	alpha	S32m-44A0	tick	-22.52	-11.51	177	0.08	0.06	10.95	3	seek	squad-26	6	bot-103
124165	bot-106	bravo	A32r-231G	latches	6.07	19.76	281	0.01	0.01		0		squad-34	0	bot-106
124165	bot-118	alpha	A00r-441G	latches	-16.64	8.78	44	0.00	0.00		0		squad-26	4	bot-103
124265	bot-119	alpha	P00r-4410	tick	-10.04	8.46	349	1.46	1.05	3.90	6	packseek	squad-37	0	bot-119
124349	bot-105	alpha	C32r-4320	state	-23.76	-9.93	349	1.25	0.42	1.00	1	seek	squad-26	5	bot-103
124349	bot-113	alpha	C32r-4410	state	-24.75	-13.24	166	0.03	0.07	8.05	2	seek	squad-26	3	bot-103
124365	bot-105	alpha	S32r-4320	state	-23.76	-9.96	353	1.50	0.03	6.26	2	cover	squad-26	5	bot-103
124365	bot-113	alpha	S32r-4410	state	-24.75	-13.24	162	0.21	0.00	0.42	2	cover	squad-26	3	bot-103
124399	bot-106	bravo	S32r-2310	state+latches	6.07	19.76	281	0.00	0.00		0		squad-34	0	bot-106
124399	bot-118	alpha	S00r-4410	state+latches	-16.64	8.78	44	0.00	0.00		0		squad-26	4	bot-103
124450	bot-106	bravo	A32r-2310	state	6.02	19.77	270	0.98	0.05	26.07	6	seek	squad-34	0	bot-106
124450	bot-118	alpha	A00r-4410	state	-16.64	8.84	54	1.32	0.07	25.82	6	seek	squad-26	4	bot-103
124483	bot-108	bravo	H32m-43B0	health	10.25	17.94	255	0.00	0.00		0		squad-34	2	bot-106
124533	bot-105	alpha	S32r-3320	ammo	-23.63	-10.16	31	0.20	0.23		0		squad-26	5	bot-103
124533	bot-118	alpha	A00r-441G	latches	-16.64	8.84	64	0.00	0.00		0		squad-26	4	bot-103
124550	bot-106	bravo	A32r-231G	latches	6.02	19.76	250	0.08	0.01		0		squad-34	0	bot-106
124566	bot-111	alpha	C32r-4410	state	-23.82	-12.37	141	0.29	0.25	0.69	1	seek	squad-26	2	bot-103
124583	bot-111	alpha	S32r-4410	state	-23.82	-12.38	144	0.36	0.01	4.03	2	cover	squad-26	2	bot-103
124650	bot-92	bravo	S00m-4320	tick	-5.12	-13.66	269	0.32	0.23	13.83	10	seek	squad-27	2	bot-88
124683	bot-81	alpha	D00r--000	tick	-3.64	0.76	215	0.00	0.00	4.63	0		squad-26	-1	bot-103
124767	bot-88	bravo	C00r-4312	tick	-20.04	-20.21	3	0.00	0.00		0		squad-27	0	bot-88
124767	bot-103	alpha	G32r-3322	tick	-20.96	-11.44	193	0.25	0.01		0		squad-26	0	bot-103
124784	bot-106	bravo	S32r-2310	state+latches	6.03	19.76	250	0.00	0.01		0		squad-34	0	bot-106
124784	bot-118	alpha	S00r-4410	state+latches	-16.64	8.84	64	0.00	0.00		0		squad-26	4	bot-103
124802	bot-106	bravo	A32r-2310	state	6.02	19.76	246	0.59	0.01	26.07	6	seek	squad-34	0	bot-106
124802	bot-118	alpha	A00r-4410	state	-16.64	8.87	61	1.32	0.02	25.81	6	seek	squad-26	4	bot-103
124884	bot-118	alpha	F00r-4410	state	-16.64	8.87	64	0.00	0.00		0		squad-26	4	bot-103
124901	bot-118	alpha	A00r-4410	state	-16.64	8.87	64	0.00	0.00		0		squad-26	4	bot-103
124951	bot-109	alpha	S00r-4320	tick	-3.85	4.75	201	2.12	2.25	14.15	3	seek	squad-26	1	bot-103
125011	bot-118	alpha	F00r-4410	state	-16.64	8.87	64	0.00	0.00		0		squad-26	4	bot-103
125011	bot-120	bravo	G33r-4412	score	6.05	15.05	230	0.04	0.00		0		squad-34	4	bot-106
125025	bot-106	bravo	E33r-2210	state+score+health	6.04	19.77	239	0.00	0.02		0		squad-34	0	bot-106
125025	bot-108	bravo	H33m-43B0	score	10.25	17.94	217	0.00	0.00		0		squad-34	2	bot-106
