t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
1195137	bot-262	alpha	G32r-4312	score	1.25	14.25	285	0.02	0.39		0		squad-73	0	bot-262	bot-263	18.33	w
1195204	bot-257	bravo	S32r-3410	tick	-7.87	2.13	45	3.97	4.11	5.12	1	grenade	squad-72	3	bot-246	bot-264	31.52	w
1195204	bot-264	alpha	S00r-4410	tick	-25.59	-23.72	195	2.49	3.40	25.96	12	seek	squad-1	1	bot-211	bot-257	31.59	w
1195220	bot-211	alpha	A00r-402G	latches	-23.63	-10.99	54	0.00	0.00		0		squad-1	0	bot-211	bot-260	24.12	w
1195237	bot-260	bravo	H32r-4210	tick	-4.16	3.40	38	3.40	4.18	5.49	1	grenade	squad-72	4	bot-246			-
1195254	bot-266	alpha	P00r-0410	initial	6.25	14.25	0	0.00			0			-1				-
1195270	bot-266	alpha	C32r-4410	state+tier+score+ammo	6.25	14.25	0	0.00	0.00		0		squad-73	1	bot-262			-
1195287	bot-266	alpha	C32r-4412	latches	6.10	14.25	351	4.59	0.15	6.81	5	cover	squad-73	1	bot-262			-
1195354	bot-243	alpha	A00r-4320	tick	16.81	-18.21	348	0.13	0.01		0		squad-71	0	bot-243	bot-265	44.30	y
1195354	bot-265	bravo	A00r-4410	tick	7.98	25.09	168	0.00	0.02		0		squad-74	1	bot-263	bot-243	44.31	y
1195404	bot-263	bravo	G00r-4412	state	1.17	33.82	11	5.03	3.38	0.44	1	cover	squad-74	0	bot-263	bot-262	19.51	w
1195470	bot-211	alpha	P00r-4020	state+latches	-23.63	-10.99	54	0.00	0.00		0		squad-1	0	bot-211	bot-260	24.94	w
1195489	bot-253	bravo	S00r-0410	ammo	-10.83	-21.35	272	2.34	1.28	30.10	11	seek	squad-72	1	bot-246			-
1195489	bot-257	bravo	S00r-3410	tier+score	-7.12	2.87	45	3.76	1.06	4.06	1	grenade	squad-72	3	bot-246	bot-264	33.19	w
1195489	bot-260	bravo	H00r-4210	tier+score	-3.53	4.05	46	3.74	0.91	4.58	1	grenade	squad-72	4	bot-246			-
1195504	bot-211	alpha	A00r-4020	state	-23.59	-10.98	61	1.36	0.05		19	patrol	squad-1	0	bot-211	bot-260	25.04	w
1195537	bot-260	bravo	H00r-4220	packs	-3.41	4.18	46	3.41	0.17	4.41	1	grenade	squad-72	4	bot-246			-
1195620	bot-243	alpha	A00r-432G	latches	16.81	-18.21	348	0.00	0.00		0		squad-71	0	bot-243	bot-265	44.31	w
1195620	bot-265	bravo	A00r-441G	latches	7.97	25.09	168	0.00	0.00		0		squad-74	1	bot-263	bot-243	44.31	w
1195637	bot-266	alpha	S32r-4410	state+latches	4.57	14.25	270	4.57	1.52	5.56	5	cover	squad-73	1	bot-262			-
