t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
1354614	bot-642	bravo	G44rb4312	state	-39.25	-16.22	56	4.81	0.61	0.22	1	cover	squad-2	0	bot-642			-	0	23	120	0	7	35
1354614	bot-647	alpha	E33r-4129	latches	14.30	9.41	319	3.52	0.15	5.42	1	grenade	squad-65	2	bot-618			-	0	26	120	0	20	101
1354614	bot-657	alpha	H32m-2010	score	39.46	14.09	44	3.44	0.43	4.03	1	grenade	squad-65	7	bot-618			-	0	9	101	0	7	35
1354614	bot-659	alpha	C32r-3412	score	40.13	12.64	43	3.67	0.45	3.88	1	grenade	squad-65	3	bot-618			-	0	22	120	0	20	101
1354614	bot-679	bravo	F00r-4410	state	31.86	-17.48	292	0.00	0.01		0		squad-53	1	bot-675	bot-618	35.56	y	0	29	120	0	20	101
1354642	bot-616	alpha	M33m-23E0	score	1.15	-0.88	293	4.15	0.27	4.49	2	medic	squad-65	5	bot-618	bot-656	29.70	w	0	3	30	0	3	30
1354642	bot-618	alpha	E33r-4019	score+health	-0.67	-3.82	259	4.55	0.30	6.18	2	flee	squad-65	0	bot-618	bot-646	44.52	y	0	28	77	0	7	35
1354642	bot-645	alpha	S45rm4310	score	1.63	2.19	358	1.38	0.09	22.83	4	seek	squad-65	1	bot-618	bot-656	26.91	w	0	25	120	0	20	101
1354642	bot-647	alpha	E33r-4120	latches	14.23	9.47	319	3.46	0.10	5.33	1	grenade	squad-65	2	bot-618			-	0	26	120	0	20	101
1354642	bot-668	bravo	F32r-2310	state	-46.22	-11.49	81	0.00	0.00		0		squad-2	1	bot-642	bot-618	46.14	y	0	11	120	0	7	35
1354642	bot-668	bravo	P32r-2310	state	-46.22	-11.49	80	0.00	0.00		0		squad-2	1	bot-642		46.14	y	0	10	120	0	7	35
1354642	bot-618	alpha	D00r--000	state+tier+score+ammo+packs+latches	-0.67	-3.82	259	0.00	0.00	6.18	2	flee	squad-65	0	bot-618	bot-646	44.52	y	0	28	77	0	7	35
1354642	bot-672	bravo	F34r-4320	state	-45.73	-28.05	117	0.71	0.11	35.96	6	seek	squad-2	4	bot-642	bot-663	35.66	w	0	1	26	0	7	35
1354642	bot-672	bravo	F34r-R320	ammo	-45.73	-28.05	117	0.00	0.00		1	muzzleRecovery	squad-2	4	bot-642	bot-663	35.57	y	0	0	26	0	7	35
1354642	bot-679	bravo	A00r-4410	state	31.86	-17.48	293	0.00	0.00		0		squad-53	1	bot-675		35.50	y	0	28	120	0	20	101
1354642	bot-684	alpha	S00r-4410	tick	37.69	21.79	192	2.36	2.40	42.25	6	seek	squad-1	4	bot-496			-	0	30	120	0	7	35
1354671	bot-639	alpha	D00r--000	tick	-32.43	36.96	15	0.00	0.00	5.15	0		squad-65	-1	bot-618	bot-656	27.87	w	0	20	120	0	20	101
1354671	bot-616	alpha	M35m-23E0	score	1.10	-0.97	286	3.34	0.10	4.39	2	medic	squad-65	4		bot-656	29.80	w	0	3	30	0	3	30
1354671	bot-645	alpha	S37r-4310	tier+score+element	1.64	2.23	358	1.36	0.04	22.79	4	seek	squad-65	1		bot-656	26.87	w	0	25	120	0	20	101
1354671	bot-646	bravo	S32m-4310	state	-44.43	-12.30	79	0.00	0.00		0		squad-2	3	bot-642		44.63	y	0	20	86	0	7	35
1354671	bot-663	alpha	U00r-4310	state	-14.04	-44.18	297	2.44	0.35	35.60	6	seek	squad-74	0	bot-663	bot-672	35.63	w	0	25	98	0	20	101
1354671	bot-668	bravo	S32r-2310	state	-46.22	-11.49	80	0.00	0.00		0		squad-2	1	bot-642		46.24	y	0	10	120	0	7	35
1354671	bot-668	bravo	S32r-R310	ammo	-46.19	-11.49	81	1.33	0.04	42.44	8	seek	squad-2	1	bot-642			-	0	10	120	0	7	35
1354671	bot-672	bravo	P34r-R320	state	-45.73	-28.05	117	1.34	0.00		1	muzzleRecovery	squad-2	4	bot-642	bot-663	35.57	y	0	0	26	0	7	35
1354729	bot-496	alpha	S00r-3420	state+latches	39.83	20.47	177	0.00	0.04		0		squad-1	0	bot-496	bot-683	32.95	w	0	16	120	0	7	35
1354729	bot-647	alpha	E33r-4129	latches	14.21	9.46	319	3.51	0.02	5.32	1	grenade	squad-65	2				-	0	26	120	0	20	101
1354729	bot-663	alpha	U00r-431G	latches	-14.30	-43.98	297	4.28	0.33	35.28	6	seek	squad-74	0	bot-663	bot-672	35.43	w	0	25	98	0	20	101
