t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
109141	bot-20	bravo	P00r-2310	state	22.91	13.09	110	0.00	0.00		0		squad-2	1	bot-18			-
109141	bot-26	alpha	E32r-2219	latches	-9.67	-26.14	38	3.68	0.17	4.21	2	flee	squad-7	0	bot-26	bot-18	49.21	y
109224	bot-18	bravo	F00r-4410	state	20.51	12.71	218	0.00	0.00		0		squad-2	0	bot-18	bot-26	49.33	y
109241	bot-18	bravo	A00r-4410	state	20.51	12.71	218	0.00	0.00		0		squad-2	0	bot-18	bot-26	49.35	y
109308	bot-16	bravo	P00m-4320	tick	1.92	-0.74	357	0.00	0.00		0		squad-2	2	bot-18			-
109308	bot-21	alpha	S00r-4310	state+latches	10.71	0.62	261	0.00	0.00		0		squad-1	1	bot-19	bot-16	9.00	w
109342	bot-18	bravo	F00r-4410	state	20.51	12.71	217	0.00	0.00		0		squad-2	0	bot-18	bot-26	49.51	y
109342	bot-26	alpha	E33r-2119	score+health	-9.44	-26.75	37	2.86	0.66	3.56	1	muzzleRecovery	squad-7	0	bot-26	bot-18	49.54	y
109342	bot-30	alpha	M33m-4420	score	-0.97	-30.65	5	4.71	0.44	9.90	2	medic	squad-7	4	bot-26	bot-16	30.61	y
109342	bot-32	alpha	S33r-2410	score	0.78	-30.42	27	0.00	0.00		0		squad-7	1	bot-26	bot-16	30.28	w
109342	bot-35	alpha	S33r-4410	score	-1.21	-31.59	359	2.02	0.10	35.43	11	seek	squad-7	2	bot-26	bot-16	31.45	w
109342	bot-37	alpha	S33r-3310	score	-14.41	-17.55	46	2.40	0.56	43.82	10	seek	squad-7	3	bot-26	bot-18	46.42	w
109342	bot-41	alpha	S33m-4420	score	-11.59	-24.67	38	1.86	0.29	46.85	13	seek	squad-7	5	bot-26	bot-18	49.32	w
109358	bot-18	bravo	A00r-4410	state	20.51	12.71	217	0.00	0.00		0		squad-2	0	bot-18	bot-26	49.54	y
109358	bot-26	alpha	E33r-2110	latches	-9.42	-26.80	37	2.90	0.05	2.54	1	flee	squad-7	0	bot-26	bot-18	49.56	y
109375	bot-19	alpha	S00r-3320	tick	13.99	0.87	272	2.42	2.34	10.75	4	seek	squad-1	0	bot-19	bot-16	12.37	w
109375	bot-26	alpha	E33r-2119	latches	-9.41	-26.85	37	2.92	0.05	2.49	1	flee	squad-7	0	bot-26	bot-18	49.59	y
109409	bot-35	alpha	A33r-4410	state	-1.23	-31.49	4	1.95	0.10	35.33	11	seek	squad-7	2	bot-26	bot-16	31.39	w
109409	bot-41	alpha	A33m-4420	state	-11.68	-24.68	38	1.86	0.09	46.91	13	seek	squad-7	5	bot-26	bot-18	49.39	w
109425	bot-18	bravo	A00r-441G	latches	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.41	w
109425	bot-35	alpha	A33r-441G	latches	-1.23	-31.49	6	0.00	0.00		0		squad-7	2	bot-26	bot-16	31.37	w
109425	bot-41	alpha	A33m-442G	latches	-11.68	-24.68	41	0.00	0.00		0		squad-7	5	bot-26	bot-18	49.41	w
109442	bot-37	alpha	S33r-3320	packs	-14.40	-17.33	46	1.33	0.22	43.66	10	seek	squad-7	3	bot-26	bot-18	46.26	w
109459	bot-19	alpha	C00r-3320	state	13.83	0.87	272	2.41	0.16	10.59	4	seek	squad-1	0	bot-19	bot-16	12.21	w
109459	bot-32	alpha	A33r-2410	state	0.78	-30.42	19	0.00	0.00		0		squad-7	1	bot-26	bot-16	30.29	w
109475	bot-19	alpha	C00r-332I	latches	13.98	0.86	263	4.41	0.15	2.91	2	cover	squad-1	0	bot-19	bot-16	12.24	w
109475	bot-32	alpha	A33r-241G	latches	0.78	-30.42	16	0.00	0.00		0		squad-7	1	bot-26	bot-16	30.28	w
109525	bot-2	bravo	D00r--000	tick	0.54	4.99	216	0.00	0.00		0		squad-2	-1	bot-18	bot-3	30.50	w
109559	bot-21	alpha	A00r-4310	state	10.36	0.63	271	2.40	0.35	7.22	5	seek	squad-1	1	bot-19	bot-16	8.70	w
109576	bot-30	alpha	P33m-4420	state	-1.70	-29.70	7	3.96	1.20	7.94	1	muzzleRecovery	squad-7	4	bot-26	bot-16	29.86	y
109592	bot-26	alpha	E33r-2110	latches	-9.25	-27.42	37	2.57	0.59	3.48	1	flee	squad-7	0	bot-26	bot-18	49.94	y
109609	bot-21	alpha	F00r-4310	state	10.36	0.63	261	0.00	0.00		0		squad-1	1	bot-19	bot-16	8.67	y
109609	bot-26	alpha	E33r-2119	latches	-9.24	-27.46	37	2.68	0.04	3.44	1	flee	squad-7	0	bot-26	bot-18	49.97	y
109626	bot-16	bravo	E00m-4220	state+health	1.92	-0.74	357	0.00	0.00		0		squad-2	2	bot-18			-
109626	bot-21	alpha	A00r-4310	state	10.36	0.63	261	0.00	0.00		0		squad-1	1	bot-19	bot-16	8.67	y
109643	bot-16	bravo	E00m-4229	latches	1.81	-0.87	357	5.13	0.17	5.40	2	flee	squad-2	2	bot-18			-
109643	bot-19	alpha	C00r-3322	latches	14.71	0.83	229	4.42	0.73	2.24	2	cover	squad-1	0	bot-19	bot-16	13.08	y
109643	bot-26	alpha	E33r-R11P	ammo+latches	-9.21	-27.55	37	2.74	0.09	3.34	1	flee	squad-7	0	bot-26	bot-18	50.02	r
109643	bot-30	alpha	M33m-4420	state	-1.73	-29.97	24	0.00	0.27	7.99	0	muzzleRecovery	squad-7	4	bot-26	bot-16	29.92	y
109660	bot-18	bravo	S00r-4410	state+latches	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.43	w
109660	bot-18	bravo	P00r-4410	state	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.43	w
109660	bot-35	alpha	S33r-4410	state+latches	-1.23	-31.50	6	0.00	0.00		0		squad-7	2	bot-26	bot-16	31.19	w
109660	bot-41	alpha	S33m-4420	state+latches	-11.68	-24.68	41	0.00	0.00		0		squad-7	5	bot-26	bot-18	49.43	w
109676	bot-32	alpha	A33r-2410	latches	0.78	-30.42	13	0.00	0.00		0		squad-7	1	bot-26	bot-16	29.93	y
109712	bot-30	alpha	M33m-3420	ammo	-1.74	-29.97	7	0.00	0.01	7.99	0		squad-7	4	bot-26	bot-16	29.63	y
109762	bot-21	alpha	F00r-4310	state	10.36	0.63	258	0.00	0.00		0		squad-1	1	bot-19	bot-16	9.16	y
109776	bot-16	bravo	E00m-4129	health	1.40	-1.38	357	4.98	0.65	4.85	2	flee	squad-2	2	bot-18			-
109776	bot-21	alpha	A00r-4310	state	10.36	0.63	258	0.00	0.00		0		squad-1	1	bot-19	bot-16	9.23	y
109793	bot-32	alpha	A33r-241G	latches	0.78	-30.42	1	0.00	0.00		0		squad-7	1	bot-26	bot-16	29.47	w
109877	bot-26	alpha	E33r-R119	latches	-8.99	-28.28	37	3.93	0.76	2.58	1	flee	squad-7	0	bot-26	bot-18	50.46	r
109877	bot-30	alpha	P33m-342G	state+latches	-1.74	-29.97	6	3.70	0.00	7.99	1	muzzleRecovery	squad-7	4	bot-26	bot-16	29.03	y
109910	bot-21	alpha	F00r-4310	state	10.36	0.63	255	0.00	0.00		0		squad-1	1	bot-19	bot-16	9.77	y
109927	bot-16	bravo	E00m-4029	health	0.90	-1.98	357	5.25	0.78	4.22	2	flee	squad-2	2	bot-18			-
109927	bot-19	alpha	C00r-332I	latches	16.00	0.78	255	4.60	1.29	1.23	2	cover	squad-1	0	bot-19	bot-16	15.42	w
109927	bot-21	alpha	A00r-4310	state	10.36	0.63	255	0.00	0.00		0		squad-1	1	bot-19	bot-16	9.85	y
109927	bot-40	bravo	P00r-4410	tick	34.22	-24.24	159	2.35	2.47		2	patrol	squad-9	0	bot-40			-
109977	bot-18	bravo	A00r-4410	state	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18			-
109977	bot-30	alpha	M33m-342G	state	-1.75	-29.57	359	0.00	0.40	7.86	0	muzzleRecovery	squad-7	4	bot-26	bot-16	28.32	w
109994	bot-41	alpha	A33m-4420	state	-11.99	-24.52	38	2.23	0.35	46.99	12	seek	squad-7	5	bot-26	bot-18	49.51	w
110010	bot-18	bravo	A00r-441G	latches	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.51	w
110010	bot-21	alpha	A00r-431G	latches	10.36	0.63	253	0.00	0.00		0		squad-1	1	bot-19	bot-16	10.30	w
110010	bot-41	alpha	A33m-442G	latches	-11.99	-24.52	41	0.00	0.00		0		squad-7	5	bot-26	bot-18	49.51	w
110027	bot-32	alpha	S33r-2410	state+latches	0.78	-30.42	1	0.00	0.00		0		squad-7	1	bot-26	bot-16	28.66	w
110111	bot-30	alpha	M33m-3420	latches	-2.36	-29.17	329	6.27	0.74	6.46	3	medic	squad-7	4	bot-26	bot-16	27.53	w
110144	bot-20	bravo	P00r-2310	tick	22.91	13.09	110	0.00	0.00		0		squad-2	1	bot-18			-
110161	bot-19	alpha	C00r-3322	latches	16.63	1.33	264	4.50	0.84	0.44	1	cover	squad-1	0	bot-19	bot-16	17.34	w
110178	bot-19	alpha	G00r-3322	state	16.63	1.33	264	4.50	0.00	0.44	1	cover	squad-1	0	bot-19	bot-16	17.34	w
110178	bot-26	alpha	E10r-R119	tier+score	-8.58	-29.64	37	4.69	1.42	1.16	1	flee	squad-7	0	bot-26	bot-18	51.33	r
110195	bot-26	alpha	E33r-R119	tier+score	-8.56	-29.71	37	4.74	0.08	1.08	1	flee	squad-7	0	bot-26	bot-18	51.38	r
110245	bot-18	bravo	S00r-4410	state+latches	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.51	w
110245	bot-18	bravo	P00r-4410	state	20.51	12.71	221	0.00	0.00		0		squad-2	0	bot-18	bot-41	49.51	w
110245	bot-21	alpha	S00r-4310	state+latches	10.36	0.63	253	0.00	0.00		0		squad-1	1	bot-19	bot-16	11.53	w
110245	bot-41	alpha	S33m-4420	state+latches	-11.99	-24.52	41	0.00	0.01		0		squad-7	5	bot-26	bot-18	49.51	w
110278	bot-21	alpha	S00r-4320	packs	10.30	0.63	243	1.32	0.07	8.49	4	seek	squad-1	1	bot-19	bot-16	11.82	w
110395	bot-26	alpha	E33r-R110	latches	-8.34	-30.44	37	0.00	0.76		0		squad-7	0	bot-26	bot-18	51.99	r
110445	bot-37	alpha	S33r-3320	tick	-14.30	-15.64	26	2.37	1.69	42.44	10	seek	squad-7	3	bot-26	bot-18	45.29	w
110529	bot-2	bravo	D00r--000	tick	0.54	4.99	216	0.00	0.00		0		squad-2	-1	bot-18	bot-3	30.50	w
110663	bot-35	alpha	S33r-4410	tick	-1.82	-30.07	5	2.47	1.54	33.96	10	seek	squad-7	2	bot-26	bot-16	28.38	w
110679	bot-16	bravo	E35m-4029	tier+score	-2.65	-2.71	357	3.60	3.63	0.60	1	flee	squad-2	2	bot-18			-
110796	bot-16	bravo	E35m-4020	latches	-2.95	-2.73	357	0.00	0.29		0		squad-2	2	bot-18			-
110796	bot-37	alpha	S00r-3320	tier+score	-14.25	-14.82	4	2.12	0.82	41.86	9	seek	squad-7	3	bot-26	bot-18	45.36	w
110897	bot-26	alpha	H33r-R110	state	-8.34	-30.43	37	0.00	0.00		0		squad-7	0	bot-26	bot-18	52.49	r
110914	bot-42	bravo	P00r-0410	initial	30.25	-28.25	0	0.00			0			-1				-
110931	bot-40	bravo	P00r-4410	tick	34.09	-26.39	200	2.47	2.15		1	patrol	squad-9	0	bot-40			-
110931	bot-42	bravo	P00r-4410	ammo	30.25	-28.25	0	0.00	0.00		0		squad-9	1	bot-40			-
110966	bot-21	alpha	A00r-4320	state	9.39	0.66	240	2.40	0.91	7.70	4	seek	squad-1	1	bot-19	bot-16	13.08	w
110999	bot-16	bravo	E35m-402G	latches	-2.94	-2.72	5	0.00	0.01		0		squad-2	2	bot-18	bot-21	13.05	w
