t_ms	type	attacker	attacker_team	victim	victim_team	weapon	cause	amount	victim_health	ax	az	vx	vz	dist
259	damage	bot-479	alpha	bot-551	bravo	cz_805_bren	bullet	24.00	76.00	-8.58	-11.16	12.57	-1.56	23.22
259	damage	bot-491	alpha	bot-551	bravo	five_seven	bullet	20.00	56.00	10.58	12.03	12.57	-1.56	13.74
403	damage	bot-491	alpha	bot-551	bravo	five_seven	bullet	20.00	36.00	10.58	12.03	12.96	-2.52	14.75
585	damage	bot-491	alpha	bot-551	bravo	five_seven	bullet	20.00	16.00	10.58	12.03	13.35	-3.50	15.78
748	kill	bot-491	alpha	bot-551	bravo	five_seven	bullet	20.00	0.00	10.58	12.03	13.35	-4.37	16.64
3540	damage	bot-271	alpha	bot-553	bravo	cz_805_bren	bullet	24.00	76.00	3.23	-17.64	-21.80	17.05	42.77
3746	damage	bot-553	bravo	bot-467	alpha	five_seven	bullet	20.00	74.71	-21.80	17.05	-26.70	15.05	5.30
4492	damage	bot-271	alpha	bot-553	bravo	cz_805_bren	bullet	24.00	52.00	3.24	-17.90	-21.22	13.76	40.01
4708	damage	bot-533	alpha	bot-555	bravo	cz_805_bren	bullet	24.00	76.00	-21.00	-6.75	-15.89	-4.07	5.77
4834	damage	bot-533	alpha	bot-555	bravo	cz_805_bren	bullet	24.00	52.00	-21.00	-6.74	-15.77	-4.02	5.89
5200	damage	bot-544	alpha	bot-553	bravo	cz_805_bren	bullet	24.00	28.00	-24.11	-2.62	-25.02	13.61	16.25
5356	damage	bot-544	alpha	bot-553	bravo	cz_805_bren	bullet	24.00	4.00	-24.11	-2.62	-25.15	13.80	16.45
5492	kill	bot-544	alpha	bot-553	bravo	cz_805_bren	bullet	24.00	0.00	-24.11	-2.62	-25.44	14.17	16.84
5802	damage	bot-505	alpha	bot-555	bravo	five_seven	bullet	20.00	32.00	-12.48	10.48	-14.22	-1.77	12.37
5946	damage	bot-505	alpha	bot-555	bravo	five_seven	bullet	20.00	12.00	-12.48	10.48	-14.01	-1.44	12.02
6236	kill	bot-271	alpha	bot-555	bravo	cz_805_bren	bullet	24.00	0.00	2.74	-17.16	-13.13	-0.51	23.00
6447	damage	bot-370	alpha	bot-556	bravo	m1911	bullet	33.00	67.00	-19.89	-5.80	-17.59	-4.59	2.59
6520	damage	bot-556	bravo	bot-370	alpha	cz_805_bren	bullet	24.00	41.30	-17.54	-4.54	-20.03	-5.83	2.80
6816	damage	bot-370	alpha	bot-556	bravo	m1911	bullet	33.00	34.00	-20.19	-6.00	-17.31	-4.32	3.33
6883	damage	bot-489	alpha	bot-556	bravo	m1911	bullet	33.00	1.00	13.70	6.08	-17.26	-4.26	32.63
6970	damage	bot-556	bravo	bot-370	alpha	cz_805_bren	bullet	24.00	17.30	-17.21	-4.19	-20.33	-6.17	3.70
7107	kill	bot-556	bravo	bot-370	alpha	cz_805_bren	bullet	24.00	0.00	-17.09	-4.05	-20.45	-6.25	4.01
7244	kill	bot-489	alpha	bot-556	bravo	m1911	bullet	33.00	0.00	13.70	6.08	-17.04	-3.98	32.34
8207	damage	bot-557	bravo	bot-491	alpha	five_seven	bullet	20.00	80.00	3.76	-1.26	11.58	2.95	8.88
8364	damage	bot-557	bravo	bot-491	alpha	five_seven	bullet	20.00	60.00	3.76	-1.26	11.64	2.84	8.88
8544	damage	bot-557	bravo	bot-491	alpha	five_seven	bullet	20.00	40.00	3.76	-1.26	11.71	2.97	9.01
8660	damage	bot-271	alpha	bot-557	bravo	cz_805_bren	bullet	24.00	76.00	3.35	-16.36	3.76	-1.26	15.10
8731	damage	bot-557	bravo	bot-491	alpha	five_seven	bullet	20.00	20.00	3.76	-1.26	11.79	3.11	9.14
8800	damage	bot-544	alpha	bot-557	bravo	cz_805_bren	bullet	24.00	52.00	-23.12	4.18	3.76	-1.26	27.43
8949	kill	bot-557	bravo	bot-491	alpha	five_seven	bullet	20.00	0.00	3.41	-1.87	11.91	3.25	9.92
9100	damage	bot-544	alpha	bot-557	bravo	cz_805_bren	bullet	24.00	28.00	-23.12	4.18	3.23	-2.53	27.19
9262	damage	bot-544	alpha	bot-557	bravo	cz_805_bren	bullet	24.00	4.00	-23.12	4.18	3.23	-3.24	27.38
9392	kill	bot-271	alpha	bot-557	bravo	cz_805_bren	bullet	24.00	0.00	4.67	-17.32	3.26	-3.92	13.48
