t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve
0	bot-462	bravo	D00r--000	initial	38.73	28.58	217	0.00		4.90	0		squad-1	-1		bot-510	32.26	y	0	7	80
0	bot-464	bravo	D00m--0A0	initial	33.00	6.12	316	0.00		2.05	0		squad-1	-1		bot-498	45.03	y	0	9	101
0	bot-475	bravo	D00r--000	initial	27.80	11.35	312	0.00		7.66	0		squad-1	-1		bot-496	40.01	y	0	17	120
0	bot-485	bravo	D00r--000	initial	36.40	34.00	208	0.00			0		squad-1	-1		bot-510	35.82	y	0	20	78
0	bot-487	bravo	D00m--000	initial	36.21	31.75	206	0.00			0		squad-1	-1		bot-512	26.03	y	0	5	35
0	bot-491	alpha	D00r--000	initial	32.90	-33.26	297	0.00		3.97	0		squad-78	-1	bot-510	bot-464	40.80	y	0	0	26
0	bot-493	bravo	D00r--000	initial	38.87	33.43	203	0.00		3.68	0		squad-1	-1		bot-512	33.44	y	0	24	100
0	bot-496	alpha	D00r--000	initial	-1.83	36.89	83	0.00		5.57	0		squad-2	-1		bot-493	49.61	y	0	7	120
0	bot-498	alpha	D00r--000	initial	1.44	38.60	10	0.00			0		squad-2	-1				-	0	29	120
0	bot-499	bravo	D00r--000	initial	-27.59	34.69	45	0.00		4.71	0		squad-1	-1				-	0	1	30
0	bot-500	alpha	D00r--000	initial	0.79	29.40	72	0.00		1.52	0		squad-2	-1		bot-501	48.48	y	0	14	120
0	bot-501	bravo	D00m--0A0	initial	39.13	29.61	216	0.00		6.04	0		squad-1	-1		bot-510	33.18	y	0	10	85
0	bot-502	alpha	D00m--000	initial	-2.95	35.56	87	0.00		5.52	0		squad-2	-1		bot-493	44.56	y	0	9	101
0	bot-503	bravo	P00r-4410	initial	57.75	-16.58	356	2.05			12	patrol	squad-80	0	bot-503			-	0	1	4
0	bot-504	alpha	D00r--000	initial	-1.75	36.85	80	0.00		5.76	0		squad-2	-1		bot-462	48.93	y	0	18	120
0	bot-505	alpha	D00r--000	initial	-0.06	29.15	88	0.00			0		squad-2	-1		bot-501	49.97	y	0	30	120
0	bot-506	alpha	D00r--000	initial	-3.97	42.37	121	0.00			0		squad-2	-1		bot-475	44.01	y	0	0	28
0	bot-507	alpha	D00m--000	initial	-0.42	36.49	175	0.00			0		squad-2	-1		bot-475	37.44	y	0	20	101
0	bot-508	alpha	D00r--000	initial	25.74	-0.48	15	0.00		4.62	0		squad-78	-1	bot-510	bot-487	49.66	y	0	30	120
0	bot-509	bravo	P00r-4410	initial	58.53	-21.33	354	2.50		1.71	1	squad	squad-80	1	bot-503			-	0	30	120
