t_ms	type	attacker	attacker_team	victim	victim_team	weapon	cause	amount	victim_health	ax	az	vx	vz	dist
145	damage	bot-252	bravo	bot-277	alpha	cz_805_bren	bullet	24.00	48.15	0.46	69.64	-19.88	61.59	21.88
281	damage	bot-252	bravo	bot-277	alpha	cz_805_bren	bullet	24.00	24.15	0.46	69.64	-20.45	61.38	22.48
406	damage	bot-252	bravo	bot-277	alpha	cz_805_bren	bullet	24.00	0.15	0.46	69.64	-21.10	61.16	23.17
529	kill	bot-252	bravo	bot-277	alpha	cz_805_bren	bullet	24.00	0.00	0.46	69.64	-21.69	60.99	23.78
960	damage	bot-262	bravo	bot-247	alpha	m1911	bullet	33.00	39.63	16.36	15.96	-14.84	28.54	33.64
1226	damage	bot-246	bravo	bot-257	alpha	five_seven	bullet	20.00	52.24	37.29	75.25	6.93	40.28	46.31
1328	damage	bot-262	bravo	bot-247	alpha	m1911	bullet	33.00	6.63	16.31	15.99	-15.65	28.63	34.37
1744	damage	bot-254	bravo	bot-251	alpha	five_seven	bullet	20.00	60.00	57.63	75.74	45.69	59.29	20.32
1862	damage	bot-286	bravo	bot-288	alpha	five_seven	bullet	20.00	80.00	-31.99	16.32	-50.60	20.69	19.11
1926	damage	bot-189	alpha	bot-266	bravo	cz_805_bren	bullet	24.00	71.03	5.18	40.31	35.41	72.71	44.32
2633	damage	bot-246	bravo	bot-275	alpha	five_seven	bullet	20.00	75.06	37.15	75.18	5.61	41.40	46.21
2831	damage	bot-246	bravo	bot-275	alpha	five_seven	bullet	20.00	55.06	37.15	75.18	5.61	41.40	46.21
3828	damage	bot-259	alpha	bot-252	bravo	cz_805_bren	bullet	24.00	48.54	41.03	63.51	0.44	72.19	41.50
3921	damage	bot-266	bravo	bot-261	alpha	cz_805_bren	bullet	24.00	58.50	35.19	73.49	42.22	45.62	28.74
3969	damage	bot-259	alpha	bot-252	bravo	cz_805_bren	bullet	24.00	24.54	41.03	63.51	-0.09	71.72	41.93
4018	damage	bot-261	alpha	bot-266	bravo	cz_805_bren	bullet	24.00	47.03	42.26	45.55	35.19	73.49	28.82
4018	damage	bot-262	bravo	bot-261	alpha	m1911	bullet	33.00	25.50	15.79	17.69	42.31	45.49	38.42
4018	damage	bot-284	bravo	bot-257	alpha	cz_805_bren	bullet	24.00	29.14	10.80	11.33	1.39	37.60	27.91
4153	damage	bot-259	alpha	bot-252	bravo	cz_805_bren	bullet	24.00	0.54	41.03	63.51	-0.65	71.23	42.39
4153	damage	bot-284	bravo	bot-257	alpha	cz_805_bren	bullet	24.00	5.14	10.80	11.33	1.16	37.83	28.20
4271	damage	bot-266	bravo	bot-255	alpha	cz_805_bren	bullet	24.00	69.25	34.90	73.65	37.44	66.23	7.84
4271	kill	bot-284	bravo	bot-257	alpha	cz_805_bren	bullet	24.00	0.00	10.80	11.33	0.95	38.05	28.48
4398	kill	bot-259	alpha	bot-252	bravo	cz_805_bren	bullet	24.00	0.00	41.03	63.51	-1.42	70.56	43.03
4581	damage	bot-266	bravo	bot-255	alpha	cz_805_bren	bullet	24.00	45.25	33.74	74.29	37.40	66.25	8.84
4747	damage	bot-266	bravo	bot-255	alpha	cz_805_bren	bullet	24.00	21.25	33.05	74.69	37.59	66.29	9.55
4972	damage	bot-238	alpha	bot-254	bravo	cz_805_bren	bullet	24.00	76.00	70.04	61.65	55.25	73.34	18.85
5046	damage	bot-286	bravo	bot-283	alpha	five_seven	bullet	20.00	80.00	-32.70	16.68	-49.66	63.64	49.93
5146	kill	bot-266	bravo	bot-255	alpha	cz_805_bren	bullet	24.00	0.00	31.34	75.18	38.92	66.58	11.46
5207	damage	bot-251	alpha	bot-246	bravo	cz_805_bren	bullet	24.00	48.03	35.74	55.07	33.06	74.39	19.50
5207	damage	bot-286	bravo	bot-283	alpha	five_seven	bullet	20.00	60.00	-32.72	16.66	-49.66	63.64	49.94
5503	kill	bot-262	bravo	bot-261	alpha	m1911	bullet	33.00	0.00	16.23	18.24	45.59	40.98	37.14
5726	damage	bot-289	bravo	bot-288	alpha	cz_805_bren	bullet	24.00	56.00	-39.74	20.80	-48.49	21.08	8.76
6298	damage	bot-254	bravo	bot-238	alpha	five_seven	bullet	20.00	52.65	54.79	72.92	69.51	61.87	18.41
6444	damage	bot-254	bravo	bot-238	alpha	five_seven	bullet	20.00	32.65	54.79	72.92	69.99	61.72	18.88
6630	damage	bot-254	bravo	bot-238	alpha	five_seven	bullet	20.00	12.65	54.81	72.92	70.67	61.51	19.54
6749	damage	bot-238	alpha	bot-254	bravo	cz_805_bren	bullet	24.00	52.00	70.89	61.43	54.82	72.92	19.76
6810	damage	bot-189	alpha	bot-268	bravo	cz_805_bren	bullet	24.00	71.51	11.08	47.85	33.12	75.72	35.53
6810	kill	bot-254	bravo	bot-238	alpha	five_seven	bullet	20.00	0.00	54.85	73.00	71.32	61.25	20.23
6810	damage	bot-266	bravo	bot-259	alpha	cz_805_bren	bullet	24.00	67.32	27.67	78.82	40.06	65.01	18.55
6859	damage	bot-251	alpha	bot-266	bravo	cz_805_bren	bullet	24.00	24.13	32.77	50.64	27.51	78.98	28.83
6955	damage	bot-189	alpha	bot-268	bravo	cz_805_bren	bullet	24.00	47.51	11.06	47.84	33.09	75.86	35.64
6955	damage	bot-288	alpha	bot-289	bravo	five_seven	bullet	20.00	80.00	-50.08	24.87	-40.74	21.60	9.90
7445	damage	bot-291	bravo	bot-288	alpha	cz_805_bren	bullet	24.00	32.00	-29.23	12.81	-50.20	26.06	24.81
7587	damage	bot-291	bravo	bot-288	alpha	cz_805_bren	bullet	24.00	8.00	-29.23	12.81	-50.19	26.06	24.80
7691	damage	bot-189	alpha	bot-268	bravo	cz_805_bren	bullet	24.00	23.51	11.02	48.05	32.68	76.53	35.79
7752	kill	bot-291	bravo	bot-288	alpha	cz_805_bren	bullet	24.00	0.00	-29.23	12.81	-50.14	26.06	24.76
