t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
212938	bot-266	bravo	A00m-332G	latches	-3.26	5.33	129	0.00	0.00		0		squad-97	0	bot-266
212989	bot-267	alpha	C00r-4412	tick	-16.04	-6.92	142	3.18	4.00	3.69	2	cover	squad-101	0	bot-267
213005	bot-236	bravo	E00r-4411	latches	-17.66	-21.51	344	4.57	0.93	1.22	1	flee	squad-27	1	bot-234
213005	bot-268	alpha	C00m-4322	latches	-19.94	-14.29	99	4.08	1.01	1.05	2	cover	squad-101	1	bot-267
213056	bot-196	alpha	S00m-3320	tick	6.81	5.69	265	0.00	0.00		0		squad-26	0	bot-196
213156	bot-268	alpha	G00m-4322	state	-19.35	-14.09	71	4.61	0.62	0.42	1	cover	squad-101	1	bot-267
213172	bot-266	bravo	S00m-3320	state+latches	-3.26	5.33	129	0.00	0.00		0		squad-97	0	bot-266
213239	bot-236	bravo	S00r-4410	state+latches	-16.77	-21.54	344	0.00	0.89		0		squad-27	1	bot-234
213239	bot-261	alpha	H00r-4220	health	17.36	-11.20	73	0.00	0.00		0		squad-26	3	bot-196
213256	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
213256	bot-244	bravo	S00r-4410	tick	-18.37	-20.31	315	2.40	1.41	0.86	1	seek	squad-27	3	bot-234
213373	bot-269	bravo	C00r-4312	state	-21.59	6.99	153	0.00	0.79		0		squad-97	1	bot-266
213457	bot-269	bravo	G00r-4312	state	-21.56	7.12	136	1.64	0.14	0.45	1	cover	squad-97	1	bot-266
213490	bot-234	bravo	S00r-4410	tick	-17.02	-19.32	335	0.88	0.36	1.68	1	seek	squad-27	0	bot-234
213490	bot-266	bravo	C00m-3320	state	-2.90	5.03	129	2.34	0.48	26.26	4	seek	squad-97	0	bot-266
213490	bot-267	alpha	S00r-4410	state+latches	-15.64	-7.73	136	1.78	0.90	2.95	2	cover	squad-101	0	bot-267
213507	bot-266	bravo	C00m-3322	latches	-3.04	4.96	137	4.82	0.16	2.11	1	cover	squad-97	0	bot-266
213524	bot-237	alpha	C00r-3410	state	0.34	2.56	291	0.94	1.51	1.38	1	seek	squad-26	5	bot-196
213540	bot-237	alpha	C00r-3412	latches	0.34	2.56	300	0.00	0.00		0		squad-26	5	bot-196
213574	bot-252	alpha	S00r-3310	tick	0.34	3.47	275	0.52	1.11	6.81	2	seek	squad-26	2	bot-196
213607	bot-237	alpha	C00r-341I	latches	0.34	2.56	302	0.00	0.00		0		squad-26	5	bot-196
213607	bot-250	alpha	C00r-232I	latches	0.01	1.78	312	0.24	0.00		0		squad-26	1	bot-196
213607	bot-266	bravo	C00m-332I	latches	-3.48	4.75	126	4.96	0.49	1.62	1	cover	squad-97	0	bot-266
213724	bot-240	bravo	K00m-04C0	tick	16.32	-9.74	144	0.00	1.42		0		squad-27	4	bot-234
213842	bot-237	alpha	C00r-3412	latches	0.36	2.54	302	0.01	0.03		0		squad-26	5	bot-196
213842	bot-238	bravo	S00r-4420	tick	-15.36	-17.94	189	2.72	1.42	0.52	1	seek	squad-27	2	bot-234
213842	bot-250	alpha	C00r-2322	latches	0.01	1.78	312	0.00	0.01		0		squad-26	1	bot-196
213842	bot-266	bravo	C00m-3322	latches	-4.57	4.23	187	4.80	1.20	0.42	1	cover	squad-97	0	bot-266
213858	bot-266	bravo	G00m-3322	state	-4.57	4.23	187	4.80	0.00	0.42	1	cover	squad-97	0	bot-266
213908	bot-247	bravo	C00m-4322	tick	-17.69	-19.92	327	0.00	0.00		0		squad-27	5	bot-234
213942	bot-264	alpha	S00r-4410	tick	6.77	9.27	262	0.28	0.01	25.99	9	seek	squad-26	4	bot-196
214059	bot-196	alpha	S00m-3320	tick	4.89	5.84	276	2.01	1.92	1.85	1	seek	squad-26	0	bot-196
214109	bot-266	bravo	S00m-3320	state+latches	-4.95	4.05	135	0.00	0.42		0		squad-97	0	bot-266
214159	bot-268	alpha	G00m-4322	tick	-19.21	-14.14	171	0.03	0.15		0		squad-101	1	bot-267
214243	bot-236	bravo	S00r-4410	tick	-16.97	-20.05	307	2.11	1.51	1.84	1	seek	squad-27	1	bot-234
214243	bot-261	alpha	H00r-4220	tick	17.36	-11.20	265	0.00	0.00		0		squad-26	3	bot-196
214260	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
214260	bot-244	bravo	S00r-4410	tick	-18.51	-19.96	316	2.20	0.37	1.61	1	seek	squad-27	3	bot-234
214360	bot-261	alpha	H00r-4320	health	17.36	-11.20	274	0.00	0.00		0		squad-26	3	bot-196
214461	bot-269	bravo	G00r-4312	tick	-21.45	7.55	151	0.00	0.45		0		squad-97	1	bot-266
214494	bot-234	bravo	S00r-4410	tick	-17.87	-18.48	273	1.33	1.19	0.58	1	seek	squad-27	0	bot-234
214494	bot-267	alpha	S00r-4410	tick	-16.43	-5.50	47	2.12	2.36	18.42	4	seek	squad-101	0	bot-267
214577	bot-252	alpha	S00r-3310	tick	0.06	3.64	277	0.28	0.33	6.53	2	seek	squad-26	2	bot-196
214728	bot-240	bravo	K00m-04C0	tick	16.32	-9.74	144	0.00	0.00		0		squad-27	4	bot-234
214845	bot-237	alpha	C00r-3412	tick	0.36	2.54	302	0.00	0.00		0		squad-26	5	bot-196
214845	bot-238	bravo	S00r-4420	tick	-15.35	-18.64	286	0.84	0.70	0.63	1	seek	squad-27	2	bot-234
214845	bot-250	alpha	C00r-2322	tick	0.01	1.77	312	0.02	0.01		0		squad-26	1	bot-196
214912	bot-247	bravo	C00m-4322	tick	-17.69	-19.92	327	0.00	0.00		0		squad-27	5	bot-234
214946	bot-264	alpha	S00r-4410	tick	6.79	9.30	270	0.17	0.04	26.01	9	seek	squad-26	4	bot-196
215029	bot-269	bravo	C00r-4312	state	-21.59	6.99	133	0.00	0.58		0		squad-97	1	bot-266
215046	bot-261	alpha	S00r-4320	state	17.36	-11.20	326	0.00	0.00		0		squad-26	3	bot-196
215063	bot-196	alpha	S00m-3320	tick	3.69	6.23	351	1.44	1.27	0.48	1	seek	squad-26	0	bot-196
215113	bot-266	bravo	S00m-3320	tick	-3.42	3.52	104	1.06	1.62	4.08	2	seek	squad-97	0	bot-266
215113	bot-269	bravo	G00r-4312	state	-21.56	7.12	115	1.64	0.14	0.44	1	cover	squad-97	1	bot-266
