t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
0	bot-520	alpha	P00r-4320	initial	-10.00	-21.85	90	0.29		0.60	1	grenade
0	bot-536	alpha	P00r-3320	initial	-10.67	-20.75	79	0.00			0	
0	bot-565	alpha	P00r-3310	initial	-13.57	-19.48	64	2.42		1.18	1	squad
0	bot-629	bravo	D00r--000	initial	14.07	9.05	5	0.00		15.26	0	
0	bot-656	alpha	P00r-4410	initial	-12.22	-20.94	53	0.00			0	
0	bot-658	alpha	P00m-4420	initial	-16.74	-20.33	90	0.00			0	
0	bot-664	bravo	D00r--000	initial	-7.87	23.33	281	0.00		3.65	0	
0	bot-666	bravo	D00r--000	initial	14.67	9.27	16	0.00		8.49	0	
0	bot-670	bravo	D00r--000	initial	14.00	3.25	21	0.00		4.35	0	
0	bot-678	bravo	D00m--0A0	initial	15.55	16.17	12	0.00		5.34	0	
0	bot-680	bravo	D00r--000	initial	-6.58	8.17	45	0.00		5.31	0	
0	bot-683	bravo	S32r-3320	initial	1.77	9.89	98	4.73		12.58	3	seek
0	bot-684	alpha	D00r--000	initial	-17.60	6.79	44	0.00		4.54	0	
0	bot-685	bravo	H00r-4220	initial	-3.42	0.03	42	0.00		4.92	1	grenade
0	bot-686	bravo	D00m--000	initial	-11.62	-10.00	344	0.00		6.45	0	
0	bot-687	alpha	D00r--000	initial	-16.17	-12.49	66	0.00		3.09	0	
0	bot-688	bravo	G00r-4322	initial	-19.45	-13.95	158	0.00			0	
0	bot-689	alpha	D00m--000	initial	23.82	23.91	253	0.00			0	
0	bot-690	bravo	D00r--000	initial	-19.13	-17.71	25	0.00			0	
0	bot-691	alpha	D00r--000	initial	10.14	-2.40	226	0.00		6.76	0	
0	bot-692	bravo	D00r--000	initial	-2.57	-11.56	55	0.00		5.86	0	
0	bot-693	bravo	D00m--000	initial	18.83	-24.07	96	0.00		3.74	0	
0	bot-694	alpha	D00r--000	initial	23.84	23.32	42	0.00			0	
0	bot-695	alpha	D00r--000	initial	11.29	-3.56	229	0.00		6.98	0	
0	bot-696	bravo	S00r-3320	initial	-19.20	4.30	225	4.14		4.60	1	grenade
0	bot-697	alpha	D00m--000	initial	14.63	-0.54	226	0.00		4.23	0	
0	bot-698	bravo	S00r-3320	initial	-0.46	3.40	124	3.82		5.56	1	grenade
0	bot-699	alpha	D00r--000	initial	-21.39	0.83	359	0.00		5.07	0	
0	bot-700	bravo	E00r-2229	initial	0.69	17.32	60	4.14		5.37	1	grenade
0	bot-701	alpha	D00r--000	initial	-0.64	-13.76	85	0.00		2.66	0	
0	bot-702	alpha	D00r--000	initial	-1.11	5.61	126	0.00		6.91	0	
0	bot-703	alpha	D00m--0A0	initial	-19.78	10.26	142	0.00		2.45	0	
0	bot-704	alpha	D00r--000	initial	-1.46	4.04	359	0.00		4.95	0	
0	bot-705	alpha	D00r--000	initial	-24.25	1.32	102	0.00		4.74	0	
0	bot-706	bravo	T00m-4320	initial	-3.76	-1.00	42	0.00		1.09	1	medic
0	bot-707	alpha	D00r--000	initial	-1.28	18.13	143	0.00		3.87	0	
0	bot-708	bravo	S00r-4410	initial	-2.40	0.95	113	3.56		5.55	1	grenade
0	bot-709	alpha	S00m-3320	initial	9.09	15.42	213	2.30		14.07	5	seek
0	bot-710	alpha	A00r-4410	initial	5.94	19.91	244	0.00			0	
0	bot-711	alpha	A00r-4410	initial	13.13	18.28	266	0.00			0	
1	bot-700	bravo	E00r-2220	latches	0.62	17.25	64	5.46	0.10	6.91	1	flee
1	bot-711	alpha	A00r-441G	latches	13.13	18.28	266	0.00	0.00		0	
22	bot-700	bravo	E00r-2229	latches	0.68	17.31	58	4.14	0.09	5.38	1	grenade
22	bot-711	alpha	A00r-4410	latches	13.13	18.28	266	0.00	0.00		0	
37	bot-700	bravo	E00r-2220	latches	0.72	17.35	55	4.14	0.06	5.32	1	grenade
37	bot-710	alpha	F00r-4410	state	5.94	19.91	244	0.00	0.00		0	
53	bot-683	bravo	S33r-3320	score	1.73	9.90	97	4.75	0.05	10.65	3	seek
53	bot-685	bravo	H00r-4320	health	-3.42	0.03	47	0.00	0.00	4.92	1	grenade
53	bot-700	bravo	E00r-2120	health	0.66	17.29	59	4.66	0.08	6.97	1	flee
53	bot-710	alpha	A00r-4410	state	5.94	19.91	244	0.00	0.00		0	
70	bot-700	bravo	E00r-2129	latches	0.71	17.34	55	4.14	0.07	5.34	1	grenade
86	bot-700	bravo	E00r-2120	latches	0.64	17.28	59	5.46	0.09	6.95	1	flee
103	bot-700	bravo	E00r-2129	latches	0.69	17.33	54	4.14	0.07	5.36	1	grenade
120	bot-700	bravo	E00r-2120	latches	0.63	17.26	59	5.46	0.09	6.93	1	flee
120	bot-711	alpha	A00r-441G	latches	13.13	18.29	266	0.00	0.00		0	
136	bot-700	bravo	E00r-2129	latches	0.68	17.31	54	4.14	0.07	5.38	1	grenade
136	bot-711	alpha	A00r-4410	latches	13.13	18.29	266	0.00	0.00		0	
153	bot-700	bravo	E00r-2120	latches	0.73	17.36	50	4.14	0.07	5.31	1	grenade
153	bot-710	alpha	F00r-4410	state	5.94	19.91	244	0.00	0.00		0	
170	bot-683	bravo	S44rm3320	tier+score+element	1.75	9.90	98	4.73	0.02	11.12	3	seek
170	bot-700	bravo	E00r-2020	health	0.67	17.30	55	4.63	0.08	6.98	1	flee
170	bot-710	alpha	A00r-4410	state	5.94	19.91	244	0.00	0.00		0	
186	bot-700	bravo	E00r-2029	latches	0.71	17.35	50	4.14	0.07	5.69	1	grenade
203	bot-700	bravo	E00r-2020	latches	0.65	17.29	55	5.46	0.09	6.96	1	flee
220	bot-700	bravo	E00r-2029	latches	0.70	17.34	50	4.14	0.07	5.35	1	grenade
236	bot-700	bravo	E00r-2020	latches	0.63	17.28	54	5.46	0.09	6.94	1	flee
253	bot-700	bravo	E00r-2029	latches	0.68	17.33	50	4.14	0.07	5.37	1	grenade
270	bot-700	bravo	E00r-2020	latches	0.73	17.37	46	4.14	0.07	5.30	1	grenade
270	bot-710	alpha	F00r-4410	state	5.94	19.91	244	0.00	0.00		0	
270	bot-710	alpha	P00r-4410	state	5.94	19.91	244	0.00	0.00		0	
270	bot-700	bravo	D00r--000	state+ammo+packs	0.73	17.37	46	0.00	0.00	5.30	1	grenade
270	bot-711	alpha	P00r-4410	state	13.13	18.29	266	0.00	0.00		0	
287	bot-683	bravo	S46rm3320	score	1.77	9.89	98	4.73	0.02	9.16	3	seek
287	bot-710	alpha	S00r-4410	state	5.94	19.91	244	0.00	0.00		0	
336	bot-710	alpha	A00r-4410	state	5.82	19.91	257	2.36	0.12	5.78	1	seek
353	bot-710	alpha	A00r-441G	latches	5.83	19.91	254	0.12	0.00		0	
370	bot-685	bravo	S00r-4324	state+latches	-3.42	0.03	71	0.00	0.00	4.92	1	grenade
486	bot-698	bravo	S46rm3320	tier+score+element	0.01	4.17	108	3.66	0.90	5.77	1	grenade
588	bot-710	alpha	S00r-4410	state+latches	5.83	19.91	254	0.00	0.00		0	
670	bot-698	bravo	P46rm3320	state	0.09	4.31	108	3.42	0.17	5.46	1	grenade
693	bot-698	bravo	S46rm3320	state	0.14	4.28	112	3.42	0.06	34.43	0	
704	bot-685	bravo	S00r-4424	health	-3.42	0.03	72	0.00	0.00		0	
704	bot-698	bravo	P46rm3320	state	0.15	4.39	106	4.86	0.11	14.88	3	seek
723	bot-698	bravo	S46rm3320	state	0.16	4.45	103	4.86	0.06	28.34	0	
903	bot-708	bravo	S00r-4420	packs	-0.80	3.50	22	4.85	3.01	16.79	4	seek
920	bot-708	bravo	S46rm4420	tier+score+element	-0.78	3.58	22	5.01	0.08	16.71	4	seek
1003	bot-520	alpha	P00r-4320	tick	-9.99	-21.35	19	0.79	0.51	0.47	1	grenade
1003	bot-536	alpha	P00r-3320	tick	-10.60	-20.07	5	0.09	0.69		0	
1003	bot-565	alpha	P00r-3310	tick	-13.18	-19.19	55	2.40	0.49	4.09	1	squad
1003	bot-656	alpha	P00r-4410	tick	-12.22	-20.94	53	0.00	0.00		0	
1003	bot-658	alpha	P00m-4420	tick	-16.74	-20.33	90	0.00	0.00		0	
1003	bot-688	bravo	G00r-4322	tick	-19.89	-14.65	120	0.00	0.83		0	
1003	bot-696	bravo	S00r-3320	tick	-20.23	2.83	141	4.07	1.80	32.26	4	seek
1003	bot-706	bravo	T00m-4320	tick	-3.76	-1.00	328	0.00	0.00	1.09	1	medic
1003	bot-709	alpha	S00m-3320	tick	6.85	15.24	232	2.08	2.25	12.83	5	seek
1003	bot-710	alpha	A00r-4410	state	5.14	19.76	242	2.26	0.70	29.47	4	seek
1020	bot-710	alpha	A00r-441G	latches	5.14	19.76	239	0.07	0.00		0	
1253	bot-710	alpha	S00r-4410	state+latches	5.14	19.76	239	0.01	0.00		0	
1270	bot-711	alpha	P00r-4410	tick	11.11	18.21	282	2.28	2.02	4.93	1	squad
1287	bot-683	bravo	S46rm3320	tick	1.27	12.31	358	2.37	2.47	10.24	2	seek
1337	bot-683	bravo	P46rm3320	state	1.27	12.39	358	2.37	0.08	10.16	2	seek
1354	bot-683	bravo	S46rm3320	state	1.27	12.43	358	2.37	0.04	22.90	0	
1387	bot-706	bravo	S00m-4320	state	-3.76	-1.00	356	0.00	0.00	1.09	1	medic
1537	bot-696	bravo	A00r-3320	state	-18.86	3.69	57	2.07	1.62	30.64	4	seek
1554	bot-710	alpha	A00r-4410	state	4.73	19.62	251	2.25	0.44	29.28	4	seek
1571	bot-696	bravo	A00r-332G	latches	-18.86	3.69	56	0.11	0.00		0	
1571	bot-710	alpha	A00r-441G	latches	4.73	19.62	248	0.00	0.00		0	
1604	bot-698	bravo	A46rb3320	state+element	0.53	7.89	6	2.41	3.46	11.56	3	seek
1621	bot-685	bravo	A00r-4420	state+latches	-3.43	0.03	2	0.00	0.01		0	
1621	bot-709	alpha	A00m-3320	state	5.51	15.15	199	2.32	1.34	12.26	5	seek
1638	bot-708	bravo	A46rb4420	state+element	-0.04	5.60	23	2.51	2.15	14.56	4	seek
1805	bot-696	bravo	S00r-3320	state+latches	-18.86	3.69	56	0.00	0.00		0	
1805	bot-710	alpha	S00r-4410	state+latches	4.73	19.62	248	0.00	0.00		0	
2007	bot-520	alpha	P00r-4320	tick	-9.99	-20.33	347	1.13	1.02	1.21	1	grenade
2007	bot-536	alpha	P00r-3320	tick	-10.55	-19.27	349	0.11	0.80		0	
2007	bot-565	alpha	P00r-3310	tick	-11.40	-17.58	51	2.40	2.40	2.40	1	squad
2007	bot-656	alpha	P00r-4410	tick	-12.22	-20.94	53	0.00	0.00		0	
2007	bot-658	alpha	P00m-4420	tick	-16.74	-20.33	90	0.00	0.00		0	
2007	bot-688	bravo	G00r-4322	tick	-19.45	-13.95	204	0.00	0.83		0	
2108	bot-696	bravo	A00r-3320	state	-18.49	3.89	61	2.17	0.43	27.85	3	seek
2108	bot-710	alpha	A00r-4410	state	4.31	19.47	249	2.26	0.44	27.05	3	seek
2123	bot-710	alpha	A00r-441G	latches	4.31	19.47	246	0.00	0.00		0	
2140	bot-696	bravo	A00r-332G	latches	-18.49	3.89	56	0.11	0.00		0	
2274	bot-711	alpha	P00r-4410	tick	8.79	18.15	250	2.25	2.32	2.63	1	squad
2324	bot-698	bravo	F46rb3320	state	0.53	7.89	34	0.00	0.00		0	
2324	bot-709	alpha	E00m-3220	state+health	5.51	15.15	214	0.00	0.00		0	
2324	bot-710	alpha	A21r-441G	tier+score	4.31	19.47	246	0.00	0.00		0	
2324	bot-711	alpha	P21r-4410	tier+score	8.68	18.15	249	2.29	0.11	2.52	1	squad
2340	bot-685	bravo	A00r-442G	latches	-3.43	0.03	31	0.00	0.01		0	
2340	bot-698	bravo	A46rb3320	state	0.53	7.89	34	0.00	0.00		0	
2340	bot-706	bravo	S46mm4320	tier+score+element	-2.15	0.05	23	2.19	1.93	17.35	4	seek
2340	bot-708	bravo	A46rm442G	element+latches	-0.04	5.61	30	0.00	0.01		0	
2340	bot-709	alpha	E21m-3229	tier+score+latches	5.57	15.16	215	1.67	0.06	4.57	1	flee
2357	bot-683	bravo	S46rm3320	tick	1.17	14.89	42	2.40	2.46	9.59	2	seek
2374	bot-696	bravo	S00r-3320	state+latches	-18.49	3.89	56	0.00	0.00		0	
2374	bot-710	alpha	S21r-4410	state+latches	4.31	19.47	246	0.00	0.00		0	
2407	bot-698	bravo	A46rm332G	element+latches	0.53	7.89	35	0.00	0.00		0	
2407	bot-709	alpha	E21m-322P	latches	5.68	15.18	215	1.67	0.11	4.46	1	flee
2575	bot-685	bravo	S00r-4420	state+latches	-3.44	0.03	31	0.00	0.00		0	
2575	bot-708	bravo	S46rm4424	state+latches	-0.04	5.61	30	0.00	0.00		0	
2647	bot-683	bravo	S36r-3320	tier+element	1.15	15.59	45	2.42	0.70	9.09	2	seek
2647	bot-698	bravo	S46rm3324	state+latches	0.53	7.89	35	0.00	0.00		0	
2647	bot-709	alpha	E21m-3229	latches	6.43	15.33	215	5.14	0.77	3.69	1	flee
2647	bot-710	alpha	A21r-4410	state	3.97	19.35	241	2.25	0.37	26.69	3	seek
2664	bot-710	alpha	F21r-4410	state	3.97	19.35	237	0.00	0.00		0	
2682	bot-696	bravo	S10r-3320	tier	-18.08	4.13	60	2.00	0.48	27.38	3	seek
2682	bot-710	alpha	A21r-4410	state	3.97	19.35	235	0.06	0.00		0	
2708	bot-710	alpha	A21r-441G	latches	3.97	19.35	235	0.00	0.00		0	
2708	bot-712	bravo	P00r-0410	initial	-10.45	13.05	0	0.00			0	
2725	bot-712	bravo	S37r-4410	state+tier+score+ammo	-10.45	13.05	0	0.00	0.00		0	
2750	bot-712	bravo	A37r-4410	state	-10.41	13.01	4	2.46	0.05	16.09	4	seek
2765	bot-710	alpha	A21r-4410	latches	3.97	19.35	239	0.00	0.00		0	
2779	bot-711	alpha	S21r-4410	state	9.75	18.12	135	2.41	1.07	6.50	5	squad
2802	bot-683	bravo	S35r-3320	score	1.13	15.97	32	2.44	0.38	8.84	2	seek
2802	bot-698	bravo	S45rm3324	score	0.53	7.89	47	0.00	0.00		0	
2802	bot-706	bravo	S45mm4320	score	-1.64	1.01	24	2.42	1.08	16.27	4	seek
2802	bot-708	bravo	S45rm4424	score	-0.04	5.61	358	0.00	0.00		0	
2802	bot-712	bravo	A36r-4410	score	-10.42	13.01	20	0.00	0.00		0	
2837	bot-708	bravo	S45rm4420	latches	-0.03	5.63	359	1.37	0.02	9.91	4	seek
2909	bot-698	bravo	S45rm3320	latches	0.55	7.91	45	1.32	0.03	7.53	4	seek
2931	bot-683	bravo	S34r-3320	score	1.12	16.29	359	2.45	0.32	8.63	2	seek
2931	bot-698	bravo	S44rm3320	score	0.56	7.93	47	1.33	0.03	7.50	4	seek
2931	bot-706	bravo	S44mm4320	score	-1.51	1.30	24	2.44	0.31	15.95	4	seek
2931	bot-708	bravo	S44rm4420	score	0.01	5.76	18	1.37	0.13	9.78	4	seek
2931	bot-712	bravo	A35r-4410	score	-10.42	13.01	47	0.00	0.00		0	
2975	bot-710	alpha	E21r-4410	state	3.97	19.35	246	0.00	0.00		0	
2993	bot-710	alpha	E21r-4411	latches	4.00	19.39	239	1.56	0.05	3.68	1	flee
3008	bot-520	alpha	P00r-4320	tick	-10.10	-19.17	345	1.18	1.17	2.31	1	grenade
3008	bot-536	alpha	P00r-3320	tick	-10.53	-18.75	2	0.00	0.52		0	
3008	bot-565	alpha	P00r-3310	tick	-11.31	-17.04	11	0.08	0.56		0	
3008	bot-656	alpha	P00r-4410	tick	-12.22	-20.94	53	0.00	0.00		0	
3008	bot-658	alpha	P00m-4420	tick	-16.74	-20.33	90	0.00	0.00		0	
3008	bot-683	bravo	E34r-3320	state	1.12	16.45	358	2.45	0.15	8.53	2	seek
3008	bot-688	bravo	G00r-4322	tick	-19.45	-13.95	141	0.09	0.00		0	
3022	bot-683	bravo	E34r-3321	latches	1.04	16.37	5	4.13	0.11	3.40	1	flee
3022	bot-685	bravo	S44rm4420	tier+score+element	-3.04	0.76	41	2.38	0.83	16.22	5	seek
3037	bot-683	bravo	E33r-3321	score	0.99	16.33	9	4.13	0.06	3.34	1	flee
3037	bot-685	bravo	S33r-4420	tier+score+element	-3.02	0.79	41	2.38	0.04	16.19	5	seek
3037	bot-698	bravo	S33r-3320	tier+score+element	0.65	8.05	47	1.32	0.14	7.36	4	seek
3037	bot-706	bravo	S33m-4320	tier+score+element	-1.41	1.54	24	2.45	0.26	15.69	4	seek
3037	bot-708	bravo	S33r-4420	tier+score+element	0.05	5.90	18	1.37	0.15	9.63	4	seek
3037	bot-712	bravo	A34r-4410	score	-10.42	13.01	66	0.00	0.00		0	
3154	bot-683	bravo	E32r-3321	score	0.64	16.00	39	4.19	0.48	2.85	1	flee
3154	bot-685	bravo	S32r-4420	score	-2.89	1.04	41	2.41	0.28	15.91	5	seek
3154	bot-698	bravo	S32r-3320	score	0.75	8.21	47	2.44	0.19	7.18	4	seek
3154	bot-706	bravo	S32m-4320	score	-1.29	1.80	24	2.46	0.29	15.40	4	seek
3154	bot-708	bravo	S32r-4420	score	0.13	6.16	18	2.48	0.27	9.36	4	seek
3154	bot-712	bravo	A33r-4410	score	-10.42	13.01	66	0.00	0.00		0	
3220	bot-696	bravo	A10r-3320	state	-17.11	4.70	55	2.18	1.13	26.26	3	seek
3336	bot-709	alpha	E21m-3220	latches	9.74	15.99	215	0.00	3.38		0	
