t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
0	bot-1	alpha	P00r-3410	initial	-18.74	20.17	126	0.00			0		squad-1	0	bot-1
0	bot-2	bravo	G36r-4412	initial	-5.95	12.55	262	0.00			0		squad-2	0	bot-2
0	bot-3	alpha	C00r-3412	initial	-16.64	23.42	147	0.01			0		squad-1	1	bot-1
0	bot-4	bravo	D00r--000	initial	-10.77	14.46	305	0.00		5.03	0		squad-2	1	bot-2
0	bot-5	alpha	P00r-4410	initial	-21.31	21.74	91	1.41			1	muzzleRecovery	squad-1	2	bot-1
0	bot-6	bravo	G36r-4412	initial	-17.94	14.54	295	0.08			0		squad-2	2	bot-2
1	bot-1	alpha	S00r-3410	state	-18.74	20.17	126	0.00	0.00		0		squad-1	0	bot-1
43	bot-1	alpha	P00r-3410	state	-18.73	20.14	122	0.52	0.03	6.81	4	seek	squad-1	0	bot-1
548	bot-2	bravo	C36r-4412	state	-6.05	13.32	305	0.00	0.78		0		squad-2	0	bot-2
548	bot-7	bravo	P00m-0420	initial	-5.95	15.05	0	0.00			0			-1	
548	bot-8	alpha	P00m-0420	initial	-21.95	22.55	0	0.00			0			-1	
560	bot-7	bravo	C36m-4420	state+tier+score+ammo	-5.95	15.05	0	0.00	0.00		0		squad-2	2	bot-2
560	bot-8	alpha	S00m-4420	state+ammo	-21.95	22.55	0	0.00	0.00		0		squad-1	3	bot-1
586	bot-7	bravo	S36m-4420	state	-5.90	14.92	3	5.26	0.14	2.55	1	cover	squad-2	2	bot-2
599	bot-8	alpha	P00m-4420	state	-21.89	22.59	10	0.75	0.07	13.58	4	seek	squad-1	3	bot-1
825	bot-5	alpha	S00r-4410	state	-21.20	21.43	152	1.47	0.33	1.20	1	squad	squad-1	2	bot-1
838	bot-2	bravo	G36r-4412	state	-6.00	12.96	277	4.96	0.37	0.41	1	cover	squad-2	0	bot-2
1009	bot-3	alpha	C00r-3412	tick	-16.64	23.42	147	0.00	0.01		0		squad-1	1	bot-1
1009	bot-6	bravo	G36r-4412	tick	-17.95	14.55	18	0.02	0.01		0		squad-2	1	bot-2
1043	bot-1	alpha	P00r-3410	tick	-18.82	19.38	179	0.93	0.77	40.95	9	patrolReentry	squad-1	0	bot-1
1592	bot-7	bravo	S36m-4420	tick	-7.26	13.18	291	2.17	2.21	15.17	6	seek	squad-2	2	bot-2
1609	bot-8	alpha	P00m-4420	tick	-21.80	22.47	54	0.93	0.16	8.75	5	squad	squad-1	3	bot-1
1826	bot-5	alpha	S00r-4410	tick	-20.31	19.76	120	1.84	1.90	13.62	5	seek	squad-1	2	bot-1
1842	bot-1	alpha	E00r-3410	state	-18.94	18.44	205	1.60	0.95	41.15	9	patrolReentry	squad-1	0	bot-1
1842	bot-2	bravo	G36r-4412	tick	-6.05	13.25	276	0.00	0.30		0		squad-2	0	bot-2
1859	bot-1	alpha	E00r-3411	latches	-19.05	18.55	196	4.61	0.15	3.47	1	flee	squad-1	0	bot-1
1876	bot-2	bravo	C36r-4412	state	-6.05	13.31	274	0.00	0.06		0		squad-2	0	bot-2
1926	bot-6	bravo	G36r-441I	latches	-18.41	14.53	345	0.48	0.47		0		squad-2	1	bot-2
1942	bot-1	alpha	E00r-341H	latches	-19.30	18.84	179	4.69	0.39	3.08	1	flee	squad-1	0	bot-1
2026	bot-3	alpha	C00r-3412	tick	-16.63	23.43	147	0.00	0.01		0		squad-1	1	bot-1
2076	bot-2	bravo	G36r-4412	state	-6.02	12.97	233	1.61	0.35	0.42	1	cover	squad-2	0	bot-2
2159	bot-6	bravo	G36r-4412	latches	-18.41	14.53	326	0.73	0.00		0		squad-2	1	bot-2
2176	bot-1	alpha	E00r-3411	latches	-19.66	19.91	179	4.91	1.12	2.13	1	flee	squad-1	0	bot-1
2426	bot-7	bravo	S46mm4420	tier+element	-8.60	12.79	274	1.53	1.39	14.08	6	seek	squad-2	2	bot-2
2493	bot-2	bravo	G35r-4412	score	-5.95	12.55	322	0.00	0.42		0		squad-2	0	bot-2
2493	bot-6	bravo	G35r-4412	score	-18.41	14.53	317	0.36	0.00		0		squad-2	1	bot-2
2493	bot-7	bravo	S45mm4420	score	-8.69	12.79	275	1.51	0.10	14.00	6	seek	squad-2	2	bot-2
2509	bot-5	alpha	E00r-4410	state	-19.91	18.67	143	2.22	1.16	12.77	5	seek	squad-1	2	bot-1
2527	bot-5	alpha	E00r-4411	latches	-19.98	18.81	152	4.69	0.16	2.44	1	flee	squad-1	2	bot-1
2543	bot-6	bravo	G35r-441I	latches	-18.41	14.53	322	0.44	0.00		0		squad-2	1	bot-2
2559	bot-5	alpha	E00r-441H	latches	-20.04	18.95	156	4.72	0.15	2.29	1	flee	squad-1	2	bot-1
2593	bot-2	bravo	G34r-4412	score	-5.95	12.55	316	0.00	0.00		0		squad-2	0	bot-2
2593	bot-6	bravo	G34r-441I	score	-18.34	14.55	310	0.00	0.08		0		squad-2	1	bot-2
2593	bot-7	bravo	S44mm4420	score	-8.83	12.78	279	1.35	0.14	13.87	6	seek	squad-2	2	bot-2
2609	bot-8	alpha	P00m-4420	tick	-21.79	21.42	242	1.05	1.05	5.12	1	squad	squad-1	3	bot-1
2692	bot-1	alpha	S00r-3410	state+latches	-21.18	20.89	179	0.00	1.81		0		squad-1	0	bot-1
2726	bot-2	bravo	G33r-4412	score	-5.95	12.55	306	0.00	0.00		0		squad-2	0	bot-2
2726	bot-6	bravo	G33r-441I	score	-17.95	14.55	293	0.00	0.39		0		squad-2	1	bot-2
2726	bot-7	bravo	S33m-4420	tier+score+element	-9.01	12.79	295	1.30	0.18	13.71	6	seek	squad-2	2	bot-2
2792	bot-6	bravo	G33r-4412	latches	-17.93	14.50	298	1.82	0.06		0		squad-2	1	bot-2
2809	bot-5	alpha	E00r-4411	latches	-20.45	20.09	156	5.01	1.21	1.08	1	flee	squad-1	2	bot-1
2826	bot-2	bravo	G32r-4412	score	-5.95	12.55	298	0.00	0.00		0		squad-2	0	bot-2
2826	bot-6	bravo	G32r-4412	score	-17.93	14.49	301	0.99	0.01		0		squad-2	1	bot-2
