t_ms	bot_id	team	code	changed_slots
633	bot-25	alpha	P00r-0410	initial
633	bot-25	alpha	P00r-4410	ammo
633	bot-26	bravo	P00r-0410	initial
665	bot-26	bravo	P00r-4410	ammo
5662	bot-27	alpha	P00r-0410	initial
5662	bot-28	bravo	P00r-0410	initial
5679	bot-27	alpha	P00r-4410	ammo
5679	bot-28	bravo	P00r-4410	ammo
10657	bot-29	alpha	P00r-0410	initial
10657	bot-30	bravo	P00r-0410	initial
10687	bot-29	alpha	P00r-4410	ammo
10687	bot-30	bravo	P00r-4410	ammo
15679	bot-31	alpha	P00m-0420	initial
15679	bot-32	bravo	P00m-0420	initial
15695	bot-31	alpha	P00m-4420	ammo
15695	bot-32	bravo	P00m-4420	ammo
20681	bot-33	alpha	P00r-0410	initial
20681	bot-34	bravo	P00r-0410	initial
20700	bot-33	alpha	P00r-4410	ammo
20700	bot-34	bravo	P00r-4410	ammo
25700	bot-35	alpha	P00r-0410	initial
25700	bot-36	bravo	P00r-0410	initial
25713	bot-35	alpha	P00r-4410	ammo
25713	bot-36	bravo	P00r-4410	ammo
30711	bot-37	alpha	P00r-0410	initial
30711	bot-38	bravo	P00r-0410	initial
30729	bot-37	alpha	P00r-4410	ammo
30729	bot-38	bravo	P00r-4410	ammo
33661	bot-25	alpha	C00r-4410	state
33661	bot-27	alpha	S00r-4410	state
33661	bot-29	alpha	S00r-4410	state
33661	bot-31	alpha	S00m-4420	state
33661	bot-33	alpha	S00r-4410	state
33661	bot-35	alpha	S00r-4410	state
33661	bot-37	alpha	S00r-4410	state
33707	bot-25	alpha	G00r-4412	state+latches
33739	bot-25	alpha	G00r-441I	latches
33999	bot-25	alpha	G00r-4412	latches
34280	bot-26	bravo	C00r-4410	state
34280	bot-30	bravo	S00r-4410	state
34280	bot-32	bravo	S00m-4420	state
34280	bot-34	bravo	S00r-4410	state
34280	bot-36	bravo	S00r-4410	state
34280	bot-38	bravo	S00r-4410	state
34325	bot-26	bravo	C00r-4412	latches
34485	bot-25	alpha	G00r-441I	latches
34485	bot-26	bravo	C00r-441I	latches
34582	bot-25	alpha	C00r-441I	state
34723	bot-25	alpha	C00r-4412	latches
34723	bot-26	bravo	C00r-4412	latches
35094	bot-26	bravo	G00r-4412	state
35728	bot-39	alpha	P00m-0420	initial
35728	bot-40	bravo	P00m-0420	initial
35744	bot-39	alpha	S00m-4420	state+ammo
35744	bot-40	bravo	S00m-4420	state+ammo
35774	bot-40	bravo	P00m-4420	state
35811	bot-39	alpha	P00m-4420	state
35953	bot-25	alpha	G00r-4412	state
36483	bot-27	alpha	C00r-4410	state
36483	bot-37	alpha	C00r-4410	state
36511	bot-27	alpha	C00r-4412	latches
36511	bot-37	alpha	C00r-4412	latches
36614	bot-40	bravo	A00m-4420	state
36722	bot-27	alpha	C00r-441I	latches
36743	bot-26	bravo	G00r-441I	latches
36784	bot-37	alpha	C00r-441I	latches
36784	bot-40	bravo	A00m-442G	latches
36887	bot-27	alpha	C00r-4412	latches
36906	bot-26	bravo	G00r-4412	latches
36939	bot-26	bravo	C00r-4412	state
36969	bot-27	alpha	C00r-441I	latches
36989	bot-26	bravo	C00r-441I	latches
37022	bot-27	alpha	C00r-4412	latches
37022	bot-37	alpha	C00r-4412	latches
37022	bot-40	bravo	S00m-4420	state+latches
37046	bot-26	bravo	C00r-4412	latches
37118	bot-25	alpha	C00r-4412	state
37214	bot-25	alpha	G00r-4412	state
37282	bot-40	bravo	A00m-4420	state
37328	bot-40	bravo	A00m-442G	latches
37480	bot-26	bravo	A00r-4410	state+latches
37567	bot-40	bravo	S00m-4420	state+latches
37729	bot-27	alpha	C00r-441I	latches
37750	bot-26	bravo	C00r-4410	state
37750	bot-27	alpha	C00r-4412	latches
37776	bot-26	bravo	C00r-4412	latches
37811	bot-40	bravo	A00m-4420	state
37851	bot-27	alpha	C00r-441I	latches
37871	bot-40	bravo	F00m-4420	state
37891	bot-40	bravo	A00m-442G	state+latches
37957	bot-37	alpha	C00r-441I	latches
37990	bot-26	bravo	C00r-441I	latches
37990	bot-27	alpha	C00r-4412	latches
38064	bot-26	bravo	C00r-4412	latches
38131	bot-40	bravo	S00m-4420	state+latches
38193	bot-37	alpha	C00r-4412	latches
38246	bot-26	bravo	G00r-4412	state
38394	bot-40	bravo	A00m-4420	state
38414	bot-26	bravo	A00r-4410	state+latches
38414	bot-40	bravo	A00m-442G	latches
38478	bot-27	alpha	C00r-3412	ammo
38512	bot-37	alpha	S00r-4410	state+latches
38552	bot-26	bravo	C00r-4410	state
38552	bot-37	alpha	A00r-4410	state
38573	bot-26	bravo	C00r-4412	latches
38573	bot-37	alpha	A00r-441G	latches
38618	bot-25	alpha	C00r-4412	state
38662	bot-27	alpha	C00r-341I	latches
38662	bot-40	bravo	S00m-4420	state+latches
38684	bot-25	alpha	G00r-4412	state
38684	bot-26	bravo	C00r-441I	latches
