t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
0	bot-1	alpha	P00r-4410	initial	-19.04	23.87	187	2.37			19	patrol	squad-1	0	bot-1			-
0	bot-2	bravo	P00r-4410	initial	7.67	28.43	90	2.37			5	patrol	squad-2	0	bot-2			-
0	bot-3	alpha	P00r-4410	initial	-18.25	29.03	184	2.35		2.96	2	squad	squad-1	1	bot-1			-
0	bot-4	bravo	P00r-4410	initial	7.13	26.20	312	2.08		5.48	2	squad	squad-2	1	bot-2			-
540	bot-5	alpha	P00r-0410	initial	-20.25	21.25	0	0.00			0			-1				-
540	bot-6	bravo	P00r-0410	initial	8.25	25.75	0	0.00			0			-1				-
556	bot-5	alpha	P00r-4410	ammo	-20.25	21.25	0	0.00	0.00		0		squad-1	2	bot-1			-
556	bot-6	bravo	P00r-4410	ammo	8.25	25.75	0	0.00	0.00		0		squad-2	2	bot-2			-
1014	bot-1	alpha	P00r-4410	tick	-18.21	21.65	157	2.35	2.37		19	patrol	squad-1	0	bot-1			-
1014	bot-2	bravo	P00r-4410	tick	10.13	27.70	122	2.51	2.57		5	patrol	squad-2	0	bot-2			-
1014	bot-3	alpha	P00r-4410	tick	-18.88	26.89	205	2.03	2.23	2.15	1	squad	squad-1	1	bot-1			-
1014	bot-4	bravo	P00r-4410	tick	6.96	27.37	3	0.00	1.18		0		squad-2	1	bot-2			-
1556	bot-5	alpha	P00r-4410	tick	-20.06	23.61	26	2.22	2.37	1.71	1	squad	squad-1	2	bot-1			-
1556	bot-6	bravo	P00r-4410	tick	7.15	26.12	317	2.44	1.16	1.21	1	squad	squad-2	2	bot-2			-
2024	bot-1	alpha	P00r-4410	tick	-17.37	19.40	137	2.41	2.40		19	patrol	squad-1	0	bot-1			-
2024	bot-2	bravo	P00r-4410	tick	12.69	27.54	89	2.48	2.57		4	patrol	squad-2	0	bot-2			-
2024	bot-3	alpha	P00r-4410	tick	-18.78	24.54	132	2.40	2.35	2.64	1	squad	squad-1	1	bot-1			-
2024	bot-4	bravo	P00r-4410	tick	7.91	28.12	95	2.41	1.21	2.45	1	squad	squad-2	1	bot-2			-
