t_ms	type	attacker	attacker_team	victim	victim_team	weapon	cause	amount	victim_health	ax	az	vx	vz	dist
143	damage	bot-188	bravo	bot-217	alpha	five_seven	bullet	20.00	56.00	-9.99	-10.42	11.23	29.39	45.11
298	damage	bot-188	bravo	bot-217	alpha	five_seven	bullet	20.00	36.00	-9.99	-10.42	11.36	29.52	45.29
454	damage	bot-188	bravo	bot-217	alpha	five_seven	bullet	20.00	16.00	-9.99	-10.42	11.80	30.00	45.92
595	kill	bot-188	bravo	bot-217	alpha	five_seven	bullet	20.00	0.00	-9.99	-10.42	12.22	30.45	46.51
4680	damage	bot-202	bravo	bot-218	alpha	cz_805_bren	bullet	24.00	76.00	-24.57	3.05	11.26	-25.75	45.97
4816	damage	bot-202	bravo	bot-218	alpha	cz_805_bren	bullet	24.00	52.00	-24.57	3.05	11.26	-25.75	45.97
5651	damage	bot-202	bravo	bot-218	alpha	cz_805_bren	bullet	24.00	28.00	-22.39	3.97	13.85	-28.02	48.34
6137	damage	bot-202	bravo	bot-218	alpha	cz_805_bren	bullet	24.00	4.00	-20.99	4.63	14.42	-28.28	48.34
9587	damage	bot-219	alpha	bot-202	bravo	cz_805_bren	bullet	24.00	48.09	-23.26	-30.23	-20.95	4.58	34.89
9734	damage	bot-219	alpha	bot-202	bravo	cz_805_bren	bullet	24.00	24.09	-23.26	-30.23	-21.13	4.62	34.91
9847	damage	bot-219	alpha	bot-202	bravo	cz_805_bren	bullet	24.00	0.09	-23.26	-30.23	-21.28	4.63	34.92
9971	kill	bot-219	alpha	bot-202	bravo	cz_805_bren	bullet	24.00	0.00	-23.26	-30.23	-21.48	4.67	34.95
10846	damage	bot-219	alpha	bot-200	bravo	cz_805_bren	bullet	24.00	76.00	-23.72	-30.42	-32.07	-31.80	8.46
10998	damage	bot-219	alpha	bot-200	bravo	cz_805_bren	bullet	24.00	52.00	-23.72	-30.42	-32.07	-31.80	8.46
11031	damage	bot-198	bravo	bot-219	alpha	m1911	bullet	33.00	67.00	-32.97	-32.99	-23.67	-30.37	9.66
11109	damage	bot-219	alpha	bot-200	bravo	cz_805_bren	bullet	24.00	28.00	-23.60	-30.30	-32.18	-31.90	8.73
11209	damage	bot-200	bravo	bot-219	alpha	cz_805_bren	bullet	24.00	43.00	-32.20	-31.94	-23.49	-30.20	8.88
11415	damage	bot-198	bravo	bot-219	alpha	m1911	bullet	33.00	10.00	-32.97	-32.99	-22.88	-29.63	10.63
11519	damage	bot-219	alpha	bot-200	bravo	cz_805_bren	bullet	24.00	4.00	-22.71	-29.47	-33.08	-32.39	10.78
11692	kill	bot-200	bravo	bot-219	alpha	cz_805_bren	bullet	24.00	0.00	-33.32	-32.40	-22.35	-29.14	11.44
14360	damage	bot-220	alpha	bot-196	bravo	five_seven	bullet	20.00	80.00	-26.28	-3.78	-8.13	-3.94	18.15
14571	damage	bot-196	bravo	bot-220	alpha	five_seven	bullet	20.00	80.00	-8.13	-3.94	-26.29	-3.79	18.16
14655	damage	bot-220	alpha	bot-196	bravo	five_seven	bullet	20.00	60.00	-26.29	-3.79	-8.13	-3.94	18.16
14713	damage	bot-196	bravo	bot-220	alpha	five_seven	bullet	20.00	60.00	-8.09	-3.97	-26.29	-3.79	18.20
14804	damage	bot-221	bravo	bot-220	alpha	cz_805_bren	bullet	24.00	36.00	1.38	12.98	-26.10	-3.84	32.22
14922	damage	bot-221	bravo	bot-220	alpha	cz_805_bren	bullet	24.00	12.00	1.38	12.98	-25.91	-3.88	32.08
15037	kill	bot-221	bravo	bot-220	alpha	cz_805_bren	bullet	24.00	0.00	1.38	12.98	-25.34	-3.99	31.66
19409	damage	bot-222	alpha	bot-212	bravo	m1911	bullet	33.00	39.27	20.27	23.77	11.78	25.82	8.73
19660	damage	bot-212	bravo	bot-222	alpha	cz_805_bren	bullet	24.00	76.00	11.54	26.15	20.28	23.78	9.05
19754	damage	bot-222	alpha	bot-212	bravo	m1911	bullet	33.00	6.27	20.28	23.78	11.22	26.48	9.45
