t,fps,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,0,0,0,0,0,chunks,1,25,24,0,0,4.3
1.01,71.5,58,119514,82,7,chunks,25,25,0,17,17,4.3
2.02,75.1,63,130332,75,7,chunks,25,25,0,25,17,4.3
3.02,75.1,63,130332,75,7,chunks,25,25,0,25,17,4.3
4.02,75,63,130332,75,7,chunks,25,25,0,25,17,4.3
5.02,74.9,63,130332,75,7,chunks,25,25,0,25,17,4.3
6.02,74.9,63,130332,75,7,chunks,25,25,0,25,17,4.3
7.02,75,63,130332,75,7,chunks,25,25,0,25,17,4.3
8.02,75,63,130332,75,7,chunks,25,25,0,25,17,4.3
9.02,75.1,63,130332,75,7,chunks,25,25,0,25,17,4.3
10.03,74.9,63,130332,75,7,chunks,25,25,0,25,17,4.3
11.03,75,63,130332,75,7,chunks,25,25,0,25,17,4.3
12.03,75.1,63,130332,75,7,chunks,25,25,0,25,17,4.3
13.03,72.5,63,269108,99,7,chunks,25,25,0,25,300,4.3
14.04,75.1,73,849444,96,7,chunks,25,25,0,25,300,4.3
15.04,75.2,73,1265772,93,7,chunks,25,25,0,25,300,4.3
16.04,78.6,83,1707332,94,7,chunks,25,25,0,25,300,4.3
17.06,66.4,83,1835705,91,7,chunks,25,25,0,25,300,4.3
18.07,72.6,83,2491481,88,7,chunks,25,25,0,25,300,4.3
19.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
20.07,74.9,83,2491481,88,7,chunks,25,25,0,25,300,4.3
21.07,75.1,83,2491481,88,7,chunks,25,25,0,25,300,4.3
22.07,74.9,83,2491481,88,7,chunks,25,25,0,25,300,4.3
23.07,75.1,83,2491481,88,7,chunks,25,25,0,25,300,4.3
24.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
25.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
26.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
27.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
28.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
29.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
30.07,74.9,83,2491481,88,7,chunks,25,25,0,25,300,4.3
31.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
32.07,75,83,2491481,88,7,chunks,25,25,0,25,300,4.3
