t,fps,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
33.08,56.7,74,2171082,120,7,chunks,25,25,0,24,300,15
34.09,74.2,83,2466688,133,7,chunks,25,25,0,25,300,16.1
35.09,75.4,83,2491481,133,7,chunks,25,25,0,25,300,16.1
36.09,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
37.09,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
38.09,74.8,83,2491481,133,7,chunks,25,25,0,25,300,16.1
39.09,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
40.09,74.9,83,2491481,133,7,chunks,25,25,0,25,300,16.1
41.09,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
42.09,75.1,83,2491481,133,7,chunks,25,25,0,25,300,16.1
43.09,74.9,83,2491481,133,7,chunks,25,25,0,25,300,16.1
44.09,74.6,83,2491481,133,7,chunks,25,25,0,25,300,16.1
45.11,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
46.11,74.9,83,2491481,133,7,chunks,25,25,0,25,300,16.1
47.11,74.8,83,2491481,133,7,chunks,25,25,0,25,300,16.1
48.11,74.9,83,2491481,133,7,chunks,25,25,0,25,300,16.1
49.11,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
50.11,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
51.11,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
52.11,75.1,83,2491481,133,7,chunks,25,25,0,25,300,16.1
53.11,75.1,83,2491481,133,7,chunks,25,25,0,25,300,16.1
54.11,75,83,2491481,133,7,chunks,25,25,0,25,300,16.1
55.11,75,98,2507351,198,7,chunks,84,169,85,25,300,16.1
56.15,39.3,122,2317322,529,7,chunks,121,121,0,25,300,16.1
57.15,22.6,142,2121895,516,7,chunks,121,121,0,30,300,16.1
58.15,19.9,177,2308511,515,7,chunks,121,121,0,49,300,16.1
59.18,20.6,199,2481666,507,7,chunks,121,121,0,70,300,16.1
60.25,17.7,249,3351275,607,7,chunks,113,121,8,88,300,22.3
61.26,32.3,190,2918289,608,7,chunks,121,121,0,104,300,21.3
62.28,35.4,235,2646009,624,7,chunks,121,121,0,121,300,16.1
63.29,34,252,2902277,606,7,chunks,121,121,0,116,301,17.5
64.29,37,250,3027499,585,7,chunks,121,121,0,121,301,19.2
65.31,34,246,2587387,558,7,chunks,117,121,4,121,301,20.2
66.34,36.9,254,2203209,589,7,chunks,121,121,0,121,301,17.3
67.34,34.2,270,2487259,572,7,chunks,121,121,0,121,301,17.3
68.36,39.9,253,2166201,601,7,chunks,121,121,0,108,297,18
69.38,33,299,2518329,613,7,chunks,121,121,0,121,297,17.6
70.38,43.3,329,2541648,607,7,chunks,121,121,0,121,297,17.6
71.38,44.6,331,2520402,607,7,chunks,121,121,0,121,297,17.6
72.4,42.7,331,2520402,607,7,chunks,121,121,0,121,297,17.6
73.41,53.6,289,2189749,613,7,chunks,121,121,0,121,297,17.6
74.43,41.3,283,2561668,648,7,chunks,121,121,0,121,297,17.6
75.44,48.3,310,2338658,650,7,chunks,121,121,0,121,297,17.6
76.45,45.4,294,2566304,650,7,chunks,121,121,0,121,297,17.6
77.47,52.1,259,2351127,654,7,chunks,121,121,0,121,297,17.6
78.5,45.7,223,1758397,636,7,chunks,110,121,11,112,298,20.8
79.52,38.1,235,1887498,661,7,chunks,121,121,0,121,298,17.4
80.54,35.4,270,1997538,667,7,chunks,121,121,0,121,303,21.3
81.57,29.8,309,2237714,670,7,chunks,120,121,1,121,303,17
82.59,30.5,271,1861201,656,7,chunks,121,121,0,111,301,20.7
83.61,32.2,287,1994395,674,7,chunks,121,121,0,121,301,17.1
84.62,34.3,262,1860207,682,7,chunks,121,121,0,121,303,22.3
85.64,41.3,272,1924536,691,7,chunks,121,121,0,121,303,22.3
86.66,35.7,270,1877901,693,7,chunks,121,121,0,121,301,18.7
87.69,35.3,294,2081443,694,7,chunks,121,121,0,121,301,13
88.72,34.7,266,2413768,655,7,chunks,47,121,74,121,301,13
89.72,46.9,277,2425406,708,7,chunks,96,121,25,121,301,13
90.73,41.6,288,2437044,761,7,chunks,195,361,166,121,301,13
91.75,35.1,421,3487435,839,7,chunks,231,361,130,121,301,12.2
92.77,31.5,450,3610472,884,7,chunks,264,361,97,121,301,16.6
93.8,24.9,617,4950500,913,7,chunks,289,361,72,121,301,13.5
94.8,72,187,953964,1025,7,chunks,350,361,11,121,301,20.2
95.84,29.9,406,2978252,1306,7,chunks,361,361,0,112,300,17.4
96.85,24.3,308,1794026,1295,7,chunks,361,361,0,122,303,20.3
97.87,29.8,314,1806435,1275,7,chunks,361,361,0,139,303,20
98.88,27.6,337,1789353,1247,7,chunks,361,361,0,158,303,20
99.89,23.7,612,3427903,1262,7,chunks,361,361,0,175,303,20
100.92,22.7,461,2179463,1243,7,chunks,361,361,0,189,303,20
101.93,21.2,396,1243253,1294,7,chunks,361,361,0,204,303,20
102.96,24.4,479,1446761,1315,7,chunks,361,361,0,221,303,20
104.01,19.7,735,4439611,1410,7,chunks,361,361,0,238,303,20
105.05,18.6,764,4455012,1422,7,chunks,361,361,0,250,303,20
106.07,17.1,694,4096067,1426,7,chunks,361,361,0,263,303,20
107.09,19.4,653,2877031,1426,7,chunks,343,361,18,281,303,14
108.1,21.9,578,2452293,1479,7,chunks,361,361,0,292,300,13.9
109.11,22.3,566,1936486,1506,7,chunks,347,361,14,310,300,12.6
110.15,21,572,1821017,1574,7,chunks,361,361,0,320,299,17
111.16,21.6,548,1666818,1577,7,chunks,343,361,18,340,299,17.6
112.16,26.1,480,1352901,1604,7,chunks,350,361,11,361,299,16.7
113.18,26,455,1262401,1668,7,chunks,361,361,0,322,298,13.3
114.22,22.8,506,1336409,1681,7,chunks,360,361,1,346,298,16.2
115.25,22.8,503,1386858,1699,7,chunks,343,361,18,352,299,16.1
116.32,17.9,517,1367885,1741,7,chunks,360,361,1,361,299,19.7
117.36,19.8,559,1501657,1764,7,chunks,361,361,0,361,297,17.1
118.37,23,615,1659384,1763,7,chunks,361,361,0,361,297,17.1
119.39,22.7,638,2098772,1807,7,chunks,347,361,14,361,297,17.3
120.44,19.6,725,3068351,1806,7,chunks,361,361,0,348,297,14.2
121.47,18.2,652,2175422,1799,7,chunks,349,361,12,361,297,16.4
122.49,19.8,636,2158075,1822,7,chunks,361,361,0,350,298,16.6
123.54,20.5,683,2283151,1827,7,chunks,361,361,0,361,298,15.9
124.57,22.4,698,2384713,1830,7,chunks,361,361,0,361,298,15.9
125.58,21.7,726,4110360,1855,7,chunks,361,361,0,361,298,15.9
126.62,19.7,688,3428023,1898,7,chunks,361,361,0,361,298,15.9
127.65,22.3,664,1881774,1905,7,chunks,361,361,0,361,298,15.9
128.67,22.3,647,1746501,1944,7,chunks,361,361,0,361,298,15.9
129.71,23,667,1812180,1944,7,chunks,361,361,0,361,298,15.9
130.71,22.7,657,1794647,1944,7,chunks,361,361,0,361,298,15.9
131.74,23.8,657,1794647,1944,7,chunks,361,361,0,361,298,15.9
132.75,58.2,194,1386754,1837,7,chunks,246,361,115,361,298,15.9
133.76,46,250,1599752,1908,7,chunks,297,361,64,361,298,15.9
134.76,47,271,1621970,1972,7,chunks,345,361,16,361,298,15.9
135.78,30.5,297,1830307,1822,7,chunks,361,361,0,227,294,15.9
136.79,20.7,598,3744043,1764,7,chunks,326,361,35,247,294,15.9
137.86,15.4,580,3647820,1733,7,chunks,337,361,24,262,294,15.9
138.87,15,783,4250710,1718,7,chunks,342,361,19,277,294,15.9
139.9,14.5,783,4250710,1687,7,chunks,357,361,4,292,294,15.9
140.91,14.2,650,3851400,1618,7,chunks,361,361,0,255,294,15.9
141.97,16.8,546,3418956,1571,7,chunks,335,361,26,273,294,15.9
142.99,16.8,573,3525770,1543,7,chunks,352,361,9,290,294,15.9
144.05,17.2,656,3192579,1543,7,chunks,360,361,1,306,296,15.9
145.06,18.2,591,3329003,1519,7,chunks,361,361,0,314,296,15.9
146.09,18.6,606,3599357,1500,7,chunks,361,361,0,333,296,15.9
147.13,17.3,587,3585086,1475,7,chunks,361,361,0,351,296,15.9
148.16,17.8,582,3594463,1467,7,chunks,361,361,0,361,296,15.9
149.2,16.9,598,3640695,1448,7,chunks,361,361,0,361,296,15.9
150.21,15.5,598,3640695,1403,7,chunks,361,361,0,361,296,15.9
151.21,15.7,598,3640695,1355,7,chunks,361,361,0,361,296,15.9
152.21,18.2,598,3640695,1301,7,chunks,361,361,0,361,296,15.9
153.23,25.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
154.26,23.2,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
155.29,24.7,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
156.31,23.5,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
157.33,25.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
158.35,23.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
159.36,25.1,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
160.37,24.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
161.38,24.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
162.41,25.4,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
163.44,23.9,598,3640695,1268,7,chunks,361,361,0,361,296,15.9
164.45,26.1,598,3640695,911,7,chunks,361,361,0,361,296,15.9
165.48,25.6,497,3533837,674,7,chunks,10,361,351,361,296,1.1
166.48,28.9,504,3541243,694,7,chunks,29,361,332,361,296,1.3
167.5,24.1,511,3548649,682,7,chunks,54,361,307,361,296,1.3
168.5,26.2,520,3558171,694,7,chunks,80,361,281,361,296,1.3
169.54,26.4,503,3540185,699,7,chunks,27,361,334,361,296,1.2
170.59,26,511,3548649,734,7,chunks,54,361,307,361,296,1.2
171.64,24,520,3558171,769,7,chunks,80,361,281,361,296,1.2
172.67,24.9,527,3565577,803,7,chunks,107,361,254,361,296,1.2
173.68,27,534,3572983,838,7,chunks,135,361,226,361,296,1.2
174.71,24.2,541,3580389,871,7,chunks,161,361,200,361,296,1.2
175.72,26.6,548,3587795,906,7,chunks,189,361,172,361,296,1.2
176.72,25,553,3593085,936,7,chunks,214,361,147,361,296,1.2
177.76,25.8,561,3601549,971,7,chunks,241,361,120,361,296,1.2
178.77,25.4,567,3607897,1003,7,chunks,267,361,94,361,296,1.2
179.79,25.8,576,3617419,1039,7,chunks,294,361,67,361,296,1.2
180.8,24.2,583,3624825,1071,7,chunks,319,361,42,361,296,1.2
181.82,21,591,3633289,1101,7,chunks,341,361,20,361,296,1.2
182.84,24.1,416,1879874,921,7,chunks,361,361,0,361,296,1.2
183.86,25.2,414,1350143,900,7,chunks,361,361,0,361,296,1.2
184.87,28.4,413,1124669,860,7,chunks,361,361,0,361,296,1.2
185.9,28.3,408,1014799,840,7,chunks,361,361,0,361,296,1.2
186.9,28.4,418,1023450,815,7,chunks,361,361,0,361,296,1.2
187.92,26.8,417,1006257,768,7,chunks,361,361,0,361,296,1.2
188.94,31.7,416,973830,726,7,chunks,361,361,0,361,296,1.2
189.97,32.9,415,938136,718,7,chunks,361,361,0,361,296,1.2
190.98,31.9,431,981127,779,7,chunks,360,361,1,361,296,13.2
191.99,30.8,448,903161,839,7,chunks,361,361,0,326,300,14.8
193,30.9,483,947936,852,7,chunks,361,361,0,333,300,16.4
194,31.5,493,934919,860,7,chunks,361,361,0,344,300,16.4
195.03,28.9,492,936231,1045,7,chunks,361,361,0,353,300,16.4
196.05,32,520,946980,1059,7,chunks,361,361,0,361,300,16.4
197.07,32.1,516,945224,1060,7,chunks,361,361,0,361,300,16.4
198.07,31.5,516,945224,1060,7,chunks,361,361,0,361,300,16.4
199.1,33.3,516,945224,1060,7,chunks,361,361,0,361,300,16.4
200.11,36.4,469,874371,1094,7,chunks,361,361,0,361,300,16.4
201.13,32.4,506,971080,1147,7,chunks,361,361,0,361,300,16.4
202.14,30,524,1002600,1242,7,chunks,361,361,0,361,300,16.4
203.14,34.1,442,814449,1320,7,chunks,361,361,0,361,300,16.4
204.22,27.1,507,976597,1560,7,chunks,361,361,0,361,300,16.4
205.23,31.6,499,956403,1563,7,chunks,351,361,10,361,300,15.5
206.25,30.6,385,663997,1501,7,chunks,344,361,17,361,298,11.1
207.26,31.2,424,776255,1532,7,chunks,361,361,0,358,300,12
208.27,33.3,439,827531,1549,7,chunks,359,361,2,361,300,16.4
209.28,32.3,462,871433,1522,7,chunks,351,361,10,361,297,14.2
210.31,29,485,920960,1499,7,chunks,361,361,0,361,295,12.2
211.33,32,487,930173,1487,7,chunks,347,361,14,361,295,14.2
212.35,28.3,497,938161,1485,7,chunks,361,361,0,355,292,14.6
213.36,32.8,509,956322,1499,7,chunks,361,361,0,361,292,14.6
214.37,35.8,508,955239,1499,7,chunks,361,361,0,361,292,14.6
215.39,32.1,507,952146,1499,7,chunks,361,361,0,361,292,14.6
216.4,35.6,467,868603,1499,7,chunks,361,361,0,361,292,14.6
217.4,33.7,446,787422,1475,7,chunks,361,361,0,346,292,11.8
218.4,38.9,396,679708,1458,7,chunks,351,361,10,361,292,11
219.41,33.5,385,646091,1477,7,chunks,361,361,0,349,295,17
220.42,41.6,409,702540,1471,7,chunks,361,361,0,361,295,17
221.44,35.8,453,805389,1481,7,chunks,361,361,0,361,295,17
222.46,36.4,436,767369,1481,7,chunks,361,361,0,361,295,17
223.48,40.2,441,796560,1497,7,chunks,361,361,0,361,295,17
224.5,34.9,443,790938,1509,7,chunks,361,361,0,361,295,17
225.5,37,433,785860,1524,7,chunks,361,361,0,361,295,17
226.53,36.4,443,804145,1524,7,chunks,361,361,0,361,295,17
227.55,37.1,493,900273,1524,7,chunks,361,361,0,361,295,17
228.56,32.9,469,859220,1524,7,chunks,361,361,0,361,295,17
229.58,31.8,493,924216,1537,7,chunks,358,361,3,361,295,14.3
230.59,40.8,412,737864,1498,7,chunks,359,361,2,361,292,14.7
231.62,29.6,436,786225,1501,7,chunks,356,361,5,355,295,30.5
232.65,28.2,498,931088,1516,7,chunks,361,361,0,361,301,12.3
233.67,31.6,466,867140,1516,7,chunks,350,361,11,361,301,10.1
234.7,29.8,476,891959,1512,7,chunks,344,361,17,361,303,11.1
235.72,31.5,452,832045,1542,7,chunks,357,361,4,361,303,11.6
236.73,28.3,444,810465,1492,7,chunks,348,361,13,350,300,11.9
237.76,27.5,474,875453,1494,7,chunks,344,361,17,357,301,15.5
238.77,28.5,474,879962,1519,7,chunks,361,361,0,355,305,13.2
239.8,30.8,483,901575,1530,7,chunks,361,361,0,361,305,13.2
240.81,32,494,929999,1551,7,chunks,361,361,0,361,305,13.2
241.83,30.5,470,884628,1551,7,chunks,361,361,0,361,305,13.2
242.85,33.1,454,807888,1551,7,chunks,361,361,0,361,305,13.2
243.85,33.2,467,832868,1560,7,chunks,361,361,0,350,307,13.6
244.87,29.5,496,951358,1580,7,chunks,361,361,0,361,307,13
245.88,33,493,903123,1582,7,chunks,361,361,0,361,307,13
246.89,33.5,494,908219,1582,7,chunks,361,361,0,361,307,13
247.91,34.6,494,908219,1582,7,chunks,361,361,0,361,307,13
248.94,34.4,494,908219,1582,7,chunks,361,361,0,361,307,13
249.96,34.1,494,908219,1582,7,chunks,361,361,0,361,307,13
250.97,32.6,494,908219,1582,7,chunks,361,361,0,361,307,13
251.99,35.1,494,908219,1582,7,chunks,361,361,0,361,307,13
252.99,68.9,208,316025,1488,7,chunks,246,361,115,361,307,13
254,60.3,223,331895,1561,7,chunks,304,361,57,361,307,13
301.38,44.9,242,351997,1628,7,chunks,352,361,9,361,307,13
302.42,30.9,222,320309,1434,7,chunks,361,361,0,209,296,13
303.42,31.7,232,338198,1382,7,chunks,361,361,0,240,296,13
