t,fps,calls,triangles,geometries,textures,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,0,0,0,0,0,1,25,24,0,0,3.7
1.01,71.9,93,130332,105,7,25,25,0,25,17,3.7
2.02,75.1,103,130332,99,7,25,25,0,25,17,3.7
3.02,75.1,103,130332,99,7,25,25,0,25,17,3.7
4.02,74.8,103,130332,99,7,25,25,0,25,17,3.7
5.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
6.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
7.02,75.2,103,130332,99,7,25,25,0,25,17,3.7
8.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
9.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
10.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
11.02,75,103,130332,99,7,25,25,0,25,17,3.7
12.02,74.9,103,130332,99,7,25,25,0,25,17,3.7
13.02,75.1,103,130332,99,7,25,25,0,25,17,3.7
14.02,75,103,130332,99,7,25,25,0,25,300,3.7
15.03,76.3,98,849444,96,7,25,25,0,25,300,3.7
16.04,77,83,1404548,87,7,25,25,0,25,300,3.7
17.04,75.1,93,1707332,94,7,25,25,0,25,300,3.7
18.04,49.1,83,2062097,88,7,25,25,0,25,300,3.7
19.04,74.6,83,2491481,88,7,25,25,0,25,300,3.7
20.08,66.3,107,3271616,131,7,20,25,5,25,300,15.4
21.09,75.5,88,2618080,134,7,25,25,0,25,300,12.3
22.09,75,66,1942077,136,7,25,25,0,25,300,12.3
23.1,70.5,70,1857384,138,7,25,25,0,25,300,13.1
24.11,76.1,69,1941432,135,7,25,25,0,25,300,13.6
25.12,59.6,66,1927396,134,7,25,25,0,25,300,9.8
26.12,70.7,56,1678637,138,7,25,25,0,25,300,10.4
27.12,76.9,57,1986177,141,7,25,25,0,25,300,14.4
28.12,78,52,1631280,137,7,25,25,0,25,300,11.1
29.12,79.8,51,1496822,134,7,23,25,2,25,300,13.4
30.13,80.9,46,1498407,128,7,25,25,0,25,300,12.7
31.14,77.6,59,1875068,131,7,25,25,0,25,300,12.7
32.15,68.6,67,2093432,132,7,23,25,2,25,300,12.6
33.15,76,59,1973579,136,7,25,25,0,25,300,12
34.15,75.1,57,1938438,145,7,25,25,0,25,300,12.7
35.22,68.8,17,102071,135,7,25,25,0,2,300,16
36.22,69.1,38,1128953,127,7,25,25,0,25,300,16
37.22,77.5,58,1734521,118,7,25,25,0,25,300,16
38.23,71.4,78,2340089,109,7,25,25,0,25,300,16
39.23,76.8,83,2491481,97,7,25,25,0,25,300,16
40.24,76.2,83,2491481,88,7,25,25,0,25,300,16
41.25,73.4,83,2491481,91,7,25,25,0,25,300,16
42.25,77.6,83,2491481,94,7,25,25,0,25,300,16
43.25,76.8,93,2794265,94,7,25,25,0,25,300,16
44.25,71.7,93,2794265,94,7,25,25,0,25,300,16
45.26,75,93,2794265,94,7,25,25,0,25,300,16
46.26,75.8,93,2794265,94,7,25,25,0,25,300,16
47.27,76.4,105,3066560,135,7,25,25,0,25,300,16.6
48.28,75.8,84,2581967,129,7,25,25,0,25,300,16.6
49.28,75.8,77,2318725,126,7,20,25,5,25,300,16.2
50.29,71.3,83,2075095,141,7,25,25,0,25,300,19.9
51.29,75.9,96,2794154,146,7,25,25,0,25,300,16.7
52.29,75,88,2544153,147,7,25,25,0,25,300,16.7
53.3,65.7,85,2367044,144,7,25,25,0,24,300,12.4
54.32,45,40,1034606,138,7,25,25,0,21,300,14.4
55.32,76.7,68,2037305,141,7,25,25,0,25,300,14.4
56.33,75.6,93,2794265,141,7,25,25,0,25,300,14.4
57.33,71.9,103,3097049,132,7,25,25,0,25,300,14.4
58.33,74.9,103,3097049,129,7,25,25,0,25,300,14.4
59.34,75.1,103,3097049,129,7,25,25,0,25,300,14.4
60.34,74.9,103,3097049,129,7,25,25,0,25,300,14.4
61.34,75,103,3097049,129,7,25,25,0,25,300,14.4
62.34,75.1,103,3097049,129,7,25,25,0,25,300,14.4
63.34,75,103,3097049,129,7,25,25,0,25,300,14.4
64.34,75.1,103,3097049,129,7,25,25,0,25,300,14.4
65.34,75.1,103,3097049,129,7,25,25,0,25,300,14.4
66.34,75,103,3097049,129,7,25,25,0,25,300,14.4
67.34,75,103,3097049,129,7,25,25,0,25,300,14.4
68.34,75,103,3097049,129,7,25,25,0,25,300,14.4
69.34,75,103,3097049,129,7,25,25,0,25,300,14.4
70.34,75,103,3097049,129,7,25,25,0,25,300,14.4
71.34,75,103,3097049,129,7,25,25,0,25,300,14.4
72.34,75,103,3097049,129,7,25,25,0,25,300,14.4
73.34,75,103,3097049,129,7,25,25,0,25,300,14.4
74.34,75,103,3097049,129,7,25,25,0,25,300,14.4
75.34,75.2,103,3097049,129,7,25,25,0,25,300,14.4
76.34,75,103,3097049,129,7,25,25,0,25,300,14.4
77.34,74.9,103,3097049,129,7,25,25,0,25,300,14.4
78.34,75,103,3097049,129,7,25,25,0,25,300,14.4
79.34,75.3,123,3118209,208,7,95,169,74,25,300,14.4
80.35,63,176,3782924,348,7,164,169,5,25,300,19.3
81.38,36.2,198,2809821,643,7,169,169,0,31,301,18.3
82.41,29.1,221,2583939,651,7,169,169,0,60,301,18.3
83.43,31.2,247,2346362,667,7,169,169,0,90,301,16
84.45,25.3,293,2461653,674,7,169,169,0,115,301,21.6
85.47,31.7,289,2321176,679,7,156,169,13,143,301,19.5
86.54,26.7,310,2269903,717,7,169,169,0,147,304,21
87.56,24.9,330,2197156,730,7,161,169,8,169,304,20.6
88.58,25.2,323,1893178,779,7,169,169,0,169,300,15.1
89.61,28.5,304,1701574,770,7,165,169,4,169,300,18.4
90.65,25,324,1575770,817,7,169,169,0,169,301,18.2
91.69,24.2,362,1734889,851,7,169,169,0,158,297,17.8
92.72,26.7,385,1849032,870,7,169,169,0,169,297,17.9
93.75,24.5,382,1809659,840,7,161,169,8,169,297,17.8
94.76,27.2,328,1530731,860,7,169,169,0,165,296,18.3
95.76,25.5,354,1611952,879,7,169,169,0,162,294,18.5
96.78,27.6,365,1681843,912,7,167,169,2,169,294,16.8
97.8,26.5,381,1713608,917,7,160,169,9,169,294,20.2
98.81,23.4,343,1639947,932,7,169,169,0,169,296,29.4
99.82,25.3,357,1686417,932,7,169,169,0,165,298,18.9
100.84,26.1,344,1608700,943,7,169,169,0,159,297,13.7
101.85,26,364,1724082,969,7,166,169,3,169,297,19.5
102.88,26,378,1808672,968,7,161,169,8,169,294,17.4
103.89,27.3,375,1788204,980,7,169,169,0,169,294,17.8
104.9,25.9,376,1844080,983,7,169,169,0,168,292,15.3
105.91,31.9,316,1530831,990,7,164,169,5,169,292,18.5
106.95,28.5,314,1541205,946,7,156,169,13,169,298,16.5
107.95,29.8,307,1435237,934,7,169,169,0,147,300,13.5
108.96,30.7,296,1417010,947,7,168,169,1,169,300,14.8
109.99,31.8,292,1437527,947,7,162,169,7,169,303,16.2
110.99,34,319,1587650,951,7,169,169,0,169,308,20.8
112.02,28,301,1543879,942,7,169,169,0,169,311,15.4
113.04,31.6,320,1557159,960,7,165,169,4,169,311,15.4
114.06,31.1,317,1570443,939,7,169,169,0,169,310,15.5
115.08,32.3,328,1551948,929,7,169,169,0,148,307,14.3
116.09,27.9,378,1827840,968,7,164,169,5,169,307,15.8
117.12,27.1,338,1716875,956,7,159,169,10,169,307,14.7
118.15,30.1,392,1883282,978,7,169,169,0,169,307,18.3
119.19,25.8,372,1760949,962,7,166,169,3,169,307,17.4
120.2,27.6,362,1750930,960,7,161,169,8,169,308,15.7
121.22,27.3,356,1746249,978,7,169,169,0,169,307,14.5
122.27,29.8,339,1629880,979,7,169,169,0,168,307,17.4
123.29,34.7,341,1643449,974,7,169,169,0,163,306,16.1
124.32,32,369,1748305,992,7,163,169,6,169,306,12.4
125.33,31.1,334,1551155,950,7,159,169,10,162,303,15.8
126.34,35.3,350,1736345,955,7,169,169,0,169,308,15.6
127.35,32.1,339,1614649,948,7,169,169,0,169,306,12.8
128.36,29.9,388,1849637,958,7,169,169,0,169,306,12.8
129.37,29.7,385,1811544,962,7,169,169,0,169,305,13.7
130.4,34.5,375,1765991,960,7,159,169,10,169,305,13.8
131.42,34.2,370,1745203,968,7,169,169,0,169,302,14.4
132.45,34.4,365,1676889,961,7,169,169,0,158,300,15
133.47,33.6,398,1833985,972,7,158,169,11,169,300,16.4
134.5,29,410,1914048,980,7,169,169,0,169,301,16.9
135.51,37,380,1780882,986,7,169,169,0,169,301,16.9
136.52,38.9,315,1452902,945,7,169,169,0,154,300,16.1
137.53,36.6,321,1445431,948,7,164,169,5,169,300,17.1
138.55,33.8,346,1615583,932,7,169,169,0,167,301,15.5
139.58,32.6,319,1527576,917,7,169,169,0,169,300,12.4
140.58,31.7,346,1597784,927,7,169,169,0,161,301,14.3
141.6,30.1,368,1670746,955,7,167,169,2,169,301,11
142.61,30.1,368,1737744,951,7,158,169,11,169,298,15.1
143.63,30,382,1814331,971,7,169,169,0,169,300,14.4
144.65,31.7,353,1665172,970,7,169,169,0,167,295,13.5
145.65,33.7,376,1712141,965,7,169,169,0,161,292,15.9
146.67,30.8,439,2070749,964,7,161,169,8,169,292,16.4
147.69,29.6,353,1680697,928,7,158,169,11,169,291,14.7
148.7,32.6,355,1735196,954,7,169,169,0,153,292,15.7
149.72,28.1,355,1726511,959,7,169,169,0,165,291,15.1
150.73,31.4,368,1742126,947,7,163,169,6,169,291,18.2
151.75,29.4,372,1820745,959,7,169,169,0,169,292,16.6
152.76,31.6,423,1973992,1000,7,169,169,0,169,292,16.6
153.78,36,430,2051487,1000,7,169,169,0,169,292,16.6
154.8,35.8,338,1552749,993,7,169,169,0,164,291,14
155.82,34.3,390,1795393,1012,7,169,169,0,169,291,14
156.83,36.8,376,1729977,1009,7,167,169,2,169,291,16.1
157.86,31.7,352,1600151,964,7,169,169,0,157,291,13.1
158.87,28.2,411,1929636,980,7,169,169,0,169,291,12.9
159.89,36.8,371,1745367,976,7,169,169,0,169,291,12.9
160.91,31.8,375,1675619,961,7,168,169,1,169,293,14.8
161.92,29.6,390,1876861,972,7,169,169,0,169,296,13.6
162.95,33.8,362,1700723,956,7,169,169,0,165,291,14.8
163.96,38.9,375,1790136,963,7,169,169,0,169,291,14.6
164.96,40.6,367,1676459,973,7,169,169,0,148,292,15.7
165.96,30.8,386,1868128,976,7,169,169,0,169,292,11.4
167,32.8,394,1874169,961,7,169,169,0,163,291,15.5
168.01,31.8,422,2018755,973,7,169,169,0,169,291,15.8
169.01,33.3,429,2051365,979,7,169,169,0,169,291,15.8
170.02,29.9,379,1766109,957,7,163,169,6,169,292,15.7
171.03,30.8,378,1792663,989,7,169,169,0,169,291,15.5
172.05,34.9,359,1747840,966,7,169,169,0,165,291,15.4
173.05,31,368,1818679,966,7,169,169,0,169,289,17.3
174.06,30.3,445,2068054,1014,7,169,169,0,169,289,17.3
175.07,34,406,1907708,1014,7,169,169,0,169,289,17.3
176.08,35.7,352,1597905,1007,7,169,169,0,161,290,14.9
177.1,37.6,361,1614676,1014,7,169,169,0,169,290,12.5
178.1,39.7,344,1529322,1014,7,169,169,0,169,290,12.5
179.11,43.3,388,1768993,1014,7,169,169,0,169,290,12.5
180.13,38.7,373,1728113,1001,7,156,169,13,169,290,12.2
181.15,29.4,408,1941795,1007,7,169,169,0,169,293,16.9
182.16,38,381,1836177,990,7,166,169,3,169,293,15.9
183.16,34.3,335,1674398,943,7,169,169,0,162,296,15.4
184.18,33.6,334,1598133,936,7,169,169,0,159,291,13.8
185.18,34.1,360,1744846,954,7,163,169,6,169,291,15.7
186.23,31.5,373,1813789,948,7,157,169,12,169,294,15
187.25,28.6,352,1803672,960,7,169,169,0,169,292,13.9
188.27,34.2,345,1682538,972,7,168,169,1,169,292,14.7
189.27,34.5,312,1510164,937,7,169,169,0,161,293,16.4
190.27,36.6,326,1628930,944,7,156,169,13,169,293,13.8
191.29,34.9,304,1451276,946,7,160,169,9,166,293,14.8
192.31,38,304,1566397,921,7,160,169,9,169,295,13.9
193.34,35.7,289,1386116,945,7,169,169,0,167,295,12.1
194.34,38.9,323,1601680,934,7,169,169,0,161,300,13.5
195.35,35.8,357,1784816,958,7,163,169,6,169,300,11.4
196.36,32.4,346,1733864,968,7,169,169,0,169,299,14.3
197.36,31.3,355,1822094,973,7,169,169,0,169,299,13.1
198.39,33.1,367,1866239,974,7,169,169,0,167,303,16
199.39,35.6,383,1918103,969,7,169,169,0,161,304,13.7
200.42,33.5,388,1974747,997,7,166,169,3,169,304,15.5
201.43,30.2,415,2123614,993,7,169,169,0,169,307,13.5
202.43,32.6,370,1902331,986,7,169,169,0,168,306,13.3
203.45,35.2,375,1799050,1017,7,168,169,1,169,306,13.5
204.47,32.2,375,1857818,998,7,157,169,12,169,306,15.3
205.48,29.2,384,1881758,1007,7,169,169,0,169,306,13.8
206.5,40.7,374,1868864,1012,7,163,169,6,169,306,11.9
207.5,31.7,400,2007554,1005,7,169,169,0,169,307,17.2
208.52,37.8,383,1812509,993,7,169,169,0,157,308,13.4
209.53,30.9,390,1898032,1001,7,156,169,13,169,308,15.8
210.55,34.9,338,1788606,988,7,169,169,0,157,308,13.5
211.57,31.2,362,1778010,988,7,156,169,13,169,308,14.7
212.59,32.5,355,1772270,975,7,169,169,0,169,304,13.2
