t,fps,calls,triangles,geometries,textures,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
213.62,39.5,327,1601997,930,7,169,169,0,153,303,10.7
214.63,32.1,436,2110239,990,7,169,169,0,158,302,13.6
215.64,32.6,388,1845516,961,7,162,169,7,169,302,14.3
216.64,33.8,310,1578735,914,7,164,169,5,169,303,12.4
217.66,37.6,300,1546216,930,7,169,169,0,165,299,14.2
218.67,34.3,359,1804297,947,7,169,169,0,169,299,14.2
219.69,41.2,377,1895193,945,7,169,169,0,169,299,14.2
220.71,40,377,1895193,945,7,169,169,0,169,299,14.2
221.73,38.7,377,1895193,945,7,169,169,0,169,299,14.2
222.76,38.2,377,1895193,945,7,169,169,0,169,299,14.2
223.77,40.3,377,1895193,945,7,169,169,0,169,299,14.2
224.78,42.9,377,1895193,945,7,169,169,0,169,299,14.2
225.78,40,377,1895193,945,7,169,169,0,169,299,14.2
226.8,42.9,377,1895193,945,7,169,169,0,169,299,14.2
227.81,38.9,377,1895193,945,7,169,169,0,169,299,14.2
228.82,40.8,384,1936195,945,7,169,169,0,169,299,14.2
229.83,74.9,44,23280,855,7,59,169,110,169,299,14.2
230.83,75.1,67,47614,941,7,134,169,35,169,299,14.2
231.86,40.2,64,110587,870,7,169,169,0,9,301,14.2
